# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	frlB//
go_0000025_7	aroG//
go_0000027_7	torA//hisH//lpxL//alkB//
go_0000028_7	accC//
go_0000032_8	fadK//
go_0000041_8	ulaG//
go_0000050_5	yeiG//alkA//lysS//moaA//gutQ//
go_0000053_5	ppiA//
go_0000096_5	serA//
go_0000101_6	proC//
go_0000103_5	yciV//amyA//
go_0000105_6	glgX//ushA//ilvI//waaY//yihS//gdhA//aroL//
go_0000160_5	rdgB//
go_0000162_7	pgpC//pyrF//gdhA//ravA//dgcT//thyA//ldtE//gcl//folE//
go_0000270_7	folD//pheT//xthA//azoR//amiD//fre//spoT//allD//deoD//malZ//
go_0000271_6	argI//
go_0000302_5	dcd//
go_0000303_6	uvrA//yagE//
go_0000305_5	
go_0000372_11	
go_0000413_9	apaH//gstA//citG//lpxT//cobT//serS//pheS//
go_0000453_8	cheB//ydiB//surA//ubiI//
go_0000455_9	ilvM//rffC//speE//ilvD//yigB//entE//sgbH//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	dacD//
go_0000726_7	cyaA//
go_0000731_7	rluB//lysU//
go_0000737_7	
go_0000738_7	yccX//pyrF//
go_0000746_4	
go_0000820_7	ahr//
go_0000902_5	
go_0000910_4	lacZ//rfaE//ribA//
go_0000917_6	
go_0000918_6	
go_0000920_3	carB//
go_0000921_6	
go_0000967_10	nrfA//
go_0001101_4	thiD//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	cysD//
go_0001510_5	pgi//acnA//
go_0001514_8	napB//
go_0001522_7	mutH//nrdD//folD//nrdA//
go_0001558_5	
go_0001561_6	idnD//
go_0001676_6	folC//
go_0001680_11	nfsB//
go_0001682_11	pnp//otsA//
go_0001731_7	
go_0001762_6	ansA//
go_0001887_4	pldB//rffC//
go_0001896_5	uvrB//
go_0002047_6	rlmA//accB//
go_0002097_8	mngB//
go_0002098_9	dld//sdhD//ycaO//puuC//
go_0002099_9	lpxT//hemN//
go_0002100_9	asd//
go_0002101_9	uxuA//
go_0002128_7	metH//
go_0002131_9	purD//
go_0002132_9	queG//
go_0002136_10	carA//
go_0002143_9	asnB//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	ygjK//
go_0002938_8	yjhH//
go_0002939_7	sseA//
go_0002943_8	mcrA//
go_0002949_8	ldtE//galT//ybhA//
go_0003333_7	xapA//trpE//srlD//prmC//pgpC//phnO//ribA//moeB//cysC//murA//scpB//rfaE//coaE//
go_0005975_4	queG//hemA//puuA//yihS//eutB//ddlA//menA//relA//ftnA//alaA//xdhB//hemL//malY//trpE//nanA//folE//
go_0005976_5	hemL//
go_0005977_6	arnT//
go_0005978_7	opgE//tgt//ppx//umuC//
go_0005980_7	gadB//mrcB//mdh//
go_0005986_7	glcE//
go_0005990_7	pgpA//
go_0005992_7	dam//gluQ//
go_0005993_7	oxc//bcsA//rnb//
go_0005995_7	miaA//
go_0005998_7	trmI//
go_0006000_6	yjhH//
go_0006001_7	ddlA//fes//
go_0006002_5	luxS//hcp//nrdA//
go_0006006_6	trpD//yeaE//rpiA//yhdH//rlmD//
go_0006007_7	queC//sbcB//
go_0006011_5	nadA//
go_0006012_6	ppk//
go_0006013_6	rutB//
go_0006014_6	argI//
go_0006015_7	moaD//btuE//
go_0006020_5	rlmF//
go_0006044_7	def//
go_0006046_8	waaO//truB//
go_0006047_5	recF//insI-1//
go_0006048_6	paoC//bglX//eutD//hmp//
go_0006053_8	alr//
go_0006062_8	truA//
go_0006071_6	paaA//ybjI//
go_0006072_6	fadB//
go_0006082_4	pyrH//
go_0006083_6	acpS//frdD//deoB//
go_0006086_8	rlmA//mltB//
go_0006090_8	ycaO//cpsB//lpxT//folX//cpsG//tynA//ydiO//
go_0006094_7	dbpA//trmI//frlB//coaE//nanA//mnaT//cdh//tsaE//ruvA//
go_0006096_6	cysK//ttdA//zwf//cyaA//selA//patZ//pcm//rutC//paaC//fruK//leuB//dapF//gph//
go_0006097_5	gloB//eutD//nth//rdgB//ydiB//
go_0006098_6	nudB//sdaA//pcm//pgsA//recJ//
go_0006099_4	yajO//pdxJ//rsgA//uxuB//ubiG//scpB//gcvP//wecC//glxK//curA//insI-1//yihX//entH//
go_0006103_5	pfkB//malS//mraY//yqjH//
go_0006104_6	rimK//
go_0006105_5	hcaE//
go_0006106_8	pgk//
go_0006107_8	
go_0006108_8	astC//rhaA//rhaB//fre//
go_0006113_5	lpd//fabG//
go_0006115_6	spoT//
go_0006124_6	
go_0006144_6	
go_0006145_7	paaG//
go_0006146_8	glmM//
go_0006148_9	rhaD//
go_0006149_9	cobU//
go_0006150_9	prmB//
go_0006152_7	wcaJ//xylA//fabA//purD//speA//
go_0006154_6	wzc//
go_0006161_9	lipA//
go_0006163_6	treC//
go_0006164_7	paaA//luxS//ubiF//dgoA//
go_0006166_6	nfsB//
go_0006168_7	frdC//aceA//
go_0006171_9	
go_0006172_9	cysK//
go_0006177_9	lpcA//
go_0006178_7	murB//
go_0006183_9	pgsA//
go_0006189_10	hemA//mgsA//
go_0006203_8	moaE//mnmA//
go_0006206_6	rlmD//yfbR//torY//
go_0006207_8	poxB//yhdH//pgm//lpxK//ddlA//
go_0006208_7	aroD//puuC//lpxH//dgcM//nth//entF//
go_0006209_6	deoB//
go_0006210_8	metE//
go_0006212_6	gatY//ruvA//glpX//fkpA//coaE//truC//cynS//argD//speA//rfaD//
go_0006217_9	waaG//
go_0006218_9	mnmG//
go_0006220_6	speE//
go_0006221_7	metC//pyrC//argF//
go_0006222_9	
go_0006225_9	rsgA//
go_0006226_9	purU//mmuM//
go_0006227_9	tyrS//
go_0006231_9	rluB//
go_0006233_9	tdcB//
go_0006235_9	sgbH//
go_0006241_9	phnO//
go_0006259_5	curA//gpmA//pbpC//
go_0006260_6	waaS//speG//selA//sucA//astB//alsE//etk//
go_0006261_7	epmB//lgoD//nudB//
go_0006265_6	thrC//speB//
go_0006266_6	gcvT//cobS//paaF//
go_0006267_5	
go_0006268_9	idnD//frlB//
go_0006269_6	kdsD//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	mltF//cobT//
go_0006281_6	agp//pykA//pgl//tadA//valS//mltF//sufS//speC//aroA//rlmF//nudG//gntK//fau//arsC//mdh//dacD//murF//
go_0006283_8	
go_0006284_7	trmH//malP//opgB//rsuA//queG//ubiD//
go_0006285_6	frlB//mdh//dkgB//fbaA//
go_0006288_8	rluF//moaA//
go_0006289_7	
go_0006298_7	rhaD//hemH//eno//solA//
go_0006301_7	
go_0006302_7	entB//rutE//
go_0006307_8	pgl//ada//fbp//cmk//mocA//
go_0006308_6	paaB//clsB//sdaB//xapA//
go_0006310_6	ttdA//dcd//fucO//lysC//thiM//
go_0006313_4	folE//
go_0006351_6	ribB//glyS//
go_0006352_7	
go_0006353_7	
go_0006354_7	yjjX//
go_0006355_7	clsB//
go_0006357_8	
go_0006364_9	ubiH//miaA//trmO//rnt//
go_0006378_8	hypF//
go_0006396_7	menD//gdhA//add//ssuD//tsaD//
go_0006397_8	rbsK//
go_0006399_8	cpdA//hemF//
go_0006400_7	atoB//yjiA//thiD//gpmA//mltA//
go_0006401_6	mazG//rutC//yeaE//queG//ybiV//hyaA//
go_0006402_7	puuA//lysU//narV//cpdB//mhpD//sgbU//leuS//
go_0006412_6	dgoA//gapA//aroD//dcm//yihX//
go_0006413_4	tdk//
go_0006414_6	
go_0006415_7	purN//nanE//
go_0006417_7	cynT//ubiD//
go_0006418_7	aroC//mcrA//eutD//gatD//zwf//hisA//dhaL//manA//ghrB//ilvD//amyA//
go_0006419_8	gcd//
go_0006420_8	ldtA//
go_0006421_8	asnB//
go_0006422_8	nudC//
go_0006423_8	guaC//
go_0006424_8	yhdH//ribF//
go_0006425_8	ltaE//
go_0006427_8	malY//
go_0006428_8	cyoE//
go_0006429_8	leuD//
go_0006430_8	aspA//ilvE//
go_0006431_8	dmsA//
go_0006432_8	hyaC//
go_0006433_8	yeaG//
go_0006434_8	eno//
go_0006435_8	aceB//
go_0006436_8	argA//
go_0006437_8	der//
go_0006438_8	fadB//
go_0006448_8	
go_0006450_4	sucA//tnaA//rbsD//lpxT//narI//fumB//
go_0006457_3	truB//gltX//ubiX//rsmJ//pck//ycaO//glgC//
go_0006458_4	
go_0006464_6	rlmD//fkpA//menI//gudD//napC//ribA//glpK//dacC//
go_0006465_6	ssuE//leuD//pnp//
go_0006468_7	cfa//
go_0006470_7	ulaF//wrbA//kdsB//avtA//dmsB//
go_0006473_8	phr//
go_0006474_6	nadC//dgt//ilvE//
go_0006476_8	gpsA//
go_0006479_5	narV//nadC//tsaD//aldB//nanA//hyaB//
go_0006486_5	gpmA//
go_0006490_5	glmM//
