# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	purT//
go_0000025_7	astC//
go_0000027_7	poxB//malQ//malP//waaH//
go_0000028_7	murQ//
go_0000032_8	ung//
go_0000041_8	mtlD//
go_0000050_5	paaF//tilS//tmk//glgX//yrfG//
go_0000053_5	ispH//
go_0000096_5	glmM//
go_0000101_6	galT//
go_0000103_5	dhaM//gcvH//
go_0000105_6	gor//gdhA//hemA//ttdA//rsmF//tauD//trmL//
go_0000160_5	treF//
go_0000162_7	preT//metK//dxs//purU//tadA//gltD//narV//glk//aroK//
go_0000270_7	gltB//phnH//etp//alsE//mcrA//arnA//frlB//prpD//ddlB//ldhA//
go_0000271_6	fabZ//
go_0000302_5	accB//
go_0000303_6	fre//prmC//
go_0000305_5	
go_0000372_11	
go_0000413_9	bioB//mltB//proC//fruK//aceB//rne//dcyD//
go_0000453_8	abgA//aspA//dxr//trmL//
go_0000455_9	menE//fdhF//gor//mltB//dacC//hisF//srlD//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	rsmH//
go_0000726_7	argE//
go_0000731_7	glmM//metH//
go_0000737_7	
go_0000738_7	sucB//yfcF//
go_0000746_4	
go_0000820_7	moaD//
go_0000902_5	
go_0000910_4	mak//narH//sad//
go_0000917_6	
go_0000918_6	
go_0000920_3	ttdA//
go_0000921_6	
go_0000967_10	trpE//
go_0001101_4	pyrD//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	pgm//
go_0001510_5	aroA//puuE//
go_0001514_8	gshB//
go_0001522_7	btuE//trpS//bglA//lsrG//
go_0001558_5	
go_0001561_6	thrA//
go_0001676_6	ydiO//
go_0001680_11	nagZ//
go_0001682_11	folX//cobC//
go_0001731_7	
go_0001762_6	rlmI//
go_0001887_4	clsA//metK//
go_0001896_5	ppiC//
go_0002047_6	dgt//glnS//
go_0002097_8	hisA//
go_0002098_9	coaD//purN//mnmG//argC//
go_0002099_9	waaJ//uvrC//
go_0002100_9	pabB//
go_0002101_9	hemC//
go_0002128_7	paaC//
go_0002131_9	gadA//
go_0002132_9	hinT//
go_0002136_10	tag//
go_0002143_9	ilvM//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	patD//
go_0002938_8	tdcG//
go_0002939_7	rsmC//
go_0002943_8	gloA//
go_0002949_8	fadA//bioA//umuD//
go_0003333_7	gmk//rutC//trmI//thiG//ansA//sad//trmJ//orn//rsmD//etk//fruK//hyi//rlmF//
go_0005975_4	putA//udp//betA//metG//tdcB//ynfH//aceF//sgbE//adhE//phnN//puuE//lpcA//ddlB//mhpD//fadH//lpxB//
go_0005976_5	gshB//
go_0005977_6	hmp//
go_0005978_7	rlmB//mutL//hisS//wcaJ//
go_0005980_7	trmD//trmJ//maa//
go_0005986_7	hcaB//
go_0005990_7	pyrG//
go_0005992_7	hcaC//gluQ//
go_0005993_7	uvrA//dfp//murG//
go_0005995_7	pyrC//
go_0005998_7	torZ//
go_0006000_6	alr//
go_0006001_7	pyrF//mnmC//
go_0006002_5	garL//patA//etp//
go_0006006_6	tilS//edd//mutH//sdaA//mutS//
go_0006007_7	purC//hisC//
go_0006011_5	acnB//
go_0006012_6	tpiA//
go_0006013_6	dgkA//
go_0006014_6	truD//
go_0006015_7	coaD//sufS//
go_0006020_5	mhpB//
go_0006044_7	frc//
go_0006046_8	sdhC//cobC//
go_0006047_5	fabB//coaA//
go_0006048_6	mnmA//argG//cpdB//cysE//
go_0006053_8	truC//
go_0006062_8	yeaG//
go_0006071_6	guaC//ilvN//
go_0006072_6	murD//
go_0006082_4	ubiD//
go_0006083_6	folM//gpmA//leuS//
go_0006086_8	fruK//tdcB//
go_0006090_8	fumA//rpiA//rlmJ//folC//ymdB//glmS//yeiG//
go_0006094_7	waaQ//rlmD//btuE//ppiA//uxuB//appA//dgoD//uxaB//ahpC//
go_0006096_6	polB//ispG//mngB//clsA//thrC//ymdB//sdaA//gloB//mmuM//dapD//ldhA//clsA//nadB//
go_0006097_5	rfaE//proS//hemF//ruvC//bglB//
go_0006098_6	rsuA//glpC//nirD//wecB//guaA//
go_0006099_4	gloB//cysK//kefF//avtA//thiH//caiB//cysN//gntK//deoD//katG//murC//bioC//pck//
go_0006103_5	paaC//yihT//gnd//pck//
go_0006104_6	bglB//
go_0006105_5	frdA//
go_0006106_8	menI//
