# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ppiA//
go_0000025_7	yieF//
go_0000027_7	tauD//eno//mnmE//caiB//
go_0000028_7	argI//
go_0000032_8	lsrK//
go_0000041_8	gshB//
go_0000050_5	uvrB//prmC//ymdB//pyrF//ulaF//
go_0000053_5	mak//
go_0000096_5	folX//
go_0000101_6	waaQ//
go_0000103_5	dam//miaA//
go_0000105_6	mltF//aroD//dgkA//panC//cysM//alsK//yfbR//
go_0000160_5	pfkA//
go_0000162_7	metK//pyrD//fucK//ubiF//gcd//moaE//rfbD//yihT//ppsA//
go_0000270_7	metG//hisA//accD//cyoE//cysE//araD//pphB//narH//selD//xthA//
go_0000271_6	aspS//
go_0000302_5	nadA//
go_0000303_6	paaC//sdhB//
go_0000305_5	
go_0000372_11	
go_0000413_9	ogt//menA//cysC//dnaE//coaE//luxS//fabB//
go_0000453_8	hisD//guaA//pgi//mutY//
go_0000455_9	ybcF//pgm//paaK//udk//araB//betA//cobC//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	pdeF//
go_0000726_7	phnN//
go_0000731_7	murQ//rbsD//
go_0000737_7	
go_0000738_7	kdsA//treF//
go_0000746_4	
go_0000820_7	hcaD//
go_0000902_5	
go_0000910_4	surA//idi//katE//
go_0000917_6	
go_0000918_6	
go_0000920_3	pfkB//
go_0000921_6	
go_0000967_10	glxK//
go_0001101_4	bioD//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	manA//
go_0001510_5	yfcG//metC//
go_0001514_8	kbaZ//
go_0001522_7	ulaD//nhoA//entB//gluQ//
go_0001558_5	
go_0001561_6	ybjG//
go_0001676_6	thrC//
go_0001680_11	alsK//
go_0001682_11	dinB//hemA//
go_0001731_7	
go_0001762_6	dhaL//
go_0001887_4	fadM//opgE//
go_0001896_5	uvrC//
go_0002047_6	fadB//leuS//
go_0002097_8	fucO//
go_0002098_9	fucA//serC//alaC//hisD//
go_0002099_9	purD//uvrC//
go_0002100_9	pck//
go_0002101_9	uvrC//
go_0002128_7	rsuA//
go_0002131_9	waaC//
go_0002132_9	adeD//
go_0002136_10	surA//
go_0002143_9	mrdA//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	nrdB//
go_0002938_8	pyrG//
go_0002939_7	lgoD//
go_0002943_8	glgC//
go_0002949_8	fau//patD//mltB//
go_0003333_7	tgt//murB//pykF//tcdA//menH//rlmD//nfsB//gpp//cfa//ppiC//waaS//hisH//ascB//
go_0005975_4	pyrG//dkgA//sbcB//kbaY//mhpA//ycjU//fumB//dbpA//glnE//mutH//tmcA//pdxA//epmB//katE//folP//luxS//
go_0005976_5	entC//
go_0005977_6	rlmH//
go_0005978_7	ddlB//rffG//trmL//mutL//
go_0005980_7	csdA//pagP//cysE//
go_0005986_7	gluQ//
go_0005990_7	rlmB//
go_0005992_7	ligB//ycjU//
go_0005993_7	pgl//otsA//rihC//
go_0005995_7	yajO//
go_0005998_7	coaD//
go_0006000_6	ogt//
go_0006001_7	purF//pgm//
go_0006002_5	nadB//dnaE//rfe//
go_0006006_6	ruvB//fcl//preT//codA//yieH//
go_0006007_7	argB//galE//
go_0006011_5	glcD//
go_0006012_6	leuD//
go_0006013_6	yjhH//
go_0006014_6	nemA//
go_0006015_7	mtn//etk//
go_0006020_5	phnJ//
go_0006044_7	gshB//
go_0006046_8	nadK//yjjX//
go_0006047_5	glpK//fre//
go_0006048_6	epd//garR//galK//oxc//
go_0006053_8	gloB//
go_0006062_8	asd//
go_0006071_6	ubiA//idi//
go_0006072_6	xapA//
go_0006082_4	ubiI//
go_0006083_6	moaE//yciA//hisB//
go_0006086_8	atoB//lgoD//
go_0006090_8	menC//narI//eptC//frmA//coaD//dgcM//entH//
go_0006094_7	gloB//yfeX//dadA//dnaQ//hmp//pabB//nadE//glmS//argI//
go_0006096_6	rpiB//miaB//rhaM//ldtD//pdeR//menH//hemE//rdgB//plsB//dacC//accB//acnA//sucD//
go_0006097_5	thiC//azoR//fklB//yggF//tmcA//
go_0006098_6	recG//nrfC//putA//phnO//lldD//
go_0006099_4	rhaD//hcaC//edd//gpp//recO//waaZ//dgoK//gpt//bioB//thrB//bioC//speE//cdsA//
go_0006103_5	galT//gabT//yihX//ung//
go_0006104_6	ulaG//
go_0006105_5	lsrG//
go_0006106_8	idnD//
go_0006107_8	
go_0006108_8	psd//aroF//xthA//folA//
go_0006113_5	mmuM//menI//
go_0006115_6	otsA//
go_0006124_6	
