# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	katG//astE//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	appA//ilvG_1//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	sgbH//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	bglB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ulaF//frdD//
AdiY_H-NS_IHF	puuC//
AgaR_CRP	sdhC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	malP//nrfC//
AraC_CRP	frdB//ddlB//rhaB//gnd//ascB//
AraC_CRP_XylR	dadX//rsmH//
AraC_NagC	
ArcA_BetI_Cra	ilvI//ulaF//prpE//
ArcA_CRP_CaiF_FNR_H-NS	glpQ//purH//feaB//rhaD//napA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	rutB//aroA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	glcF//cysH//galK//araA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	relA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	ilvG_1//pgaD//aceA//
ArcA_CRP_Cra_Fis	moaE//
ArcA_CRP_Cra_IHF_IclR	dmsA//prpE//torC//
ArcA_CRP_DcuR	aceE//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	narG//
ArcA_CRP_DnaA_FNR	paaK//
ArcA_CRP_DpiA_FNR_NarL	hyaB//ilvH//fadH//
ArcA_CRP_DpiA_FlhDC	rnpB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	ddlB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	icd//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	paaK//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	nagB//tdcE//sucC//metK//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	xylA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	lpxA//
ArcA_CRP_FNR_IHF_NarL	pspE//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	murG//
ArcA_CRP_FadR_HipB	citG//
ArcA_CRP_FadR_OmpR_PhoP	gltA//
ArcA_CRP_Fis_Mlc_SoxS	ynfE//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	ddlB//ahpF//deoB//
