# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	lacZ//astA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	glpQ//fucU//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	gatY//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	aceA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	prpE//nanA//
AdiY_H-NS_IHF	fumB//
AgaR_CRP	uvrA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	folA//lyxK//
AraC_CRP	ulaG//sdhB//caiB//aldA//pnp//
AraC_CRP_XylR	glgC//astC//
AraC_NagC	
ArcA_BetI_Cra	moaE//fadD//glpQ//
ArcA_CRP_CaiF_FNR_H-NS	glcE//carA//mhpC//hycE//argG//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	lsrK//argG//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	gatZ//mhpB//cysG//gcd//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	hemL//
ArcA_CRP_Cra_FNR_NsrR_PdhR	purM//tam//glpQ//
ArcA_CRP_Cra_Fis	citE//
ArcA_CRP_Cra_IHF_IclR	ubiA//garK//hycE//
ArcA_CRP_DcuR	nirD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	narH//
ArcA_CRP_DnaA_FNR	galE//
ArcA_CRP_DpiA_FNR_NarL	gcd//betA//gdhA//
ArcA_CRP_DpiA_FlhDC	ulaD//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	prmC//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	hcp//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	rutE//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	dmsB//torA//aroA//rutB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	sucD//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	prpD//
ArcA_CRP_FNR_IHF_NarL	ynfH//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	garK//
ArcA_CRP_FadR_HipB	xylA//
ArcA_CRP_FadR_OmpR_PhoP	rutD//
ArcA_CRP_Fis_Mlc_SoxS	glpQ//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	pdeR//gabD//lpxA//
ArcA_CRP_GlpR	malQ//
