# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	napC//rhaB//glgC//hemL//
AlaS-L-alanine	sdaA//
AllS-allantoin	agp//ogt//manA//
AraC-L-arabinose	napH//feaB//pflB//glgB//cueO//nadC//waaH//
ArcA-Phosphorylated	rhaB//nirD//ssuD//uxaB//xylA//mhpD//glpB//phnM//betB//argB//moaA//hycG//glyA//paaA//purA//dusB//puuB//mhpA//mhpE//metK//phnN//glpD//araB//rhaD//ascB//cpdB//citG//hpt//rhaB//phnM//mpl//yiaK//cysJ//pgaD//mhpD//gcvT//tdh//frdB//sdhC//zwf//entC//fucU//mhpD//fumA//epd//fadB//fumC//ung//hyaA//astE//allE//entC//atoA//mtlD//argA//napB//glpK//aceE//aroL//paaE//uxaB//pnp//idnO//phnI//hycB//fumB//truB//gpsA//fucI//pyrD//pgaC//gltB//mhpB//trpE//galT//gatD//fadJ//tyrB//dusB//tdcE//tsaE//pyrD//astB//purD//pdeF//aspC//bacA//serA//cheR//yfbR//nrfB//allD//paaB//allD//gutQ//gabD//nagA//
ArgP-L-arginine	allE//xylB//ugpQ//caiD//ilvG_1//ilvH//caiD//paaE//caiB//garL//galE//
ArgR-L-arginine	glgA//carB//speA//aroF//yfeW//fbaA//rhaD//araA//mutY//citC//moeA//rdoA//nagB//trpD//purD//manA//prpD//fumA//fbaA//paaG//prpC//cdd//tdcD//
AtoC-phosphorylated	sgbH//hyaC//amn//
BaeR-Phosphorylated	paaK//bioC//
BirA-bio-5-AMP	ahpC//allC//astE//trmD//ubiG//
CRP-cAMP	lysU//aldB//guaA//tehB//bioB//entH//aceF//mhpB//astB//ulaE//pgaC//citC//tyrB//yqjH//mhpC//hycG//malS//serC//fumB//aceE//purM//cdd//lpxD//astB//gabT//tadA//ilvI//tdh//guaB//gcvT//bglB//glpQ//acnA//malZ//aceE//dgcZ//rutB//rutC//hyaC//paaZ//fucO//purA//gutQ//gntK//paaK//purB//truB//ilvB//napA//slt//serC//uxuA//mhpD//nirB//napC//glpE//gapA//araD//glgC//metK//purK//preA//ulaF//lhgO//ldtB//nrdE//mpl//prpD//galM//uvrA//cysN//slt//paaF//yfeW//nanK//garK//pgk//ascB//pgaB//polA//ubiA//narH//ahpF//napB//hemL//sgbU//entH//mhpB//nanK//alaS//yfbR//agp//napH//mhpA//citG//ilvI//prpE//aceE//deoD//aroH//fadH//cynS//mltC//dadX//aroH//abgA//rhaB//puuB//talA//mpl//ackA//hycC//metF//lpxB//paaJ//paaE//argE//rutA//hycG//puuB//ugpQ//purK//sucC//mhpE//paaJ//moaD//xylA//tnaA//pflB//mdh//nanE//purL//murQ//oxc//bcsA//melA//fadD//dapD//fucI//argH//sodA//feaB//pta//entC//entC//lysC//hyaC//gdhA//mtlD//paaH//garK//fucO//glpD//hyaC//xylB//zwf//gatY//aspA//deoB//torC//napH//amn//tyrB//sdhB//ynfF//glcF//ilvH//avtA//prpB//sodA//sucA//katE//mhpB//paaF//hyaB//cyoE//paaE//paaG//fucA//hcp//bioC//sodB//aspA//tdcE//glpK//ubiC//purE//katG//fadE//sodA//rhaB//idnO//phnM//argD//glpX//preA//murQ//cysD//dsdA//prpD//lsrF//trpD//deoC//aceA//trpE//deoA//uxuB//ndh//pflB//ynfH//yfbR//mpl//lpxD//xdhC//nirD//nirB//dapB//dapD//pyrD//mpl//polA//chbF//uxaA//bglB//gpsA//hycE//dnaE//lpxB//carB//mdh//glyA//dusB//pagP//astD//frdB//tadA//xapA//ansB//preT//pflB//prpD//purF//paaF//hypB//pagP//gutQ//argE//hyaC//kbl//phnG//paaF//fumB//tnaA//betB//ldtB//phnH//guaA//gcvP//lsrK//aroH//hmp//ubiA//tktB//astB//ilvC//argC//dsdA//dadX//trpC//uvrA//puuA//nrfD//moaD//frdC//cysJ//icd//miaA//abgA//katG//cadA//bioB//sodB//allD//gcd//fadB//acnA//argC//entD//fucA//cdd//
