# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	fadI//entA//ppiA//melA//
AlaS-L-alanine	yfdE//
AllS-allantoin	metA//speB//moeA//
AraC-L-arabinose	preT//purK//aroA//trpE//gcvP//glpD//lpxB//
ArcA-Phosphorylated	tdcG//hyaA//argI//purH//phoA//polA//glpE//puuE//glpX//nanK//alaS//metA//gatD//recF//purC//folA//pflB//hmp//rhaA//cysI//narH//tdh//adhE//frdA//pta//metH//dsdA//bacA//glpD//tdcD//sdhB//dapD//trpE//rhaD//glcB//purN//dkgB//eda//trpA//purK//cdd//tdcE//uxaA//deoB//trpB//purM//citG//fucO//tdcG//bioF//citF//uxaB//dsdA//fucK//deoB//betA//phnM//napH//cysI//cysI//cueO//nanM//edd//malZ//hycC//ilvH//nrfA//paaG//frdB//sucB//idnK//fbaA//rutD//rhaD//napA//polA//purN//ndh//malY//argB//dadA//preT//entH//serC//ldtC//appA//garK//rutA//hycB//ogt//tnaA//moaD//alkB//argA//sodA//ssuD//prpB//
ArgP-L-arginine	trpA//gatY//mtlD//tdcE//pck//argH//argF//waaH//argG//trmD//fdhF//
ArgR-L-arginine	paaJ//uidA//moaE//sodB//gpmA//rutB//fau//fumC//serA//rbsK//argC//puuC//ansB//pgaB//alaA//glgA//cysH//lysA//dsdA//cysC//nanA//recF//tehB//
AtoC-phosphorylated	alaA//narG//galK//
BaeR-Phosphorylated	dmsA//dapB//
BirA-bio-5-AMP	aroA//caiA//fucA//rutE//entA//
CRP-cAMP	glpD//hycG//paaB//amn//tauD//argD//ahpF//purK//sucD//citD//purM//puuA//xdhB//chbG//sgbE//xapA//sgbH//fadJ//aceE//glpX//ssuD//oxc//hypB//fau//folE//guaB//glcB//deoC//mtlD//yfdE//nrdD//aspA//paaJ//allD//fumB//cysM//cynT//moeA//puuB//tadA//glgA//ung//argE//cysH//narG//miaA//codA//lsrF//rutB//fadB//cadA//aspC//amn//ssuE//torC//ssuE//ulaD//dnaE//lsrF//katE//ftnA//ubiC//nrdE//prs//tdcG//udp//sdhA//aceA//ahpC//pncB//pdeF//phnG//argE//ftnA//thrS//pheS//aroG//glgB//cysH//moaE//galT//moeA//ulaE//hemL//rutD//lpd//citE//prpC//argG//paaH//phnO//xdhB//purA//pta//frdC//polA//purB//glcB//ldtB//prpE//deoB//bacA//fadI//fucA//cueO//mhpE//abgB//glpB//rnpB//fadA//dsdA//aroF//yfeW//cynT//gapA//alaS//ahpF//lpxB//sodB//pdeF//ybjG//rutE//aceF//hmp//preA//bglB//moaE//dmsC//gabD//pgk//katG//upp//gapA//malZ//epd//gatY//deoB//idnD//bglB//sdaA//waaH//gnd//caiD//yjeF//purK//aroG//sucC//lhgO//argH//xdhB//napC//trpD//mdh//bioD//nrdE//aspC//eda//tdcD//hycF//acs//glgA//entE//aldB//slt//rutC//ubiG//hycF//purA//xapA//sucB//manA//appA//puuA//xdhA//mutY//hemL//paaC//garL//purM//ackA//puuD//fadI//hycD//garR//astA//fadI//aspA//glpX//tdcG//glgB//argA//entF//sgbE//lsrG//dusB//paaA//trmD//ybjG//caiA//hycG//ilvB//nrdD//alaS//cysK//hemA//pagP//atoD//glnA//yjeF//paaB//lldD//ynfF//sgbE//aceE//phnM//puuD//fadA//lhgO//thrS//hycE//trpC//pta//fabZ//cyoE//sdhB//betB//nirB//ogt//ubiX//araB//araA//epd//trpD//alaS//gatZ//mtlD//trpD//ndh//xapA//recF//lsrF//glpX//kbl//aroG//puuB//argE//argH//paaK//xylB//gcd//rutC//napC//polA//galK//glgX//cyoE//caiA//mhpD//galM//waaH//ilvB//purE//ilvH//aroL//paaK//phoA//yjeF//pgaC//paaI//prmC//rutD//tdcE//dmsB//garK//fau//rutE//ynfF//argG//nirD//mhpD//speC//prmC//astB//entA//bioB//rutC//atoD//mpl//nrdE//hypF//
