# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	upp//fumC//aceA//fes//
AlaS-L-alanine	fbaA//
AllS-allantoin	hycC//ilvI//lyxK//
AraC-L-arabinose	ssuE//acnB//prpB//xdhC//prmC//caiC//purA//
ArcA-Phosphorylated	ispE//adhE//puuA//manA//yeaE//tdcE//gapA//ynfH//sdhD//pta//rhaB//kbl//trpD//ascB//alaA//trpC//hflX//citX//araB//hycE//gutQ//hflX//mutY//dmsA//fucK//dapB//ilvA//galT//hycE//glgB//fucO//fumA//argF//recF//tsaE//cheR//gatD//xapA//yfdE//citF//phnH//argA//glpK//gnd//paaE//hemA//nagB//pdeF//fadB//paaZ//paaF//eda//rdoA//paaZ//astB//carB//gabT//sdhB//prmC//gcvP//malY//feaB//pheS//paaG//uxuB//paaJ//caiC//allC//glgB//adhE//lpxD//gatD//glpD//ssuD//argC//nirD//ubiA//aroL//fucI//sgbH//tehB//hypF//gatY//purA//cynS//sucB//caiC//nrdB//ubiC//gcvT//uxaC//gabT//trmD//gcvH//eda//napA//dnaE//
ArgP-L-arginine	melA//fadE//gcvH//glpX//ahpF//purM//ubiA//gcd//slt//sucC//fadD//
ArgR-L-arginine	ada//sdaA//nrdF//ilvG_1//cysH//lyxK//aldB//glyA//ilvM//aspA//purM//purK//murQ//ahpF//lacA//sodA//trmD//entA//glpD//ssuD//slt//edd//speA//
AtoC-phosphorylated	lsrF//cynS//nagB//
BaeR-Phosphorylated	galK//araA//
BirA-bio-5-AMP	nadC//eda//treC//dadX//citE//
CRP-cAMP	lsrK//paaF//alkA//pgaD//aroF//gadB//serC//uxaC//hpt//rhaA//argE//hmp//fadI//phoA//xapA//hemA//ynfF//nirD//tehB//cynT//mpl//hycB//hycF//srlD//sdaA//fadA//lpxD//idnK//citD//trpB//murQ//malQ//fadI//bcsB//aroG//metB//glpB//bioD//prmC//astE//aceB//speC//phnI//tdcE//srlD//speB//uxaA//rutE//yqjH//uxaA//serA//pnp//katE//gltA//entC//hemL//xdhC//trpB//uxaA//yfbR//aroG//sdhA//argC//moeA//phnM//dapB//glpQ//cysG//tdcD//dmsA//ilvN//aroA//atoB//cysI//lldD//paaA//tdcG//gntK//dkgB//tehB//hycC//serA//phnO//pgaC//fucU//phnP//fadH//alaA//fadD//tadA//pgpC//paaJ//nagA//glpA//zwf//lacZ//atoA//nrfD//cynS//narG//atoD//metK//alaS//uxaC//abgA//sucD//glpD//ilvA//adhE//galK//pyrD//fes//fadE//aceE//dadX//pyrC//tnaA//pflB//ssuD//chbF//mhpD//ung//lysA//bcsB//bioD//puuD//sufS//argI//paaA//tdcB//yfdE//gcd//nanK//alaS//citD//purN//paaE//chbF//idnK//xdhB//cysI//sdhA//hmp//gnd//thrS//uidA//hypF//hycE//glpC//metA//hycB//paaJ//hyaC//citF//argH//lysC//xdhA//yeaE//cysC//serC//cheR//gatD//ung//ldtB//fumB//gcvH//purK//ilvG_2//pta//glpE//aldB//metA//mltC//sucD//tyrB//ubiC//malS//lhgO//mtlD//thrS//pheT//glgP//metL//pgaD//napG//mpl//ynfE//sodB//ynfH//folA//aldB//cynS//garK//tehB//waaH//nanA//lacA//narH//napC//puuE//ascB//mltC//glpD//napA//hycE//ilvN//kbaZ//lysU//abgA//speC//araB//dapB//tdh//gapA//caiC//frdD//phnP//gdhA//xylB//entC//gcvH//cysG//fbaA//narG//iscS//oxc//ogt//pnp//purK//phnG//hmp//gpsA//katE//entA//atoB//bioC//sdhC//phnH//napB//glgX//uxaA//phnI//ppiA//fbaA//gnd//dapD//bioA//fucA//acnB//ynfF//phnP//ilvH//aceA//yfbR//mutY//oxc//hemL//carB//xdhA//thrS//carA//glpA//araD//napG//lpxD//fau//trmD//sucC//glyA//frdA//uxaC//fadD//chbF//frdA//galE//pgk//uvrA//citX//deoA//fucK//tdcG//nagA//rbsK//cheR//malQ//paaB//argE//amn//glpD//aspA//
ChbR-Monoacetylchitobiose-6P	torC//prpB//prpE//
CpxR-Phosphorylated	malY//purF//betA//rutA//rbsK//citF//phnJ//iscS//gpmA//trmD//caiA//truB//rutC//metB//sdhB//fadH//cysD//dmsB//tyrA//aceB//ilvD//hypF//
CreB-Phosphorylated	polA//tdcG//xapA//
CueR-Ag	lysA//bioF//galK//katG//
CueR-Cu+	cynS//ldtC//prpE//gcvP//
CuerR-Au	fadD//ynfH//bcsZ//katE//
CusR-Pasp	yqjH//nadC//katE//
CynR-Cyanate	puuD//adhE//guaA//
CysB-N-acetyl-L-serine	paaH//hycG//purE//ilvH//metF//aldB//nanE//ldtC//ackA//frdB//cdd//ispE//entB//lacA//patZ//cyoE//
CysB-O-acetyl-L-serine	moeB//pgpC//ugpQ//speC//phnG//ubiC//araA//phnM//phnG//moaD//chbF//sucB//nrfC//phnM//avtA//prmC//dmsC//
DcuR-Phosphorylated	lpd//dmsA//ynfG//entB//
DnaA-ATP	nrdD//dmsB//pnp//galE//caiB//argE//
DpiA-Pasp	srlD//lpxD//xapA//tyrA//speC//
DsdC-D-serine	entD//bglB//
