# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	moaE//lhgO//araA//entD//
AlaS-L-alanine	chbF//
AllS-allantoin	hemL//katG//fadJ//
AraC-L-arabinose	hflX//recF//nadC//avtA//speC//ynfH//cysD//
ArcA-Phosphorylated	frdA//entB//gcd//ldtC//astC//garR//ynfE//hycB//alkA//purE//nagB//galK//purB//fucU//ldtB//tyrB//bioC//glcB//phnM//sodA//trmD//ndh//guaB//appA//pyrC//nrfC//ilvC//lpxD//argB//ldtC//upp//argD//frc//tdh//trpE//ndh//ssuE//trpB//ulaF//entD//torA//purE//bcsA//phnG//nirB//purD//ispE//uxaA//lsrF//napC//alaA//atoD//argF//mhpF//cysN//yfbR//aceF//betB//astE//prpB//tyrA//hemA//edd//astD//gatD//xylB//fbaA//cysC//appA//sdhD//gnd//pdeF//fbaA//lpxD//garK//pnp//cysC//mltC//malQ//napB//lacZ//trpB//ldtC//ackA//nanA//galK//rutA//lysU//gpmA//glgA//napB//ubiG//sdhC//prpC//mhpB//frc//malZ//
ArgP-L-arginine	napC//mdh//yfdE//mutL//nrfA//citX//citE//nanK//hycE//glpK//prpB//
ArgR-L-arginine	gcd//yfbR//nanE//ung//hyaC//pyrD//nrfA//rhaA//citX//sgbH//fumB//ftnA//ynfE//purL//lacZ//allD//rutC//moaD//alkB//ppiA//cheB//epd//bcsZ//
AtoC-phosphorylated	glpQ//bcsA//sucB//
BaeR-Phosphorylated	rdoA//mutY//
BirA-bio-5-AMP	rutB//atoB//mhpF//entD//entD//
CRP-cAMP	lyxK//yiaK//entB//trpB//preT//hyaA//tnaA//puuC//aroH//uidA//ubiA//fau//rbsK//napB//argA//glgP//glpB//gltB//nagA//citG//katG//ascB//ulaF//fabZ//glgP//aceF//fumC//fumB//trpB//dadA//argH//aceA//purM//ackA//nanA//yqjH//ubiG//cynS//gatD//bioC//katG//gadB//torC//fucA//entA//cyoE//cdd//psd//nagB//glnA//fucI//paaE//speB//ugpQ//paaJ//dapB//kbl//chbG//hycE//preA//cpdB//deoC//rhaB//aspA//hycD//malY//sgbU//hyaC//argC//fbaA//aspC//purK//purF//acnB//tehB//prs//glgB//torA//lysC//icd//gcvH//preA//gdhA//glgC//aceB//moeA//psd//gpmA//fadB//puuD//citG//mhpC//pyrC//ulaD//nagB//nanA//galE//fadB//tyrA//aroF//prs//hycG//cysC//sdhA//fumC//dapD//fadB//hycE//ascB//talA//glyA//malS//hycE//gpsA//paaB//ssuE//puuB//uxaC//uxaA//caiA//paaE//ulaF//fdhF//glgP//acnA//mhpB//puuD//phnP//xdhC//astA//sodB//ilvM//sodB//cpdB//fadA//srlD//astA//mhpC//paaH//upp//xdhB//agp//ilvG_2//prs//xdhC//betB//metL//hycE//trmD//hycD//cysK//dadA//trpB//malQ//fdhF//moaA//idnO//glgC//hpt//cysN//cysK//uxaA//ilvG_2//paaI//nanA//glcB//fadA//tdcG//narH//purA//tehB//purC//nrdD//cadA//eda//moeB//purF//tsaE//lpxA//dgcZ//fes//folE//betB//preA//ynfG//glgX//prpE//moaD//paaI//lpxD//cysN//nadC//aspA//tdcB//tadA//mutL//galE//rhaD//edd//napH//bcsA//rhaA//paaB//umpH//glcB//uvrA//folA//lhgO//galK//sdhB//pagP//allC//gnd//carA//bioC//galK//citC//dapB//cpdB//cynS//frdD//ynfE//purL//paaH//ndh//sdaA//fucO//aspA//fumB//sdaA//yeaE//chbG//hyaA//allD//phoA//entF//gnd//cysJ//astD//nanM//glpK//rutE//dapB//mhpA//glpD//cheR//adhE//eda//malY//gabT//caiC//aroF//acnA//alaA//dmsC//bioF//sdhC//alkA//trpE//dapD//pnp//prpC//citF//puuA//astD//purC//ynfF//astE//prs//epd//ilvD//yiaK//mhpA//gatZ//aroL//ilvI//rnpB//narI//fadJ//kbl//metC//metF//napA//kbaZ//uxuA//ndh//gnd//serA//glpB//ldtB//
