# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	torC//ampD//
Ada-Methylated_pos	trpC//yjeF//hycG//araD//
AlaS-L-alanine_neg	dmsA//
AllS-allantoin_pos	nagA//ada//hycG//
AraC-L-arabinose_neg	citC//bioB//talA//cyoE//fadD//
AraC-L-arabinose_pos	nadC//acnA//puuD//allE//fucK//
ArcA-Phosphorylated_neg	gcvH//cysM//upp//hycD//pgaD//ftnA//ilvG_2//prpB//katG//fadD//pgaD//glcE//glpB//entE//uxaA//pncB//katG//fucU//atoB//metB//mdh//glpX//pck//tdcD//puuB//yjeF//ilvC//fadA//idnK//moeA//ftnA//speC//nanA//purN//araD//uidA//pflB//glgX//truB//napA//gabD//prpC//dusB//aldA//psd//yfbR//argA//guaA//yqjH//rdoA//entF//ulaD//gltB//mdh//galK//metE//napG//nagA//phnM//agp//xdhA//glcE//caiA//prmC//paaH//phnP//cueO//oxc//
ArcA-Phosphorylated_pos	xdhC//atoA//malQ//ppiA//nagB//gatZ//sodB//argG//cysM//metB//hpt//ilvG_1//aroG//sodA//nrfA//preA//frdA//glpB//lpxD//caiB//gutQ//paaA//mtlD//lpxD//mdh//cyoE//glcF//napC//bglB//araD//nrdB//gdhA//prs//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	ascB//hypF//puuC//astA//fumC//aroH//deoD//purC//metF//ilvC//serA//
ArgR-L-arginine_neg	ftnA//uidA//puuB//ndh//fumC//speA//deoD//tam//betA//paaH//ilvM//hycC//treC//idnO//alkB//phnI//bioA//frdD//
ArgR-L-arginine_pos	trpB//mpl//trpC//yeaE//ispE//
AtoC-phosphorylated_pos	uidA//galM//glpA//
BaeR-Phosphorylated_pos	edd//gltA//
BirA-bio-5-AMP_neg	hyaA//dkgB//hmp//uxaB//serC//
CRP-cAMP_neg	phnJ//dmsB//dgcZ//gpsA//glpA//deoB//pagP//chbG//atoD//galK//trpA//ldtC//metA//gdhA//avtA//gatZ//gutQ//srlD//trpD//fadA//pck//yfeW//trpD//galT//nanK//carB//gpmA//paaJ//frdB//appA//ilvC//lysA//uidA//lldD//sodB//umpH//fbaA//glpC//sucA//moaE//rutD//argF//lsrK//codA//ulaD//fumA//napA//caiA//appA//cysD//mhpF//preA//deoC//uxuB//cysG//sdaA//recF//entH//citF//trpA//aldB//betB//ilvC//carB//fadH//cysD//paaK//napC//trpB//hycC//ftnA//phnL//prpD//dadX//ynfG//treC//paaZ//malQ//
CRP-cAMP_pos	tnaA//allD//hpt//fucU//feaB//citX//frc//abgB//cynT//napA//chbG//ubiX//bacA//chbF//polA//mhpC//galK//hpt//nrdB//lacZ//tdcE//tdh//cynS//ilvG_1//metH//ilvC//aspC//glgB//argA//entE//citD//nrdF//glgC//lacZ//ubiA//aspC//ilvC//cyaA//bioC//rutB//purN//citE//purB//fes//galM//bioC//fadJ//astC//ung//mutY//speA//pgaC//ulaE//sucB//nanE//caiD//gapA//glpD//sdhC//bcsZ//glpB//aceF//bcsZ//paaE//paaB//sucA//tehB//hyaB//paaB//serC//puuE//xdhA//napC//preA//paaZ//ansB//mpl//tktB//rutC//pyrD//tehB//prmC//alaA//dkgB//uxuA//fadB//chbG//nrdD//carB//cysJ//glnA//rdoA//metK//gnd//ada//dapD//glpK//fadD//yqjH//hycB//malY//ilvG_1//pgk//tktB//alaA//fucO//argH//metB//nrdF//argG//astE//fumB//trpA//narI//sdhD//nrdA//phnG//ahpF//ynfF//pyrC//ilvB//aroG//hypB//pgaC//metB//nrfA//ilvE//nirD//frdD//gcvT//entB//moaE//lacZ//abgB//tsaE//katE//tauD//aspC//moaD//yfbR//cysJ//rutE//ppiA//glpB//lysA//ilvM//bioD//aldA//ndh//araA//sucD//glpK//purA//astB//fumA//rhaA//gpsA//hycE//xylB//kbaZ//nrfB//gltB//gnd//trpB//nrfA//citD//yfdE//ilvA//rhaA//sufS//aldA//kbaZ//astC//yfeW//pheT//epd//icd//prmC//paaH//gltB//serA//udp//chbG//edd//tdcE//lacA//rdoA//gpsA//napA//dsdA//metC//pheT//pta//galM//argG//purD//frc//speC//gpsA//sucA//aceB//frdD//paaA//paaE//yfeW//dkgB//hemA//purB//citC//kbaZ//astC//lldD//hemA//araA//ispE//sdhA//nanA//lysA//paaH//idnK//lsrG//phnI//ubiG//entA//phnJ//yfdE//aldB//glpC//glyA//fes//rbsD//ilvB//phnI//rutD//acs//malZ//alaS//lsrF//ilvG_1//purL//sdhD//fbaA//tyrB//
ChbR-Monoacetylchitobiose-6P_neg	pgpC//hypF//preA//
ChbR-Monoacetylchitobiose-6P_pos	aspC//acs//rhaB//
CpxR-Phosphorylated_neg	narI//citX//xylA//
CpxR-Phosphorylated_pos	fabZ//purB//argF//preA//adhE//tktB//allD//glnA//bioC//allD//gcvT//hycC//paaI//tsaE//puuC//iscS//aspA//malY//guaB//
CreB-Phosphorylated_neg	trpA//
CreB-Phosphorylated_pos	cysM//gapA//
CueR-Ag_neg	xdhB//hycE//
CueR-Ag_pos	ackA//araD//
CueR-Cu+_neg	aspA//speC//
CueR-Cu+_pos	gltD//pncB//
CuerR-Au_neg	tam//purF//
CuerR-Au_pos	hyaB//fadD//
CusR-Pasp_pos	tnaA//argB//pagP//
CynR-Cyanate_neg	
CynR-Cyanate_pos	speB//puuE//frdA//
CysB-N-acetyl-L-serine_neg	pck//lsrG//nrfC//
CysB-N-acetyl-L-serine_pos	ubiG//aspC//bioA//purD//rhaD//ilvB//cysC//uxuB//malS//pncB//tdcD//phnI//caiA//
CysB-O-acetyl-L-serine_neg	abgA//bcsA//ynfG//
CysB-O-acetyl-L-serine_pos	uidA//carB//puuC//dgcZ//purC//gatY//lacZ//argC//eda//fucA//nanE//cheB//cyaA//entC//
DcuR-Phosphorylated_pos	yfbR//hycG//glpK//aroF//
DnaA-ATP_neg	lldD//ftnA//amn//fucI//nrdE//
DnaA-ATP_pos	gcvH//paaC//purH//
DpiA-Pasp_neg	
DpiA-Pasp_pos	sucD//napH//malZ//pagP//ulaD//
DsdC-D-serine_neg	
DsdC-D-serine_pos	katG//hflX//
EvgA-Phosphorylated_pos	allE//ilvC//argC//lysU//citE//
FNR-Fe_neg	ilvI//upp//betA//katG//bioD//yqjH//icd//prs//lpxA//umpH//fadH//sdhA//moaE//hycB//lpd//avtA//purC//atoA//rhaD//rhaA//lacZ//puuE//dnaE//pnp//fau//moaE//metB//puuD//nrdB//pdeF//lpxB//rutC//napA//ubiC//pnp//purC//tdcD//xylA//dnaE//cysM//alaA//gutQ//allC//purH//ulaF//nrfD//metC//
FNR-Fe_pos	puuA//tyrA//serA//thrS//tdh//nanA//chbF//idnK//aroF//tnaA//ndh//amn//ackA//pyrD//purF//ulaD//xylB//miaA//murQ//nirB//gpsA//tdcB//uvrA//caiB//aroG//ynfE//metF//deoB//glcE//agp//mtlD//caiD//mdh//puuE//metK//uxuA//glcD//pgaD//cyoE//rutA//galT//mutY//ssuE//ynfE//paaB//paaZ//phnI//pheT//nrfD//tdcG//purE//puuE//nrdB//carA//phnJ//entH//torC//fucU//xdhC//entA//hycF//garL//pgpC//tyrB//fucU//prmC//puuA//bioD//napC//entD//malS//ahpC//ynfF//phnP//speC//araB//gcd//mutL//gltB//glcD//tdcB//fes//glyA//aceA//fucA//dmsB//truB//metF//citF//serA//zwf//narG//
FhlA-Formate_pos	ssuE//pgk//paaJ//ilvB//paaF//lpd//gatD//
FucR-L-fuculose-1-phosphate_pos	fumA//dgcZ//malZ//ilvC//hycE//phoA//
Fur-Fe2+_neg	entD//speB//mhpA//acnB//fbaA//lpxA//metH//prmC//tdcD//yqjH//dmsC//lldD//pdeF//udp//katG//ascB//argA//phnO//glpC//glyA//allD//cheR//pheS//carB//aldA//dmsC//aroG//deoC//gltA//hycD//phnM//tauD//glcD//fadI//prpB//hycF//dapB//cheB//malY//citD//ulaF//caiC//metL//paaA//purL//entE//hyaB//cysN//xdhB//speA//purK//paaF//yjeF//ilvG_2//malQ//gdhA//rutE//glcB//aspC//
Fur-Fe2+_pos	fadA//fucI//recF//phnM//caiB//araA//ilvM//serA//caiA//dmsC//ssuE//pyrD//ilvD//tdh//bioD//cadA//purL//metF//aspA//astB//
Fur-Mn2+_neg	bioB//alkB//araA//ugpQ//moaD//cysM//fadB//paaF//idnO//argG//ispE//gcvH//gltD//citE//alkA//ilvA//purF//malP//argA//argF//puuB//uxaC//umpH//cysD//araA//speA//paaH//citF//ilvE//ilvD//gdhA//argE//sdhB//astA//pagP//dadX//udp//cysC//mhpD//speB//bioB//lysC//pyrD//frc//ybjG//ahpC//paaC//abgB//atoD//frdD//tdh//hyaB//gatY//dapB//pgk//tdcD//puuD//sucC//mhpF//
Fur-Mn2+_pos	puuC//acs//katE//paaC//metK//bcsB//argH//ampD//purB//atoB//glgB//glgC//rutE//cysC//nanK//glgB//tdcB//malP//pheT//pncB//
GlcC-Acetate_neg	
GlcC-Acetate_pos	cysH//uxaC//gnd//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	nagA//trpB//pheT//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	xapA//cysC//hycF//
IdnR-5-ketogluconate_neg	glcF//trpE//
IdnR-5-ketogluconate_pos	citC//mltC//rutC//pnp//
IdnR-Idonate_neg	trpC//dkgB//
IdnR-Idonate_pos	cpdB//frdB//sdaA//argI//
