# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	fbaA//allE//
Ada-Methylated_pos	gcvP//citF//frdC//rutC//
AlaS-L-alanine_neg	caiB//
AllS-allantoin_pos	hycC//gcvH//pnp//
AraC-L-arabinose_neg	frdC//ahpC//ynfG//ulaF//pagP//
AraC-L-arabinose_pos	lpxB//dadA//mltC//puuD//tdcE//
ArcA-Phosphorylated_neg	argF//treC//sdhC//rutE//dgcZ//metK//paaJ//glpB//chbG//uvrA//mtlD//citC//glpD//glcF//rbsD//gltA//glpK//ilvD//glnA//fadH//aceE//purN//pagP//serA//citF//dsdA//yqjH//rnpB//purE//pnp//napH//idnD//atoB//fadI//alkB//purA//metK//uxuB//allE//tsaE//cyoE//purE//ogt//garK//sdhA//deoA//cysD//iscS//prpE//caiA//purM//alaS//katE//feaB//galM//fdhF//gcvH//dgcZ//purE//trpD//lsrK//glgA//trpC//ispE//fucK//dgcZ//hpt//gdhA//
ArcA-Phosphorylated_pos	ilvG_2//paaG//bioC//glcD//astB//astD//hemA//tdcE//rhaA//glgC//phnP//trpB//galK//uidA//yqjH//gcd//phnI//puuB//purA//cueO//tauD//ubiA//nirD//fucO//hycF//pyrC//glpX//aldA//gpsA//citF//frc//dmsC//aroA//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	yjeF//alaS//carA//napC//araB//mutL//sodB//lpd//rhaB//tdcG//pta//
ArgR-L-arginine_neg	ilvM//citC//nrdE//metA//moaD//glgA//folE//rbsK//glpK//pgaB//bcsA//glpX//ilvC//fadJ//fadD//mhpE//tyrA//puuA//
ArgR-L-arginine_pos	xylA//moaE//codA//nrfC//uxuB//
AtoC-phosphorylated_pos	purD//pnp//miaA//
BaeR-Phosphorylated_pos	argC//aroF//
BirA-bio-5-AMP_neg	argC//nrfA//frc//nanE//puuC//
CRP-cAMP_neg	citG//purF//hycG//gabT//zwf//bglB//guaB//cysH//glgC//paaG//yqjH//hpt//phnL//truB//cysK//hyaC//abgA//tdcB//lpd//fabZ//sucD//galT//idnO//rutC//xdhC//ynfE//preA//cheB//argC//ppiA//eda//fabZ//tdh//argF//glgP//galK//glpB//cueO//phnO//gabD//nirB//cpdB//fadI//glpE//mdh//nagB//dkgB//hypB//rbsD//ilvH//purF//icd//sdhD//argI//feaB//metB//metF//glcE//ynfH//dadX//garL//cynT//phnJ//rutD//moaA//gcvP//fadI//ung//glgA//speC//thrS//xylA//ispE//galE//fucI//ppiA//sdhC//nirB//
CRP-cAMP_pos	hemL//cysG//dsdA//malY//tnaA//dnaE//gutQ//lpxB//phnG//lacZ//aroA//fadB//mpl//ilvA//alaS//moaD//pheT//mhpF//tehB//aspA//glcD//purA//cdd//trpB//trpD//rutB//tdcD//ogt//gcd//rutE//purM//malY//rutB//gnd//ilvG_2//galM//citC//paaA//ldtB//rdoA//galE//lldD//gpsA//yjeF//mutL//sdhB//mutY//gabD//rnpB//astC//pgaB//sdhC//carA//manA//nagA//napH//glgP//paaH//napB//gapA//ahpF//paaG//bcsB//frdB//psd//fadJ//rutC//mutL//citD//fadA//fbaA//dmsB//nrfC//napB//aceF//fes//napB//sdhC//deoB//glpQ//nadC//hycC//dmsC//hycD//gpsA//glcD//garL//paaG//phoA//bioC//alkB//pyrD//uxuA//lsrK//glnA//mdh//aroH//alaA//ssuD//deoD//deoB//pck//entD//dmsC//hycG//paaK//dusB//paaF//glpA//chbG//alkB//gltA//fabZ//mhpD//ybjG//polA//argI//aspA//sdaA//gabD//dapB//ynfF//ssuD//phnH//glpK//galT//phnH//purA//tyrB//aspC//abgB//cysC//mhpC//fucI//napC//speA//ubiX//preA//aceF//acnA//aroL//malQ//phnP//rbsK//argB//rhaB//ackA//xdhC//abgB//upp//hcp//aspA//ulaF//mtlD//uxaC//cynS//nrfC//lpxA//fau//gutQ//glcB//ubiG//gatZ//citG//argF//nrdA//purB//ilvB//hycB//speC//citD//argI//ulaF//galE//speB//ldtB//nrdE//pgk//bioC//galT//hycC//ubiC//entC//aceA//cdd//nrdE//puuC//carB//xylA//caiD//ynfE//ynfG//paaF//ung//glpA//abgB//xylB//argE//sucA//nrdA//aroL//nrdD//idnO//prpC//entF//sdhB//folA//gpsA//rhaA//fucA//alaS//pta//acnB//ulaF//cueO//glgX//gcvH//betB//codA//astD//nagA//mhpF//nadC//pncB//nrfB//lysC//sucD//cysI//metB//upp//uxaB//torC//ubiX//serC//idnO//fes//umpH//entA//hyaC//lpxB//fumC//fau//moaA//
ChbR-Monoacetylchitobiose-6P_neg	ulaD//fucI//fes//
ChbR-Monoacetylchitobiose-6P_pos	purA//upp//cysD//
CpxR-Phosphorylated_neg	phoA//trpC//gadB//
CpxR-Phosphorylated_pos	purA//paaF//napG//polA//prpB//ynfF//tsaE//purN//phoA//sdaA//astE//ansB//pagP//rutD//nirD//preA//thrS//rutE//paaC//
CreB-Phosphorylated_neg	carA//
CreB-Phosphorylated_pos	astA//bioC//
CueR-Ag_neg	metC//nrfB//
CueR-Ag_pos	tauD//purD//
CueR-Cu+_neg	prmC//deoC//
CueR-Cu+_pos	ogt//phnI//
CuerR-Au_neg	patZ//prmC//
CuerR-Au_pos	ldtB//entD//
CusR-Pasp_pos	prs//iscS//sdaA//
CynR-Cyanate_neg	
CynR-Cyanate_pos	rhaA//aceA//gpsA//
CysB-N-acetyl-L-serine_neg	frdA//udp//allC//
