# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	gltB//ssuD//
Ada-Methylated_pos	rutE//deoB//glcB//gadB//
AlaS-L-alanine_neg	lpd//
AllS-allantoin_pos	aroH//fau//tnaA//
AraC-L-arabinose_neg	argH//aroF//murQ//bglB//nirB//
AraC-L-arabinose_pos	aroH//fucU//phnJ//codA//pheT//
ArcA-Phosphorylated_neg	speC//aceF//oxc//idnD//lldD//ftnA//phnL//nrdB//paaB//katE//fadD//waaH//ssuD//pgaB//tam//rnpB//torC//lldD//ulaD//mhpA//hemA//atoB//pgaB//udp//aspC//tam//fadJ//metC//ulaF//paaJ//yfeW//pdeF//ada//nirD//nrfA//mpl//lysA//purF//yfdE//purN//frdA//mhpB//moaD//slt//puuB//prpB//gatD//atoB//glpB//nagA//acs//folE//dmsB//metF//fadD//preA//bioA//icd//cysH//guaA//lysC//garK//ansB//cynT//astB//bcsZ//frdA//purN//
ArcA-Phosphorylated_pos	glnA//tktB//upp//aroG//mhpD//aceA//fbaA//ubiX//glpX//paaC//malP//folE//cheB//trmD//kbaZ//argG//metH//lysC//tdcD//fucK//deoA//torC//nanE//acnA//puuB//bioD//purC//ulaD//araB//caiC//pnp//gpsA//glcF//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	uxuA//lsrG//astC//narI//aldB//gnd//uxaC//cyoE//paaE//gcvP//trmD//
ArgR-L-arginine_neg	aceE//metK//trpC//idnK//argI//lsrF//malQ//paaF//nrdD//phnI//fdhF//trmD//hycE//dmsB//prpB//malQ//rhaD//sodA//
ArgR-L-arginine_pos	phnJ//narI//tauD//metH//alkB//
AtoC-phosphorylated_pos	bioA//entA//hypF//
BaeR-Phosphorylated_pos	uidA//araB//
BirA-bio-5-AMP_neg	prpD//rutE//uxaA//malP//nagB//
CRP-cAMP_neg	sdhA//hycG//citE//nirD//paaZ//carA//lpxB//hemL//rbsK//dusB//tsaE//lsrK//mpl//fadA//phnO//miaA//fucU//mhpB//purC//tyrB//entH//metF//puuA//ubiA//hcp//paaB//paaC//fadD//prpE//tsaE//truB//manA//hpt//pgpC//hmp//gcvP//xapA//argI//ynfE//lpxD//mdh//ahpF//hyaB//abgB//cysI//lsrK//metF//fadI//fadH//sodB//ilvI//hyaB//lsrG//pflB//cysD//ilvG_1//puuD//nanE//chbF//phnL//treC//citE//hyaA//aroF//ilvI//lsrF//ftnA//argI//paaG//hemA//aspC//tdcD//atoB//puuC//rutA//kbl//gltB//ldtB//
CRP-cAMP_pos	gpmA//metB//galM//paaB//araA//purD//entF//pyrD//argG//malY//dusB//rbsK//ilvB//allE//pgaD//tdcG//iscS//alaA//upp//mhpA//melA//tdcG//hycG//phnN//fadI//trpD//tktB//phnI//nrdA//glgA//tnaA//gltD//ssuD//glcE//talA//phnH//aroF//betA//gapA//xdhB//gcvT//rutD//purC//gltB//napG//dmsB//allC//phnI//lpxA//bioC//cdd//pgpC//ilvM//dmsC//ahpF//napC//mtlD//argF//ftnA//galK//hypB//sdaA//abgA//paaF//ada//lysA//argI//mhpE//uxuA//ilvI//acs//glcE//paaI//ilvH//mpl//cyoE//fadA//sucC//cpdB//purF//sdhA//hycC//speC//nrdA//metA//sucC//cyoE//napB//hmp//paaA//hyaA//pflB//dgcZ//glgB//zwf//hcp//xapA//ldtB//uvrA//allC//uvrA//citD//nanM//garR//aroL//prpC//nrdD//hypB//gltB//feaB//ahpF//araA//ilvG_1//umpH//fumA//aceF//entB//metB//rhaA//lysC//xdhC//ogt//frdA//hycF//uxaB//ascB//gadB//paaE//alaS//hycG//umpH//glgC//fadI//garK//paaA//nagB//xylA//pgpC//carB//chbG//paaB//purA//cyaA//preA//metL//phnG//fbaA//bioB//galE//fadI//cynT//frdC//gpsA//purD//gcvT//mutY//kbl//nrdE//napC//argE//tdh//cyaA//glcB//garL//ilvA//glgA//ilvM//hycF//mtlD//phnM//chbF//upp//malP//cheR//metA//hyaC//ascB//alkB//phnL//aroL//zwf//caiB//serA//ilvB//trpB//gnd//narH//folE//uxaA//araD//xylA//appA//preA//rdoA//astA//caiB//purD//puuC//allC//ubiG//lacZ//glpB//fdhF//hyaC//mtlD//narH//sucC//garL//aceF//metC//ssuD//rnpB//paaJ//lacZ//fadB//ampD//ispE//aceE//hycC//tdh//tdcB//ssuD//pncB//fadA//rhaD//nrdA//nagB//guaB//caiA//tyrA//argH//tyrB//sodB//alkA//araB//aroL//puuA//narI//lpxB//garL//paaH//lsrK//betA//
