# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	rnpB//lpxB//
Ada-Methylated_pos	fes//entH//tauD//cysC//
AlaS-L-alanine_neg	alkA//
AllS-allantoin_pos	mhpA//gatD//frdA//
AraC-L-arabinose_neg	pnp//glpK//ftnA//icd//aceE//
AraC-L-arabinose_pos	fadD//eda//xdhA//ascB//ynfH//
ArcA-Phosphorylated_neg	pnp//ackA//entD//argD//metA//rutD//cysJ//nrfB//ilvA//mtlD//entH//bacA//acnB//nanE//sucA//sdhC//trpE//garK//paaE//lpxA//gltA//metK//ilvI//pagP//malZ//hpt//gabT//hcp//idnK//cysH//rbsK//zwf//cysC//ybjG//ubiX//astB//entA//guaB//mltC//metB//ung//mdh//nrdE//sdhD//fumA//fumC//torC//patZ//ilvA//gatD//glgX//fadD//glnA//prpE//lysC//pgpC//dapD//pgk//uxuA//malY//uxuA//argH//udp//bioB//hycG//purN//fumB//ldtB//
ArcA-Phosphorylated_pos	glpC//ldtB//umpH//fadJ//cheB//avtA//paaE//metC//pflB//entB//iscS//pgaC//nanK//bioC//ilvA//galM//gcvP//folA//sdhB//idnO//citG//acs//fau//ilvG_2//frc//pyrD//codA//manA//gabD//lsrG//paaI//cadA//garL//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	agp//nrfB//bcsB//gadB//gatZ//ndh//entD//malZ//avtA//purN//cheB//
ArgR-L-arginine_neg	nrdA//mutY//moeB//ilvN//glpD//fumC//nanA//pta//bioD//tehB//yfeW//ilvD//tehB//rhaA//purL//malQ//lpd//frc//
ArgR-L-arginine_pos	aroG//fucU//treC//hemL//pncB//
AtoC-phosphorylated_pos	aceF//entD//dusB//
BaeR-Phosphorylated_pos	fadH//hypB//
BirA-bio-5-AMP_neg	lldD//sdhD//guaB//prs//amn//
CRP-cAMP_neg	entH//uvrA//ahpF//paaH//sdhD//trpA//tktB//fucU//glpX//torC//lacZ//mutY//trpB//napB//ldtC//ilvE//gcd//napA//acnA//glpB//lysC//citF//yjeF//malQ//fabZ//appA//kbl//glgX//glcF//tehB//pnp//frdC//fadI//hyaC//paaA//napH//paaF//cysC//gcvT//bioA//paaF//sucC//nanA//rhaD//recF//paaZ//yfbR//gcd//trpD//gadB//cheB//alkA//puuE//carA//avtA//codA//cysI//deoB//nagB//mhpA//oxc//cysJ//aceB//ubiX//paaJ//ssuE//glyA//ung//astE//dadX//slt//dapB//cueO//tnaA//fadI//purC//lacA//tam//
