# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	tktB//pflB//
Ada-Methylated_pos	metK//guaB//pncB//tyrA//
AlaS-L-alanine_neg	icd//
AllS-allantoin_pos	purM//metB//gcd//
AraC-L-arabinose_neg	hyaB//fadI//ahpF//dusB//trpA//
AraC-L-arabinose_pos	purC//citE//melA//acs//deoB//
ArcA-Phosphorylated_neg	tktB//alaA//paaG//fucO//yjeF//polA//mhpE//fadH//glgC//ahpF//glpA//pflB//allD//astC//yeaE//argA//gpmA//carB//purH//bacA//ahpC//carA//citF//lpxD//mutY//moaE//speB//ispE//glcE//ilvG_1//tyrB//tdh//uxaB//edd//mhpA//upp//lpxD//srlD//lysC//metF//glyA//torC//tam//yeaE//hyaA//lysC//moeA//pgpC//cheR//dnaE//katE//gltD//mhpC//napA//purF//pagP//hycF//ackA//fes//lpd//alkB//aldB//hmp//nirB//puuA//ilvC//lacA//atoA//
ArcA-Phosphorylated_pos	edd//prpE//pck//puuA//ilvI//paaI//prs//citD//paaH//adhE//gabD//uxaC//pheS//moaE//purA//glnA//ynfF//hyaB//pheT//glnA//hflX//dsdA//cynS//nirB//atoB//glcE//malZ//ubiX//frc//entE//hcp//hemL//bioF//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	dadA//citD//fadJ//malS//fabZ//mhpD//uidA//gpsA//nrdF//sufS//murQ//
ArgR-L-arginine_neg	alaA//frdA//cyoE//cpdB//dapB//torC//yqjH//cynS//rutE//rhaA//glcD//ung//araD//argA//trpC//torA//citC//trpB//
ArgR-L-arginine_pos	paaI//tyrB//nadC//ppiA//malS//
AtoC-phosphorylated_pos	paaA//garR//cynT//
BaeR-Phosphorylated_pos	dnaE//aroG//
BirA-bio-5-AMP_neg	icd//paaJ//prs//glcB//fadJ//
CRP-cAMP_neg	rutA//cysG//narH//ahpF//nrdF//zwf//aceE//gcd//speA//nagB//aldA//glpD//phnP//phnJ//argE//tadA//argH//ansB//folA//glpB//glcB//sdhB//thrS//caiD//epd//puuC//sdhB//epd//glcF//ogt//citX//torC//uxaA//edd//tsaE//glcE//bcsA//thrS//pyrD//amn//nrdE//deoC//betA//oxc//hmp//ldtB//gntK//phnI//citX//gpsA//citG//puuB//ulaE//metA//aspC//purD//alaA//sdhA//entD//phnJ//ynfF//moeA//edd//glpE//metL//xylA//feaB//citD//lysU//pheT//glpB//guaA//purM//fadA//argF//metE//ulaF//agp//
