# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	pgaC//glgB//
AcrR	sgbU//xapA//
Ada	cysG//fabA//pyrD//tpiA//
AdiY	tnaA//fadD//frc//rhaB//
AgaR	sucA//
AidB	dkgA//
AlaS	lpd//
AllR	fabB//hyaB//tdcE//garD//nanM//fucI//
AllS	torC//dkgA//frdA//
AlsR	aceE//fumC//prpC//
AppY	accC//glpQ//
AraC	dkgB//trpC//bacA//ldtC//fdhF//argA//tdcD//
ArgP	sgbH//pdeR//glgP//sgbU//pyrC//umuD//ldtC//fucO//hmp//
ArgR	entD//nrfB//rutA//cyoE//ftsI//gntK//idnO//fbaA//murE//moeB//pflB//rhaA//dmsB//fadA//acnA//araD//glxR//argI//ttdB//glpQ//rffM//folE//fabZ//
ArsR	ynfH//pdeH//
AscG	xylB//umpH//
AsnC	fadA//ppiA//
AtoC	lpxC//trpC//murQ//
BaeR	hypF//fes//
BasR	purK//deoB//tpiA//
BetI	astB//trpA//tnaA//
BirA	pagP//cysK//gltB//dgcC//entD//
BluR	
BolA	gcvP//puuE//
CadC	murE//prpE//
CaiF	dgcC//nadB//dhaL//hcaF//fucI//
Cbl	yqhD//bioF//dmsB//uidA//napG//
CdaR	ruvB//murQ//truB//lpxC//entF//eno//fbaA//moaE//appA//
CecR	
ChbR	napG//idnD//tyrB//
ComR	
CpxR	tdcE//allD//wrbA//hcaC//paaY//frc//yqjH//serA//aroG//sufS//gnd//sdhA//mhpF//entA//fadE//fucA//gatD//metK//fadJ//argE//allB//
Cra	aspC//lyxK//cynS//tehB//allA//hcp//entA//cdd//iscS//rhaD//amn//nagB//gor//bioA//glxK//glcF//rffH//xapA//gpmM//fbaA//hyi//gatD//gntK//hycF//dhaM//polB//waaY//prpB//gapA//kbaY//ubiC//tam//hycF//glcE//napG//ychF//hycB//phnN//chbG//pgaD//lpd//puuE//fabI//ldtD//rhaB//bioF//tynA//paaY//xylA//pdeL//glmS//idnD//metH//idnK//yfbR//glxR//tam//moeB//rsmH//phnH//
CreB	rdoA//nanK//
CsgD	ddlB//rhaD//moeA//sucB//glcE//
CsiR	idnO//pck//mraY//ybaS//
CspA	alaS//
CueR	cysH//edd//carA//leuB//
CusR	phnH//ldtD//dmsA//
CynR	garK//allC//gatD//
CysB	idnD//hycG//glgP//nrdB//codA//moaE//hcaC//purF//mltF//fbaB//tynA//astE//idnO//speA//nagB//gcl//gltB//ubiC//
CytR	glpA//argG//allA//aceE//hypF//fadJ//ampC//phnG//prpD//rffC//
Dan	mhpE//hcp//
DcuR	fbaB//glpB//murE//nirD//
DeoR	polB//caiD//gapA//tnaA//ldtB//nagA//
DhaR	katE//
DicA	
DinJ-YafQ	lldD//
DnaA	ilvC//entC//prpE//thrS//citG//leuD//
DpiA	waaZ//paaH//gudD//icd//fabG//
DsdC	deoB//purA//
EbgR	
EnvR	deoD//paaJ//
EnvY	glmS//leuB//
EvgA	umpH//fes//araD//phnN//paaH//fabG//
ExuR	sucA//nrdB//malQ//sgbH//glyA//caiD//
FabR	glcF//metE//
FadR	bglB//speB//nrfC//galK//alkB//ycjG//moeB//pdeH//dhaL//psd//hypB//mazG//fumB//argI//mhpE//accB//leuC//srlD//
FeaR	entA//xylA//
FhlA	citC//tauD//idnD//sdhA//guaB//umpH//gltB//
FlhDC	astB//aroG//udp//murE//paaB//purK//ftsI//nrfC//glpK//cysJ//wecC//
FliZ	ulaG//phnJ//aroL//trpC//allD//
FucR	fadJ//ftsI//gpmM//eda//glpC//lacZ//
Fur	hemH//slt//phnN//ndh//rpiB//mtlD//phnH//tktB//citE//aspA//nanE//pdeH//leuA//citC//treC//cdd//nrdF//amn//purA//trpA//dgcZ//treC//murD//fucU//alaS//malP//dacC//fucA//nanM//fucI//metB//rsmH//yiaK//polB//icd//moaE//glcF//aldA//paaA//pheT//tktB//argE//wecC//eno//sodB//deoD//pflB//ybjG//ldtC//fbaA//nanK//cysM//rutA//ppsA//hyaA//paaZ//betB//yqhD//nrdE//malY//lldD//lsrF//accD//
GadE	frdA//moeB//hypB//mtlD//citE//araB//sodB//purN//ogt//idnK//
GadE-RcsB	cysM//ssuE//putA//hcaD//
GadW	paaH//nfsB//talA//lysC//
GadX	rhaB//amn//yibQ//gatY//mhpC//argI//rffM//ychF//gntK//bacA//hyi//sdhA//
GalR	hyaA//ttdB//pgi//fabI//aceA//relA//
GalS	napC//luxS//ulaF//tktB//napB//ada//
GatR	sodA//malP//malS//
GcvA	hycD//cadA//puuA//
GlcC	glgX//hcaF//glmU//
GlpR	torA//hyaA//sdhA//entE//aroG//alsE//guaB//
GlrR	
GntR	pnp//purF//acnB//pheT//cysJ//fabA//mdh//rdoA//mltF//
GutM	uxaA//srlD//pnp//
GutR	fabB//aceB//sucC//
HU	hemH//rutD//speA//entH//glxK//uidA//paaJ//
HcaR	tdcB//rpiB//
HdfR	
HigA	argG//
HigB-HigA	allB//
HipAB	betB//allC//
HipB	cysE//adiA//gcvP//
HyfR	citG//
HypT	pyrC//moaA//cysH//gor//katG//hcaB//rdoA//
IclR	phnO//betB//paaY//
IdnR	mhpF//wzb//lysA//dmsC//glpQ//aroL//
IlvY	pepD//
IscR	hycB//umuC//caiA//nanM//murD//astC//
KdgR	dhaK//galM//
KdpE	entE//
LacI	pdeL//trpB//ulaD//
LeuO	glnA//purB//paaJ//gltB//moeB//fabG//
LexA	sdhD//oxc//pepD//chbG//ubiC//pgpC//alaC//allB//gpmA//purH//gapA//mdh//moeA//tauD//leuC//arsC//pgaD//murE//glpD//nrdD//guaB//
LldR	astC//citD//
LrhA	
LsrR	nemA//ynfE//astB//rhaA//gatZ//
LysR	ubiX//
MalI	frdC//glgB//
MalT	caiA//ulaD//ugpQ//paaY//frdD//tktB//
MarA	tnaA//paaY//frdC//atoD//idnK//hycB//fau//pgaB//nrfA//moaD//pheT//yiaK//uvrA//slt//pyrD//galT//cysK//sucB//araD//lysA//paaJ//folA//mdh//
MarR	
MatA	torC//
MazE	chbG//
MazE-MazF	hemL//
McbR	
MelR	hcaE//pheS//
MetJ	wrbA//ldtB//tnaA//rutE//pykF//nagA//fau//icd//hycB//slt//
MetR	fbaA//polA//mhpD//waaH//
MhpR	frdB//hyaB//nadB//dapD//betA//carA//
Mlc	lsrK//fadE//citF//glcB//
MlrA	napH//
MngR	ubiX//ppsA//
MntR	sgbH//entC//
ModE	tyrB//arsC//hyaC//malQ//hycB//gcvP//slt//tdcG//pykF//glpA//cynS//appA//metF//gltB//
MprA	gor//nrdD//accB//
MqsA	mhpF//aspC//
MraZ	hcaD//cadA//ppc//phnP//waaY//fbaA//paaC//murQ//tpiA//fumB//glmS//
MtlR	uvrC//lpxA//hypF//
MurR	ulaE//uxuB//puuA//
Nac	iscS//entA//hycC//tyrA//leuB//ndh//glpD//aroG//lhgO//ribA//
NadR	glmS//hcaF//ulaD//ulaD//
NagC	narH//lpxA//appA//sgbH//tdcB//hypB//tehB//phnJ//epd//ubiA//dhaM//tehB//murC//argG//wzb//puuA//nanA//arsC//tynA//
NanR	lpxD//nirD//malP//dacC//katG//hcaE//
NarL	fucU//ndh//napC//moaE//ulaD//aspA//aceF//fau//paaH//paaK//glpQ//fadD//citE//entA//rnpB//cynT//yeaE//fes//tdcB//cynT//pgaD//citX//gabT//fucI//arsC//gor//cueO//rhaB//pdeH//pgk//kbaY//betA//metK//dhaM//hyi//ulaG//
NarP	tdcG//yfbR//folE//fadA//fbaA//purH//cysJ//asnA//gnd//rutB//phnH//
NemR	napA//ogt//
NhaR	eda//phnJ//dkgB//trpA//katG//
NikR	nanA//
NimR	dapB//
NorR	murD//
NrdR	katE//pck//add//paaC//
NsrR	puuB//ulaD//cynT//sufS//gloA//ycjG//xapA//guaA//caiD//sdhD//pgaC//recF//paaE//xylB//add//tdcG//cysD//galM//glgB//entB//argB//accD//purF//fabZ//ugpQ//ampC//cadA//cynT//nrfA//tynA//ogt//astB//dmsB//hyaB//appA//astA//
NtrC	pyrC//rutE//umuD//ugpQ//argG//chbG//yqhD//entE//add//accC//malY//pck//entB//hemH//ulaE//ulaE//nanK//alaC//ybjG//ung//umpH//
OmpR	prs//glgA//fadH//metK//cysI//luxS//ttdB//rffC//
OxyR	epd//aspA//rffC//fadB//bglB//murD//argB//paaB//udp//phnL//ttdA//rffM//ampC//ugpQ//
PaaX	accA//add//frdC//cysG//ulaG//waaZ//udp//atoD//glgA//
PdeL	cadA//
PdhR	phnH//rutD//trpA//gpmM//pflB//sucB//citC//guaB//adhE//moaE//sufS//uvrC//garD//icd//glxK//cysE//betB//cueO//glcD//murF//dgcZ//citX//ldtB//ndh//poxB//bioD//
PepA	dmsC//metA//
PgrR	argB//dapB//
PhoB	relA//speB//moaE//tdcE//gltD//trpB//iscS//dgcZ//nanA//sufS//folA//fumC//glpX//codA//ruvA//tnaA//narI//guaA//
PhoP	add//puuA//argB//tyrB//paaY//gadA//pagP//pyrD//prpE//paaB//aroL//sufS//purB//fucU//paaZ//atoB//uvrA//araA//fadD//murF//mltF//purM//sgbE//pdeH//glpX//sgbE//udp//paaF//dgcZ//astB//tehB//waaH//frdA//
PrpR	purA//xylA//nagA//phnG//
PspF	trpC//
PurR	fadM//guaA//sgbU//malQ//argE//bioC//lysC//nemA//gdhA//gcvH//kbaY//ung//allD//tdcE//accB//tktB//nanA//paaJ//hcaD//nrfB//eda//nrfC//atoD//mhpE//atoD//bacA//
PutA	mdh//kbaY//
PuuR	ulaG//nemA//allA//ynfH//aroH//lysC//
QseB	
RbsR	glmU//lysC//dhaL//malQ//dmsB//dmsA//
RcdA	paaF//
RclR	
RcnR	gor//
RcsAB	rdoA//ndh//bioB//
RcsB	puuC//aspA//entE//pspE//
RcsB-BglJ	ttdA//pyrD//
RelB	mhpC//
RelB-RelE	udp//
RhaR	
RhaS	fau//patD//phnN//polB//
Rob	ruvA//nagB//pepD//folE//hycE//aroG//atoA//fadD//lpxA//paaI//glcB//glgB//ribA//luxS//rutA//cynS//glpK//bioD//chbF//
RstA	cysK//metA//rffC//
RtcR	fbaA//cysE//
RutR	glgX//xylA//gcvT//psd//bacA//dgcC//chbF//glyA//fadA//uvrC//entC//
SdiA	
SgrR	trpE//phnL//glpK//
SlyA	
SoxR	dhaK//
SoxS	hypB//cysM//cyoE//gpmM//kbaZ//narI//carA//araD//tynA//pdeL//edd//polB//entA//kbaZ//betB//rhaD//sucC//pgk//allB//prpB//dgcC//gltD//gadA//xapA//dhaM//pgaC//
StpA	prpD//ynfF//entH//
SutR	sgbU//uxuA//
TdcA	rffH//frdD//garR//pyrC//gloA//
TdcR	prpE//ftsI//codA//murF//uxuB//
TorR	murD//argD//fes//purK//
TreR	thrS//dsdA//
TrpR	purB//dsdA//wrbA//metK//tam//patA//atoA//dgcC//waaH//
TyrR	pspE//bioD//nanE//hcaE//xylB//pgaB//bacA//appA//putA//
UhpA	aceF//
UidR	nadA//rbsD//
UlaR	hemH//phr//phnO//katG//glcB//
UvrY	yibQ//deoC//
UxuR	ldtD//fumC//pdeL//pdeL//thrS//
XapR	wecC//tdcB//
XylR	glxR//rimK//cueO//
YdeO	udp//hypB//garL//
YedW	hemL//aspA//dacC//
YefM	caiD//
YefM-YoeB	cysI//
YehT	
YeiL	
YiaJ	citE//pepD//moeB//fabD//mhpC//glcE//
YjjQ	nadA//
YpdB	
YqhC	icd//glpQ//
YqjI	caiD//
ZntR	hypF//
ZraR	
Zur	dkgB//
