# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	tnaA//mhpA//
AcrR	gadB//srlD//
Ada	araA//entA//nrfB//purM//
AdiY	alkB//tadA//phnN//pykF//
AgaR	citE//
AidB	gcvT//
AlaS	ulaF//
AllR	luxS//gatY//ppc//tyrA//ogt//yfbR//
AllS	acnA//pyrC//tadA//
AlsR	rsmH//gloA//purA//
AppY	yeaG//aceF//
AraC	fadA//phnH//betB//ung//waaY//allB//citF//
ArgP	hcaE//fadJ//cadA//ung//aroL//argE//glmU//argH//glcE//
ArgR	caiC//ychF//cysC//astC//thrS//prpD//patA//araD//argE//glcB//nrdB//mnmG//leuB//ynfE//ssuE//gadB//metF//mazG//purL//garR//hcaE//gor//gabD//
ArsR	idnD//oxc//
AscG	cysK//cysI//
AsnC	tdcG//pheT//
AtoC	ftnA//rbsK//prpC//
BaeR	ung//tauD//
BasR	uidA//napG//rutB//
BetI	phoA//uxaB//cynS//
BirA	caiC//aceB//cysG//malY//argC//
BluR	
BolA	fumC//fadJ//
CadC	zwf//allA//
CaiF	frdC//astA//nrfA//purA//pyrC//
Cbl	phnN//gadB//hcaC//yeaG//pagP//
CdaR	entF//gcvH//nrfA//phnN//lsrK//ftsI//galE//asnA//alsE//
CecR	
ChbR	citC//alkB//pdeH//
ComR	
CpxR	mltF//phnL//hcaC//torA//kbaZ//atoA//yibQ//hypB//frdC//umuD//slt//bacA//fadI//bioD//sgbH//trpA//hyaB//cysI//glpX//paaG//fabB//
Cra	mhpC//hcaC//umuD//argA//mtlD//nrfA//glxR//accA//gltD//atoA//astC//sucB//murD//gatZ//malQ//dsdA//mnmG//purK//dapD//atoA//mngB//mazG//yfdE//sufS//glk//malZ//sodB//phnP//ybjG//malQ//ppsA//hcaB//bioB//recF//murD//cynS//fabA//fadD//argF//garK//dhaL//uvrB//cadA//phr//yqjH//hmp//cysC//entH//purC//hycG//uidA//lpxC//ndh//paaK//narH//dhaK//adhE//tpiA//nfsB//puuC//
CreB	purB//glcE//
CsgD	fbaB//gnd//idnD//rffT//bioD//
CsiR	mhpA//wrbA//rutB//fdhF//
CspA	sgbU//
CueR	metA//hycD//tynA//lpd//
CusR	glxK//araD//hycD//
CynR	lsrK//rsmH//trpC//
CysB	allB//kbaY//dgkA//oxc//tehB//entA//tyrB//galK//cysG//purN//garK//mhpC//hyaB//glpA//sucB//phnL//lsrG//argG//
CytR	purD//xylA//nemA//puuD//glpC//uxuA//phnJ//fes//purF//pyrC//
Dan	phnI//paaE//
DcuR	serA//wzc//polB//nrdF//
DeoR	glgP//sodA//paaK//fdhF//metK//rffG//
DhaR	nirD//
DicA	
DinJ-YafQ	sdhC//
DnaA	betB//pykF//lsrG//waaH//aldA//metK//
DpiA	ung//uidA//glmU//tam//fucA//
DsdC	bioC//galM//
EbgR	
EnvR	fabZ//cysJ//
EnvY	citD//glnA//
EvgA	alkA//dhaK//folE//relA//rffM//puuC//
