# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	aroL//dhaK//
AcrR	glmU//ppiA//
Ada	alaS//ppsA//paaA//sucA//
AdiY	nrdD//entE//mnmG//nrfD//
AgaR	gor//
AidB	aceA//
AlaS	polB//
AllR	hypF//nrdB//katE//bioF//argB//pagP//
AllS	aroL//purN//purH//
AlsR	fucU//tdcB//gatD//
AppY	garK//gnd//
AraC	ttdA//ldtC//purN//luxS//tadA//sdhC//mngB//
ArgP	umuC//glcD//mltF//glpC//paaH//aroG//hycC//hcaC//galK//
ArgR	caiB//sufS//sodB//paaB//phoA//tadA//fadH//moaA//entA//asnA//purE//ftnA//dacC//rffC//hcaD//glpC//accC//fadE//murE//mhpB//deoD//argF//katG//
ArsR	katG//argC//
AscG	phr//malQ//
AsnC	fabD//torC//
AtoC	gpmM//gatZ//entB//
BaeR	prs//phnG//
BasR	metF//nrdD//gltD//
BetI	cynS//sucD//frdA//
BirA	astC//appA//cysI//nagA//pheS//
BluR	
BolA	pgaD//tpiA//
CadC	leuC//xapA//
CaiF	astA//glcE//ssuE//torC//hyaB//
Cbl	leuC//lysC//yqjH//nrdE//arsC//
CdaR	dsdA//glmS//uxuA//gatZ//aceB//gltD//accA//patD//pdeH//
CecR	
ChbR	alaS//mraY//carA//
ComR	
CpxR	caiD//purD//uxaA//fbaB//glcB//hycF//pheT//nrdF//galK//aspC//rutC//sodA//metA//umuD//uvrC//rhaD//deoC//allB//cynS//narH//tauD//
Cra	hycG//bioD//glcF//gadA//argB//paaK//chbF//mazG//glpA//entC//paaC//lacA//nemA//purL//tdcB//talA//guaA//dhaM//gnd//tdcB//sucA//ddlB//mpaA//dhaM//pflB//rpiB//cyoE//leuD//gudD//allE//yiaK//metE//murC//yeaG//hypF//astB//mhpD//srlD//rimK//ulaG//ung//murD//alaC//aspA//acnB//ppiA//rsmH//paaB//uxaB//lhgO//tdcG//metE//rutA//nadB//wecB//nrfA//ynfE//phnJ//gatD//betA//
CreB	wecB//purK//
CsgD	purD//recF//entC//gpmM//phnP//
CsiR	caiA//phr//nagA//adhE//
CspA	hypF//
CueR	allB//nrfD//napG//ycjG//
CusR	trpC//paaG//entB//
CynR	moaA//pdeL//cueO//
CysB	phnJ//tehB//pgi//nfsA//fadM//cueO//guaA//metK//glpB//murF//polA//pdeL//truB//glpD//mazG//ubiX//bioA//bglB//
CytR	nrfB//phr//idnD//phnN//rnpB//gatD//metC//bioC//phnG//waaZ//
Dan	murQ//melA//
DcuR	rhaB//purL//dhaK//purM//
DeoR	mhpB//hmp//bioB//ung//cysM//glxR//
DhaR	cysC//
DicA	
DinJ-YafQ	cdd//
DnaA	mdh//ttdB//epd//citX//glnA//ruvA//
DpiA	gpmA//dinB//fumC//appA//adiA//
DsdC	eno//phnM//
EbgR	
EnvR	argE//moeA//
EnvY	patD//nagB//
EvgA	melA//pykF//murE//rdoA//atoD//ugpQ//
ExuR	argB//sodA//prs//phnJ//allB//nadB//
FabR	nagA//chbF//
FadR	ndh//ynfF//pdeL//glpB//lacA//ynfE//purN//gpmM//purK//moaE//purB//atoD//mhpD//nanA//purB//ugpQ//cysI//kbaZ//
FeaR	sdhC//cynT//
FhlA	accD//trpB//moeA//atoD//gcvH//trpD//wzb//
FlhDC	allE//entB//dgcC//betA//galM//fdhF//cysM//pncB//sdhC//paaJ//entD//
FliZ	ruvB//waaY//cysK//glpD//gor//
FucR	pgk//hemL//cysI//allC//fadA//alsE//
Fur	cysG//cysG//tktB//araB//narG//caiD//fucA//wecB//epd//astA//gntK//paaJ//polB//yfdE//edd//nrdE//nagB//fucU//pgk//ahpF//tdcB//pck//deoC//kbaY//prpB//murQ//ybaS//moaA//hypF//aceA//gor//yqjH//atoD//lsrK//rffC//allA//phnN//argD//sucC//astE//araB//melA//cysN//fadA//pdeH//sucB//phnJ//yqhD//ascB//speB//edd//glpA//paaK//lpd//frdC//xapA//fes//nrdF//mhpD//hyi//pykF//rutD//fadA//
GadE	tktB//murD//ruvA//entA//add//mnmG//uxaB//hyi//ulaE//umuC//
GadE-RcsB	sodB//cysG//dacC//purA//
GadW	adiA//moaA//moaD//aceE//
GadX	malS//fadH//allC//astA//pdeL//puuD//pgaD//dinB//tnaA//ada//fes//gcl//
GalR	nfsB//argB//galK//dacC//cysE//appA//
GalS	prpD//guaA//torA//pgk//aroG//bioF//
GatR	ruvB//nrfA//fabA//
GcvA	ynfG//cueO//ycjG//
GlcC	uidA//hypB//guaA//
GlpR	caiB//hyaB//rhaA//sucB//rffG//dhaL//lsrF//
GlrR	
GntR	pdeL//cueO//citX//glcF//allA//nagA//ascB//ynfH//leuC//
GutM	argG//folA//frc//
GutR	mhpF//trpB//galE//
HU	torA//ubiC//citF//umuC//alsE//glcF//glpD//
HcaR	fucA//nrfD//
HdfR	
HigA	trpA//
HigB-HigA	glgC//
HipAB	rpiB//aspA//
HipB	cysH//mhpE//rnpB//
HyfR	uvrB//
HypT	cysE//rutA//mtlD//lsrK//tdcB//hycF//cyoE//
IclR	trpD//adiA//ribA//
IdnR	ulaE//feaB//accD//trpB//rnpB//ppc//
IlvY	appA//
IscR	aceE//nanE//nrfD//accD//gapA//astB//
KdgR	feaB//ulaF//
KdpE	gltB//
LacI	epd//pck//cysD//
LeuO	frdC//ynfG//astB//pheT//mazG//fdhF//
LexA	glxK//uvrB//aldA//truB//lhgO//puuC//lpd//galM//astD//hcaB//nanA//pgaC//eda//aceF//sgbH//polB//tadA//pagP//garK//paaZ//fadB//
LldR	ychF//fabD//
LrhA	
LsrR	fabA//purM//aroG//recF//ulaE//
LysR	katG//
MalI	cysN//pheS//
MalT	lysA//metL//glpA//bioA//mhpD//malP//
MarA	glmU//galM//argC//hycC//puuB//rbsD//uxaA//cysD//tadA//gudD//paaG//metL//mhpE//citD//patD//pheS//citF//alkB//phoA//nrfC//alaC//mhpD//argC//
MarR	
MatA	cadA//
MazE	xapA//
MazE-MazF	mpl//
McbR	
MelR	idnD//patA//
MetJ	hcaF//icd//ruvB//hcaF//ldtD//dmsC//rhaA//gpmA//gapA//yqjH//
MetR	gutQ//fucO//allE//citG//
MhpR	rffC//ybjG//lacZ//tktB//dmsB//pfkA//
Mlc	rffM//idnO//ahpC//citD//
MlrA	eno//
MngR	nirB//tdcE//
MntR	narG//gnd//
ModE	deoC//nirD//acnB//serA//ubiC//phnJ//sgbU//recF//phoA//phnM//pyrC//ruvB//napH//pfkA//
MprA	tdcB//fadE//paaI//
MqsA	citF//caiB//
MraZ	cdd//nfsA//entC//trpA//umuD//alsE//edd//allD//metE//sdhD//fadM//
MtlR	katG//hycG//paaG//
MurR	murI//nrfC//tauD//
Nac	wzb//dacC//yeaG//acnA//sdhD//fadA//ynfE//paaG//sgbE//glpC//
NadR	aspA//tadA//cyoE//sodB//
NagC	rsmH//fruK//phnI//napA//tynA//icd//gapA//mhpB//sucB//murG//yfbR//yqhD//umuC//yeaE//caiB//rbsD//asnB//ynfG//hcp//
NanR	argB//gpmM//tam//trpD//astD//moaD//
NarL	purH//phnG//iscS//rfe//fumC//fucA//truB//rpiB//allA//glpK//nrfA//nadA//paaH//ynfG//gatY//malY//paaE//aldA//zwf//ulaE//uxaA//kbaZ//pspE//ychF//murG//alkB//phnH//napG//sgbE//glcB//fucA//rnpB//napG//tauD//nfsB//sodB//
NarP	pncB//nirD//malP//guaA//gabT//lysC//mhpE//rffC//atoB//mhpD//aceB//
NemR	fucO//dkgA//
NhaR	paaA//sucD//appA//allA//glpX//
NikR	astC//
NimR	oxc//
NorR	mhpF//
NrdR	fabH//kbaY//hcaC//glcD//
NsrR	frdC//ahpC//yqjH//fucU//astA//wzb//hcaC//fabG//fabG//glcD//guaA//gabT//uxuB//atoB//fadB//entC//paaH//glk//aldA//fabA//malY//galT//citC//paaA//gatY//paaZ//rutE//rutA//ada//gpmM//ahpF//treC//aspA//narG//puuE//hycG//
NtrC	phnP//araA//dsdA//glnA//ada//lpxA//rutA//dgkA//guaB//phoA//paaA//ybjG//udp//gutQ//lysC//aroL//lpxA//astE//cadA//hemL//cadA//
OmpR	galK//purD//garR//sdhA//napA//ascB//sgbU//yfbR//
OxyR	caiA//paaJ//lpxA//paaB//iscS//mnmG//fabZ//murD//alaS//slt//chbG//mhpB//frc//citC//
PaaX	malY//lpxA//recF//pyrC//nrdF//fdhF//sgbU//asnB//galK//
PdeL	ubiC//
PdhR	aroG//uxuA//rsmH//icd//eda//katG//icd//uxaB//rhaD//tpiA//hypF//ruvA//murF//accA//mltF//paaB//feaB//paaI//paaH//idnO//leuD//rffM//luxS//gcvH//fadD//argG//
PepA	ycjG//ttdB//
PgrR	purC//uxaC//
PhoB	sgbH//fucU//fes//deoC//rhaB//caiD//gor//ldtC//entF//entH//dgkA//tyrB//pgaB//udp//ruvA//dkgA//leuB//gltB//
PhoP	bioD//aceF//hycF//glxK//aceF//purF//mazG//glk//rutE//ldtB//yqhD//puuA//gcvP//nrdB//malS//cysH//uvrC//cysJ//frdA//aroL//aroL//wrbA//lpxD//argE//fabG//nadA//hcaD//gcl//gatD//eda//caiC//cynS//galT//
PrpR	ubiX//fruK//hyaC//purB//
PspF	patA//
PurR	garD//deoC//rutE//bioB//deoC//trpB//metK//guaA//poxB//dgkA//ilvC//umuD//phnL//fadH//accD//cysN//puuC//dmsC//rnpB//nirD//glpC//pheS//yqjH//amn//uxaA//citE//
PutA	lpxD//yqjH//
PuuR	cynS//hemL//rutC//udp//nadB//pdeH//
QseB	
RbsR	tpiA//malQ//fucA//argC//cysD//astB//
RcdA	nanK//
RclR	
RcnR	betA//
RcsAB	betA//paaB//napC//
RcsB	eno//glpK//cysK//pheT//
RcsB-BglJ	phnN//rfe//
RelB	paaZ//
RelB-RelE	ada//
RhaR	
RhaS	paaY//fbaB//pyrC//tyrB//
Rob	atoB//glyA//acnA//speA//ndh//uxuB//asnA//fadD//rbsK//yqhD//asnA//sgbH//glgX//rhaB//aldA//bioD//napC//pepD//gabT//
RstA	pgi//phnL//xylA//
RtcR	cysC//puuC//
RutR	argF//nadB//ndh//pgk//fucI//ynfH//aceB//ubiA//udp//dhaM//gudD//
SdiA	
SgrR	umuD//pheT//cysH//
SlyA	
SoxR	pheS//
SoxS	argC//ndh//rutB//yqhD//fadM//hemH//sucA//ttdA//cadA//ppc//frdA//puuD//pgk//metB//tnaA//citD//fabZ//gudD//ftsI//paaC//umpH//fadD//rdoA//tktB//kbaZ//lsrK//
StpA	glnA//glpQ//speA//
SutR	frdD//argD//
TdcA	phnM//acnB//rutC//araD//nanE//
TdcR	glpA//glpK//pgpC//leuC//entA//
TorR	pykF//lsrG//pgaD//lpd//
TreR	hyaC//nirD//
TrpR	ilvC//polB//metE//entH//astA//ynfG//purN//malZ//mhpF//
TyrR	ahpF//amn//gltD//gntK//ynfH//chbG//allE//argI//pgi//
UhpA	nanM//
UidR	tpiA//frdB//
UlaR	folE//mltF//phoA//umuC//fucA//
UvrY	phnH//fabZ//
UxuR	prpD//fucO//mhpF//yeaE//umuD//
XapR	araB//ppc//
XylR	mazG//mltF//glxK//
YdeO	aroF//napB//aspA//
YedW	glgC//glxR//uxaB//
YefM	bglB//
YefM-YoeB	purF//
YehT	
YeiL	
YiaJ	glpB//paaA//atoD//glmS//fadH//cynT//
YjjQ	mhpA//
YpdB	
YqhC	murF//glcE//
YqjI	pspE//
ZntR	idnO//
ZraR	
Zur	puuC//
