# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	accA//murG//
AcrR	mtlD//argE//
Ada	nanK//patA//fucO//rfe//
AdiY	icd//prs//tdcB//ycjG//
AgaR	alkB//
AidB	pgaD//
AlaS	paaB//
AllR	cdd//glpD//cysE//citE//rsmH//citF//
AllS	speA//aspC//ugpQ//
AlsR	paaH//sdhC//tdcE//
AppY	umuD//dinB//
AraC	mtlD//mpl//fabZ//atoB//wecC//rnpB//deoA//
ArgP	argC//lacA//aceA//atoA//ppsA//rhaA//phnM//pncB//galT//
ArgR	ahpC//hcaC//glcE//tynA//slt//rutC//entC//leuC//ribA//murQ//ppsA//cysJ//gapA//aceF//narG//trpB//paaJ//gltB//narI//pykF//cysC//fadA//lldD//
ArsR	poxB//talA//
AscG	yiaK//pheT//
AsnC	rbsD//allE//
AtoC	araB//caiA//caiA//
BaeR	glgB//ybjG//
BasR	bioB//lpd//metE//
BetI	wzb//lsrG//tnaA//
BirA	arsC//hcaC//ppsA//alaS//dsdA//
BluR	
BolA	pncB//glpC//
CadC	garD//paaF//
CaiF	rnpB//nrdB//ugpQ//xylB//nrdE//
Cbl	polA//cysM//dkgA//uvrA//fucK//
CdaR	rfe//purH//fadI//frdB//idnO//mhpC//ynfE//galE//murQ//
CecR	
ChbR	phnP//ldtB//rffT//
ComR	
CpxR	waaY//ugpQ//fucI//ynfF//gabT//paaK//gltD//kbaZ//polB//paaI//speB//ulaG//psd//waaY//lyxK//ynfG//lysA//gcvT//fabB//mpaA//cysD//
