# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	eda//rnpB//
AcrR	murF//pgpC//
Ada	argI//cynS//narG//entF//
AdiY	pyrD//bioB//folA//lysC//
AgaR	allB//
AidB	hypB//
AlaS	uxaA//
AllR	ruvA//purL//hmp//speB//fbaA//dacC//
AllS	idnK//mpl//nrfD//
AlsR	gabT//torC//glmS//
AppY	folA//purK//
AraC	ogt//mpaA//nadB//rutA//torC//argB//zwf//
ArgP	uvrA//add//sgbE//fumB//allA//ftsI//ppc//caiC//edd//
ArgR	purC//paaI//nemA//caiB//paaA//wecC//nanM//moaD//chbG//hypB//fadA//dhaL//nagB//ppc//dmsB//murD//ppc//ruvB//atoA//ulaF//rhaD//glpC//yqhD//
ArsR	nrfC//pfkA//
AscG	slt//idnO//
AsnC	gapA//polA//
AtoC	serA//phnP//pagP//
BaeR	uxaA//ychF//
BasR	tyrA//citX//ubiA//
BetI	argC//fadB//araA//
BirA	tktB//ynfH//alaC//metB//phnP//
BluR	
BolA	deoB//mhpA//
CadC	fes//leuD//
CaiF	katG//fau//amn//dgkA//appA//
Cbl	nfsA//bioB//tyrB//glgA//purL//
CdaR	polB//paaK//rbsK//mhpE//trpC//murE//patA//pheS//hycF//
CecR	
ChbR	prs//garD//fabD//
ComR	
CpxR	pnp//nanK//mhpF//dhaM//glcE//poxB//uvrB//glyA//nemA//pnp//waaZ//amn//codA//murD//slt//wecC//napA//napB//fbaA//paaY//hycG//
Cra	paaJ//tdcD//puuD//tadA//appA//lsrG//hyaB//entE//hcaF//hycC//malY//purH//lpxD//rbsK//rbsD//hycB//gcvT//pdeH//gloA//asnB//aceF//garK//gltB//bioC//umpH//katE//frdD//gadB//aspC//rpiB//lhgO//dhaK//araB//lacZ//sufS//phnJ//hypB//chbF//pgaB//recF//glcB//glpC//ychF//moaE//rbsK//malY//fbaA//hemH//xapA//glxK//cysC//sodA//fbaA//dmsC//entE//dkgB//puuC//acnB//citC//pspE//
CreB	nanK//citE//
CsgD	uxuA//pdeL//ribA//pdeH//argB//
CsiR	gntK//gadA//alkA//argH//
CspA	galT//
CueR	guaB//chbF//phnM//acnB//
CusR	astA//wzb//metA//
CynR	rffC//mhpC//mhpF//
CysB	glyA//ruvA//hycC//galK//metK//ahpC//cadA//glxR//argB//arsC//lpxD//hycC//fabA//luxS//cysG//dgkA//tdcD//hcaC//
CytR	paaG//speA//recF//uxaB//nfsA//mltF//mltF//wzc//napG//cysH//
Dan	kbaY//glcB//
DcuR	trpD//nagB//alsE//carB//
DeoR	glpC//purB//wrbA//tdcE//ada//hycD//
DhaR	tdcG//
DicA	
DinJ-YafQ	wecB//
DnaA	phr//phnO//dhaK//tyrB//dgcZ//rffG//
DpiA	purD//katE//rimK//moaA//bglB//
DsdC	talA//leuB//
EbgR	
EnvR	cysM//pykF//
EnvY	astD//sgbE//
EvgA	metH//ychF//nrfC//cynT//nadA//rutB//
ExuR	araB//frdD//tyrA//metC//hycD//ruvA//
FabR	paaG//tadA//
FadR	chbG//alkB//fumC//ttdB//caiA//fes//lyxK//rutA//sdhC//tdcG//trpE//umpH//tynA//xylB//pdeL//ilvC//fes//pgpC//
FeaR	xylB//gatD//
FhlA	folA//entF//ddlB//frdD//hyaC//prs//rffH//
FlhDC	trpE//aceB//folE//nrdB//cadA//gltB//nirB//purK//talA//wzb//cysK//
FliZ	hcaE//nrdB//pagP//caiA//malZ//
FucR	nagA//truB//uvrA//ttdB//wzb//caiA//
Fur	rutD//glcB//hycF//kbaZ//glnA//patA//gutQ//alsE//gadA//araA//rbsK//tadA//hypB//dinB//caiB//ssuE//atoD//uidA//fabI//gcvP//dgcC//moeA//sdhD//argG//fadE//astE//aceF//purE//dmsB//gloA//rutE//garR//phnL//lpxC//cdd//gadA//cysN//kbaY//allA//phnH//torA//sgbU//hcaC//rsmH//paaC//luxS//prpB//paaA//moaE//glyA//ampC//dkgB//fabD//umpH//ssuE//chbG//fadE//fbaB//accB//mhpA//dmsB//lacA//waaZ//
GadE	bioA//glmS//rhaA//hcaF//ssuD//gatY//cynT//ttdB//sucC//dkgB//
GadE-RcsB	rimK//lldD//murG//tam//
GadW	lhgO//ybjG//ftnA//polA//
GadX	frdD//gor//xylA//ttdA//waaZ//galE//appA//hycF//alaS//purC//truB//nrdE//
GalR	katE//trpB//ppc//ulaF//dsdA//hycE//
GalS	tehB//trpA//mdh//luxS//fbaA//gcl//
GatR	wecB//ldtC//metC//
GcvA	fruK//alaC//dacC//
GlcC	fadI//umuC//fabI//
GlpR	cysK//atoD//melA//fucK//nagB//ppc//trpB//
GlrR	
GntR	lacA//ahpF//nrfC//epd//add//hcaF//narG//argE//torC//
GutM	uxuA//nirB//lsrG//
GutR	fumB//gatZ//glpQ//
HU	entB//glgA//fucO//nrdB//prs//katG//aceE//
HcaR	chbF//sufS//
HdfR	
HigA	mhpD//
HigB-HigA	galK//
HipAB	araD//recF//
HipB	pncB//metL//yfdE//
HyfR	sucD//
HypT	sodB//uidA//waaY//ilvC//glgX//gltB//sgbE//
IclR	tktB//fadE//entH//
IdnR	rutA//sdhD//moeA//argE//phnO//gltD//
IlvY	waaH//
IscR	cyoE//gapA//murG//ubiX//gor//sodB//
KdgR	pflB//lysC//
KdpE	phnN//
LacI	rutE//malZ//nrdA//
LeuO	chbF//paaA//hcp//fabG//fruK//nrfB//
LexA	ychF//dmsA//rbsK//pepD//garR//pnp//citE//sucB//srlD//accD//accB//puuC//speA//ppsA//rffC//recF//aroF//idnK//fbaA//ybaS//aceA//
LldR	uxaA//cueO//
LrhA	
LsrR	codA//gatY//fau//sgbU//metA//
LysR	phnN//
MalI	argI//rutD//
MalT	purN//phnJ//garR//argI//sgbU//astC//
MarA	metC//fadJ//fabG//fadM//glgC//narG//gcl//galK//paaJ//pykF//lpxD//ppsA//ndh//fadM//sdhD//cdd//sdhB//napG//murG//cysM//ugpQ//sufS//putA//
MarR	
MatA	yfbR//
MazE	prpB//
MazE-MazF	galK//
McbR	
MelR	narI//puuC//
MetJ	glmS//carB//dsdA//galT//alaS//ulaE//pck//gatY//fadD//napB//
MetR	metA//moaD//rhaA//sgbE//
MhpR	aroG//lldD//puuB//pyrC//uxaB//serA//
Mlc	hycC//melA//treC//gadA//
MlrA	leuC//
MngR	fumC//dmsC//
MntR	phnM//fadI//
ModE	purC//nrfA//ugpQ//rffH//purB//cysH//epd//fdhF//pspE//argI//uvrA//bioC//fabZ//phnP//
MprA	metK//sucC//malP//
MqsA	ldtC//ybaS//
MraZ	uxuA//hycE//tam//gnd//argB//araA//fadH//gntK//sufS//yqjH//puuC//
MtlR	argF//sdhC//fumB//
MurR	pgaC//paaJ//cysI//
Nac	tyrA//lysC//entE//glpC//cynS//mngB//ybjG//caiB//purE//uxaB//
NadR	accB//fabI//hyaC//dmsB//
