# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	nrdF//paaC//
AcrR	uxuA//argE//
Ada	sgbU//srlD//metE//fucU//
AdiY	tauD//ldtD//chbG//wrbA//
AgaR	melA//
AidB	fucA//
AlaS	dmsB//
AllR	nanA//polA//rutD//phnJ//fadA//uidA//
AllS	citC//eno//yeaG//
AlsR	dhaL//aldA//zwf//
AppY	hypF//rhaA//
AraC	frdA//folA//fabB//hycF//fumC//dkgA//polA//
ArgP	lsrG//rpiB//phnI//cysN//mraY//ppiA//codA//hcaB//glcD//
ArgR	gcvT//codA//purN//argI//tam//glcD//dkgA//fucO//lpxD//glcF//argH//cysN//mltF//lacA//tam//fadH//sgbU//garL//fbaA//ascB//metA//argH//carA//
ArsR	pgi//gadA//
AscG	purD//accB//
AsnC	pgaC//pnp//
AtoC	ppc//patA//metE//
BaeR	leuB//lpd//
BasR	paaI//entE//moaA//
BetI	oxc//gpmM//yeaG//
BirA	mtlD//nagB//dapB//astE//aceA//
BluR	
BolA	sdhC//murQ//
CadC	rffM//murF//
CaiF	ppsA//paaG//glpX//gltB//recF//
Cbl	dmsB//gabT//phnJ//cysH//katG//
CdaR	phnI//garL//ilvC//cdd//cysN//lhgO//frdD//pyrC//purA//
CecR	
ChbR	metB//alaC//hypF//
ComR	
CpxR	uvrA//accD//rbsD//fabH//phnI//uidA//ychF//pdeR//pykF//chbF//gutQ//nirD//malZ//dhaL//prpC//dapD//argD//deoB//rutC//dmsC//pnp//
Cra	astC//phnM//torC//tyrB//dkgA//deoB//gatD//fbaA//glpX//leuD//lysA//appA//ada//mhpA//napA//oxc//alsE//ppc//yibQ//mhpD//ubiX//rfe//fadD//pdeL//rnpB//edd//aroH//hycB//hypB//hcaC//pgaD//uxuA//ribA//nagA//araD//glgA//accC//ynfF//purC//napG//lacA//mpaA//glgB//fbaB//paaG//prs//gltD//prs//garK//fadJ//aroG//yfdE//glnA//tnaA//phnJ//allD//puuB//prpB//nrdA//ppiA//
CreB	nrdD//phnJ//
CsgD	asnA//hcaE//rutE//sucD//argD//
CsiR	argA//murI//umuC//frc//
CspA	carA//
CueR	torC//ogt//glpK//talA//
CusR	wecB//glcD//sufS//
CynR	glmS//leuC//glxR//
CysB	gpmM//hcp//lpxC//pgaD//malZ//ppiA//hycC//atoA//hycB//udp//bioA//bioF//galK//dmsC//xapA//phnI//bioC//guaB//
CytR	puuE//dhaM//rutD//xylA//caiA//kbaY//rsmH//mltF//accD//acnB//
Dan	dacC//aroF//
DcuR	mraY//aceF//ttdA//cysK//
DeoR	phnP//citF//idnO//torA//argD//gdhA//
DhaR	gpmA//
DicA	
DinJ-YafQ	mhpB//
DnaA	fadM//araA//ubiX//galK//malP//ampC//
DpiA	astA//ldtB//lpxA//ung//bioC//
DsdC	tktB//metF//
EbgR	
EnvR	hcaF//yibQ//
EnvY	tauD//ilvC//
EvgA	mdh//hycG//lacA//hycD//wzc//citE//
ExuR	phnO//gnd//gcvP//mhpE//allD//bioC//
FabR	nrfB//ssuD//
FadR	yqjH//fucU//murD//fucK//pncB//rbsD//trpE//pyrC//phnM//gabD//puuD//mpaA//slt//pfkA//fadJ//purB//mhpA//lpxD//
FeaR	frdC//putA//
FhlA	sodA//ascB//mhpB//kbaY//waaZ//rbsD//moeB//
FlhDC	astE//gadA//leuC//tynA//argF//pgpC//pgaD//srlD//mnmG//malS//deoC//
FliZ	aceA//cysH//allE//dsdA//ynfE//
FucR	pck//napG//cysG//ulaD//carA//ybjG//
Fur	argB//gntK//fadA//atoB//glgB//gpmA//puuB//ubiA//pdeR//chbG//polA//purE//epd//citX//phnM//sucD//ycjG//accD//ruvA//folE//fadH//ruvB//dacC//purB//relA//gpmM//lpxA//glyA//glk//xapA//accC//gpmM//folE//uxaA//pnp//hycE//allD//arsC//bacA//bioC//cdd//allA//hemH//argH//frdD//talA//wecC//sucD//nagA//malS//frc//malZ//aceE//moaA//prpB//rffH//pgaC//aldA//garK//cysE//fadE//oxc//dinB//
GadE	rhaD//nfsB//folA//phnJ//murF//gatY//glgP//polA//psd//nrfC//
GadE-RcsB	gor//polA//phnI//mnmG//
GadW	speA//aceA//idnD//nfsA//
GadX	fabA//uxuB//ybjG//gapA//rnpB//purK//fucI//glxK//napA//lyxK//argI//recF//
GalR	narH//rhaA//atoD//araB//argF//fadM//
GalS	garR//speA//hypF//fdhF//nrfA//alsE//
GatR	astA//entD//ruvB//
GcvA	lpxA//tauD//kbaY//
GlcC	murG//mhpC//gltD//
GlpR	sucA//rutA//yeaE//aceF//ychF//argA//metE//
GlrR	
GntR	entF//murF//hycD//cynS//patD//galT//napB//glyA//pheS//
GutM	glcD//araB//fabZ//
GutR	murG//appA//fes//
HU	metF//gcl//rbsK//fes//sdhB//cysI//pheT//
HcaR	fadA//tnaA//
HdfR	
HigA	gadB//
HigB-HigA	slt//
HipAB	rpiB//bioB//
HipB	dacC//wzb//rhaB//
HyfR	moeA//
HypT	glxR//narG//prs//glxR//wecC//moeA//rffC//
IclR	galT//iscS//fucA//
IdnR	pyrD//glpQ//murE//astD//allD//malY//
IlvY	pspE//
IscR	rffH//tpiA//ldtB//ada//hemL//gltD//
KdgR	iscS//metC//
KdpE	deoD//
LacI	fadM//puuA//tdcG//
LeuO	ilvC//gatZ//leuA//argE//rutD//citC//
LexA	cdd//ppsA//paaB//dhaK//fabG//mngB//rhaB//alaC//malQ//ssuE//aspA//hyaA//ftnA//lpxA//ogt//torA//glgA//rutD//astA//mhpD//cyoE//
LldR	ascB//napA//
LrhA	
LsrR	ychF//fbaA//accA//ampC//ahpC//
LysR	fucK//
MalI	caiB//aroH//
MalT	argA//sdhC//sufS//dapB//arsC//deoD//
MarA	kbaZ//rhaD//fadM//asnA//puuA//sodA//hmp//nrdE//purC//yibQ//serA//trpD//folA//dmsA//astD//wzb//talA//trpA//dgcZ//asnB//folE//asnB//fadH//
MarR	
MatA	gpmA//
MazE	gadA//
MazE-MazF	poxB//
McbR	
MelR	ahpC//entD//
MetJ	sdhA//sdhC//ynfE//alaC//nanE//cynS//glpC//paaE//gatY//glxR//
MetR	betA//entB//fruK//gcvH//
MhpR	rffM//accB//pnp//astB//pyrC//truB//
Mlc	hypF//tpiA//truB//rffC//
MlrA	murC//
MngR	torA//add//
MntR	cysN//paaG//
ModE	entC//fadH//argB//uvrB//paaF//citF//allE//ftnA//astC//fabD//hcaC//argD//ynfG//malQ//
MprA	hyaC//ynfE//phr//
MqsA	nrfD//amn//
MraZ	paaY//glgP//sdhD//rffG//frdC//dgkA//citD//fucK//glcF//araB//trpA//
MtlR	puuD//psd//uvrC//
MurR	fabZ//wecC//iscS//
Nac	lysC//fabZ//malS//ssuD//pepD//prpC//glnA//lysA//ddlB//relA//
NadR	prpD//idnK//fumB//hemH//
NagC	ftnA//ulaG//alaC//tdcB//pfkA//wzc//phnP//tadA//acnB//accA//entH//glgX//lpd//epd//ftnA//lldD//paaB//pck//ldtD//
NanR	wecB//betB//gntK//alaC//fabA//hemH//
NarL	puuA//purD//tadA//mltF//entH//araD//gltD//betA//araB//frc//aceB//cueO//pagP//glpK//phnN//murC//fadA//ppc//metC//frdD//torC//ulaF//fabD//udp//entB//metH//icd//idnK//phnN//pdeL//edd//glgX//betA//ynfG//frdC//mhpD//
NarP	ldtD//narG//tdcB//glgP//rdoA//bglB//pagP//pgaD//pdeH//tnaA//waaY//
NemR	fucA//hyaA//
NhaR	cdd//gudD//malQ//purL//folA//
NikR	cysC//
NimR	yqjH//
NorR	gadA//
NrdR	garR//paaG//frdB//aspA//
NsrR	citF//waaZ//araB//bioF//purL//luxS//ftnA//glgA//talA//glgC//pgk//betB//gapA//rpiB//yeaG//fucU//speA//speB//frdA//rimK//rbsD//nanA//purF//amn//mhpE//iscS//patD//waaZ//napB//fucU//citF//sdhC//astE//frdD//carA//hycD//
NtrC	yibQ//ychF//fabD//pgaD//frc//epd//paaE//glyA//uxuB//add//tdcD//argI//pfkA//rutA//rimK//hcaE//murQ//accD//lpd//fadD//araB//
OmpR	gnd//nirB//leuA//nrdD//amn//pnp//glk//glcE//
OxyR	deoA//entC//trpD//murG//mhpE//carB//lhgO//aspC//poxB//entC//hcaD//carA//nanE//idnD//
PaaX	frdA//pykF//paaZ//hyaB//lpxD//astE//glmS//metK//phr//
PdeL	nadB//
PdhR	galE//pspE//glcB//lsrK//rffG//deoA//metF//phnJ//ruvA//ulaG//cysD//rdoA//fbaA//mtlD//adhE//purK//deoC//argB//rimK//garR//dsdA//gloA//sucC//fadE//sodA//atoA//
PepA	hycF//ruvB//
PgrR	cueO//glnA//
PhoB	gabT//nirB//yeaE//eno//ynfF//carB//mhpA//phnG//astE//araB//rimK//fabA//ynfH//xapA//uidA//appA//gadA//cysE//
PhoP	folA//moaE//glpA//cysK//yeaG//fabD//wzc//mpl//nanE//gpmM//citX//uxuA//metE//gabD//allB//uvrA//dmsA//adiA//pepD//purC//leuD//ttdB//fadA//entF//lacA//glgX//glk//yqhD//tpiA//gor//rimK//udp//metB//
PrpR	talA//mhpD//fau//cadA//
PspF	sgbE//
PurR	zwf//glpQ//malQ//uxuB//umpH//rimK//sdhC//galK//dgkA//paaY//pyrC//icd//fadA//gapA//hycE//argD//ftnA//deoD//phnG//glcF//malQ//alaC//waaZ//pdeL//argC//adhE//
PutA	pheS//lyxK//
PuuR	glyA//epd//phr//aceF//cysI//paaY//
QseB	
RbsR	entE//malZ//aceF//metK//fucK//atoA//
RcdA	uxaB//
RclR	
RcnR	glgC//
RcsAB	puuA//pheS//ruvA//
RcsB	tnaA//rdoA//fumB//pyrC//
RcsB-BglJ	phnO//fucO//
RelB	citE//
RelB-RelE	gutQ//
RhaR	
RhaS	pdeL//uxuA//frdA//cysH//
Rob	allA//napC//metL//cynT//talA//paaY//ubiX//prpB//araB//aroF//ubiC//hcaB//ung//recF//lsrG//lacZ//allD//dacC//citD//
RstA	ruvB//fadE//malP//
RtcR	phnG//malQ//
RutR	aceA//lpd//murE//lyxK//wecC//hcp//dmsB//moaE//pgaC//gpmA//gabT//
SdiA	
SgrR	murD//puuB//wzb//
SlyA	
SoxR	gudD//
SoxS	wecC//oxc//pepD//pnp//gcvH//ddlB//lpxD//carA//xylA//mazG//ppsA//hcaC//dkgA//glcB//metC//prpC//dgkA//tam//hemH//srlD//metF//glpA//alsE//phnO//ddlB//sgbU//
StpA	rpiB//fadM//rutE//
SutR	glpX//ung//
TdcA	aceE//moaA//gutQ//glgB//add//
TdcR	lysA//mpl//gabT//ttdA//glpD//
TorR	aceB//phnJ//aspC//aroF//
TreR	xapA//ppsA//
TrpR	rsmH//citG//glmU//gatZ//argI//frc//hycE//pncB//hcaF//
TyrR	gutQ//narI//phnM//rffM//entD//fabG//rutC//wecB//mpaA//
UhpA	aroF//
UidR	glmS//aroG//
UlaR	astA//allB//phnH//lpxC//xylA//
UvrY	ynfF//add//
UxuR	glpC//mhpA//yqjH//hmp//rffM//
XapR	citF//frdB//
XylR	pyrD//dgcZ//nagB//
YdeO	ttdA//gloA//polA//
YedW	feaB//fabA//moaD//
YefM	ung//
YefM-YoeB	ruvA//
YehT	
YeiL	
YiaJ	ppiA//nrfA//gcvH//fucO//polB//dhaK//
YjjQ	metL//
YpdB	
YqhC	paaZ//sgbU//
YqjI	acnB//
ZntR	glpB//
ZraR	
Zur	dhaL//
