# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	hyaB//deoB//
AcrR	uvrA//hyaA//
Ada	luxS//metK//ttdB//entC//
AdiY	tyrA//glxR//glcF//bioF//
AgaR	cdd//
AidB	napB//
AlaS	nrdF//
AllR	rffH//leuD//appA//purA//ychF//caiD//
AllS	hmp//alsE//rutA//
AlsR	gor//talA//rbsK//
AppY	hycD//nadA//
AraC	napC//entA//alkB//mnmG//rhaD//purK//caiC//
ArgP	rsmH//hycE//napA//leuC//lpxC//metK//ynfE//nfsB//sgbH//
ArgR	rhaD//ampC//glgA//frdB//glpC//hcaC//fadJ//hycF//uxaA//paaG//uvrA//hycF//guaB//hemH//nrdD//yeaE//speA//mhpB//tyrB//aceF//lpxD//ynfE//tynA//
ArsR	glcD//rhaD//
AscG	pfkA//pnp//
AsnC	garK//ilvC//
AtoC	wecC//carB//aspA//
BaeR	tpiA//yqjH//
BasR	prs//purK//ada//
BetI	dgkA//paaB//leuD//
BirA	puuE//fabD//allD//gatZ//ynfH//
BluR	
BolA	glpA//dinB//
CadC	gcl//gatD//
CaiF	mazG//nadA//allE//accD//gntK//
Cbl	leuC//sgbH//ttdA//nfsB//katG//
CdaR	wecC//entF//rnpB//fucA//hypB//glcD//araB//cysJ//paaZ//
CecR	
ChbR	purF//gudD//phnM//
ComR	
CpxR	rbsK//gcvT//lacA//hypB//nadB//argH//prpB//deoB//trpA//astE//carB//glpQ//allD//astB//ynfG//hyi//cysJ//ulaE//paaE//ada//ahpF//
Cra	yeaG//dapD//uvrC//hycD//torC//pflB//fumC//fes//dmsC//udp//ppsA//caiA//entH//gcl//atoA//cysM//cysN//ruvA//wzb//trpA//uvrC//fadI//codA//bioF//paaF//hycE//tpiA//fadI//astB//pgaC//gpmA//frdA//pheT//purD//leuA//ndh//gnd//paaY//yiaK//rhaD//uxaC//umpH//nirD//dapD//napB//pnp//gor//mhpE//deoA//trpB//metE//nirD//murF//caiB//gdhA//zwf//nanA//rffG//fucK//gabD//
CreB	alaS//nemA//
CsgD	fumC//citF//glk//dinB//ssuE//
CsiR	puuD//mazG//pspE//umuD//
CspA	sodB//
CueR	citD//fadI//metC//metH//
CusR	caiD//pnp//oxc//
CynR	alaC//atoA//metK//
CysB	pheT//kbaZ//adhE//trpA//narG//puuC//dinB//nirD//moaD//add//feaB//serA//mazG//cysC//garD//cynT//glpC//fdhF//
CytR	allC//caiB//metL//metF//ssuE//hcp//glxK//entE//purC//ndh//
Dan	narH//aceF//
DcuR	acnA//asnB//sgbU//malQ//
DeoR	pgaD//pncB//udp//sgbE//gltB//mpaA//
DhaR	sodA//
DicA	
DinJ-YafQ	umuC//
DnaA	fabI//purF//yiaK//trpC//asnB//melA//
DpiA	ppsA//moeA//accA//ssuE//glnA//
DsdC	caiA//glgC//
EbgR	
EnvR	polB//caiD//
EnvY	gcvH//argE//
EvgA	eno//glmU//chbF//polA//ampC//gatZ//
ExuR	glpQ//purK//entB//prpE//aceA//accB//
FabR	alaC//ddlB//
FadR	tdcG//gnd//rffG//asnB//moeA//ulaE//tdcG//yfbR//bacA//gatD//ada//uidA//rbsD//pgpC//glyA//adiA//gcvH//purK//
FeaR	purH//nfsA//
FhlA	accD//bglB//garL//puuA//lpxC//rsmH//dacC//
FlhDC	hcaB//allD//rutE//paaE//hcaD//aceE//cysI//ndh//garR//gabD//trpD//
FliZ	lpd//fabB//ynfF//uxaB//gabT//
FucR	gltD//frdD//purA//fadA//glnA//purE//
Fur	hycF//trpB//uxaB//ruvB//ugpQ//uidA//gntK//dmsB//asnA//nrdD//fadH//luxS//asnA//alaC//relA//prpC//allE//purA//hyaA//trpA//mngB//polA//ftnA//chbF//murD//deoD//hycB//gdhA//metA//rutB//dhaL//katG//yeaG//phnP//paaF//hycG//rutD//mhpC//betB//sgbU//torC//alkA//ulaE//trpB//pgi//argG//asnB//pheT//trpE//allE//lpd//murF//hyaA//fbaA//citX//malP//fadE//fabD//allD//caiB//idnD//fadA//rhaA//
GadE	fbaA//glgX//fbaA//folE//argI//puuB//metB//paaA//glmS//rffG//
GadE-RcsB	dapD//poxB//napG//rutD//
GadW	araD//ogt//ynfF//purL//
GadX	nrfB//phnJ//ychF//amn//purK//gpmM//aroF//ahpC//garR//carB//ldtB//tauD//
GalR	feaB//dkgA//glmU//hcaE//galM//adiA//
GalS	aroF//sdhD//atoB//folA//patD//glgX//
GatR	hemH//phnM//galK//
GcvA	glk//paaE//cueO//
GlcC	ndh//gcl//pyrD//
GlpR	fabH//tadA//luxS//nagA//glgC//betA//wecB//
GlrR	
GntR	lysA//nanK//ybjG//rffH//rsmH//fadE//argA//cysD//glmU//
GutM	astC//glxR//nadA//
GutR	guaB//fadA//pdeL//
HU	pfkA//astE//fabA//nrfB//gntK//phnG//idnK//
HcaR	napA//fruK//
HdfR	
HigA	katE//
HigB-HigA	pgaC//
HipAB	rffT//gatZ//
HipB	rnpB//glpB//pdeL//
HyfR	fabD//
HypT	moaA//pncB//pgi//hycG//ribA//pgi//pyrD//
IclR	pheS//tyrA//appA//
IdnR	ascB//glgX//purA//caiC//argC//lsrG//
IlvY	mtlD//
IscR	purK//wecC//trpB//fadM//ldtB//bioA//
KdgR	ddlB//aspA//
KdpE	cysC//
LacI	ada//aspC//mpaA//
LeuO	ldtD//ubiA//paaY//napB//purL//aroG//
LexA	gltB//nrdD//ybaS//chbF//purE//ftnA//mltF//ada//gntK//psd//rpiB//paaI//fabZ//aceB//hyaA//prs//xapA//prpC//cysC//zwf//fadE//
LldR	lpxC//polB//
LrhA	
LsrR	waaY//caiB//argA//carA//icd//
LysR	glxR//
MalI	pncB//phnL//
MalT	waaY//talA//ftnA//argA//dacC//sucA//
MarA	gpmA//polB//fadM//ynfE//rsmH//glcD//ynfH//entE//ribA//glmU//sucC//frc//glmU//murI//uxuA//trpA//narG//gltB//xylB//aspC//caiC//putA//gltD//
MarR	
MatA	galE//
MazE	gcl//
MazE-MazF	purN//
McbR	
MelR	pgi//glpQ//
MetJ	sdhB//ribA//atoB//napG//sdhA//pck//glgA//yiaK//araD//luxS//
MetR	rffT//argG//phnG//purD//
MhpR	phnJ//aldA//fadA//citD//leuC//aceB//
Mlc	tpiA//rfe//hycD//carA//
MlrA	ulaD//
MngR	pfkA//tktB//
MntR	fabA//tpiA//
ModE	nanM//purD//lldD//hcp//allD//rutB//puuD//lacA//xapA//napG//gcvT//adiA//phnI//leuB//
MprA	aroH//hypB//paaY//
MqsA	citE//aroG//
MraZ	iscS//ddlB//speA//rffH//gabT//purE//ascB//metE//rpiB//poxB//tyrA//
MtlR	ynfF//hyaB//nrfA//
MurR	rffG//rsmH//fucO//
Nac	cynT//argF//pdeH//purF//mhpF//dapB//citD//nrfC//gabD//carA//
NadR	nrdF//fadM//murC//ddlB//
NagC	nrfD//fau//napB//atoB//ychF//astD//gadB//acnA//pdeL//metA//rutD//phnM//feaB//rimK//ycjG//nrdA//entB//purN//tynA//
