# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	galK//gabT//
AcrR_neg	pagP//nrdE//
Ada_neg	entB//fabB//
Ada_pos	ahpF//araB//ilvC//oxc//
AdiY_pos	leuD//rutE//phoA//amn//
AgaR_neg	ttdA//
AidB_neg	asnB//
AlaS_neg	nfsB//
AllR_neg	codA//wzc//gudD//aceA//edd//dhaL//
AllS_pos	nadB//rbsK//lpxC//
AlsR_neg	argC//metE//fabI//
AppY_pos	fbaB//katE//
AraC_neg	eno//pheS//pykF//aspA//edd//
AraC_pos	galT//glpX//fdhF//fadE//slt//
ArgP_neg	
ArgP_pos	gcvP//astA//gcvP//metA//dgcC//argA//aroL//bacA//sucC//
ArgR_neg	carA//puuB//pyrC//sdhB//metH//cysD//lpxD//pykF//citC//oxc//eno//paaK//ada//astA//idnO//pgaB//nadA//ftsI//
ArgR_pos	uxaC//fabH//ubiX//pgpC//fadB//
ArsR_neg	ynfG//malZ//
AscG_neg	mpaA//caiC//
AsnC_neg	astA//
AsnC_pos	nagA//
AtoC_pos	ttdA//ogt//hycC//
BaeR_pos	chbF//nagA//
BasR_neg	sucC//
BasR_pos	fumC//gcvT//
BetI_neg	mnmG//galT//aspA//
BirA_neg	lpxC//gadA//iscS//sufS//rhaD//
BluR_neg	
BolA_neg	mhpF//uvrB//
BolA_pos	entB//astB//
CadC_pos	nirD//gcvP//
CaiF_pos	glpC//bglB//tauD//alkB//nrfB//
Cbl_pos	fucU//lhgO//sodB//sucD//caiB//
CdaR_pos	malQ//murC//amn//dgcZ//purA//allA//yeaE//cysH//phnN//
CecR_neg	
ChbR_neg	asnB//citC//pck//
ChbR_pos	tnaA//pdeR//speA//
ComR_neg	
CpxR_neg	paaI//dapB//dhaK//
CpxR_pos	nanE//astA//frdC//poxB//ynfH//cysG//yqjH//allC//fucI//lyxK//hcaE//aceA//purF//yeaE//hemH//cueO//rimK//fumB//
