# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	garR//chbG//
AcrR_neg	pgm//purL//
Ada_neg	dkgB//cysJ//
Ada_pos	prpD//glgB//phnP//moeB//
AdiY_pos	deoD//dgkA//accD//recF//
AgaR_neg	tnaA//
AidB_neg	rutA//
AlaS_neg	hycE//
AllR_neg	hycB//lsrG//paaH//rhaD//argA//mhpC//
AllS_pos	hypB//sdhB//pflB//
AlsR_neg	tdcE//aldA//aceB//
AppY_pos	napB//ubiC//
AraC_neg	wrbA//srlD//patA//guaA//mpaA//
AraC_pos	pflB//mazG//purA//pheS//speB//
ArgP_neg	
ArgP_pos	moaD//mazG//hycC//uxaB//puuA//ftnA//puuD//rffC//pyrD//
ArgR_neg	paaG//alkA//yqhD//lldD//fadD//leuC//talA//bioF//prs//ychF//argH//alaS//aspA//glxR//araD//kbaY//fucA//ynfH//
ArgR_pos	cysG//serA//paaZ//metC//nfsB//
ArsR_neg	phnG//ynfF//
AscG_neg	srlD//fucU//
AsnC_neg	nrdA//
AsnC_pos	purD//
AtoC_pos	uxaC//carB//ubiC//
BaeR_pos	cynT//citX//
BasR_neg	tdcE//
BasR_pos	napB//ssuD//
BetI_neg	tdcB//moaE//deoB//
BirA_neg	lsrF//entF//dhaK//glgC//fabB//
BluR_neg	
BolA_neg	metF//galT//
BolA_pos	asnA//fadM//
CadC_pos	garD//kbaZ//
CaiF_pos	puuD//fabD//pdeH//add//rhaD//
Cbl_pos	gltD//phnO//araD//puuE//prpD//
CdaR_pos	ldtC//purE//ppiA//ldtC//yfbR//wzc//glcF//wzc//aroH//
CecR_neg	
ChbR_neg	purE//uxuA//entE//
ChbR_pos	mdh//fadB//phnG//
ComR_neg	
CpxR_neg	argF//fadD//argI//
CpxR_pos	astB//prpB//cysK//polA//dapD//hmp//carA//idnD//lpxD//purM//mltF//paaB//leuC//umuD//tdcD//mhpC//gcvT//gntK//
Cra_neg	idnO//phnM//xylB//aroG//fadD//astB//malY//sdhB//dkgA//entB//psd//ulaF//tehB//bioD//ulaF//fabH//lpd//paaA//mpaA//pgaC//metF//hypF//lhgO//gloA//fabD//add//melA//hyaB//ftnA//hemH//ada//paaY//purM//pagP//pgpC//hcaF//ssuE//phnJ//lpxC//rffC//ulaE//idnO//nagA//udp//epd//uxuA//
Cra_pos	pflB//argB//acnB//fdhF//pgpC//paaG//aspA//pepD//hypB//eno//nadA//glxR//napH//phnJ//glpX//rhaA//trpC//
CreB_neg	hyaB//
CreB_pos	pck//
CsgD_neg	treC//pdeL//
CsgD_pos	fucA//accD//narH//
CsiR_neg	hyaB//nirB//pagP//fucK//
CspA_pos	folA//
CueR_neg	narH//ttdB//
CueR_pos	caiB//rnpB//
CusR_pos	fadJ//galK//bacA//
CynR_neg	
CynR_pos	sucC//glpX//tktB//
CysB_neg	wzb//hycF//add//
CysB_pos	ruvA//yeaE//glgB//citX//ampC//glpK//add//chbG//xapA//argC//eno//tynA//lyxK//allE//metH//
CytR_neg	fadA//ruvA//entC//garL//asnA//patD//metH//gcvP//ssuD//idnD//
Dan_pos	melA//rutD//
DcuR_pos	purA//lacZ//asnA//dmsB//
DeoR_neg	alkB//ampC//metL//glnA//cdd//metA//
DhaR_neg	
DhaR_pos	thrS//
DicA_neg	
DinJ-YafQ_neg	betB//
DnaA_neg	argD//uidA//galE//fucO//dmsB//
DnaA_pos	dkgA//ugpQ//purL//
DpiA_neg	
DpiA_pos	aldA//glmS//murI//treC//rutE//
DsdC_neg	
DsdC_pos	pheT//katG//
EbgR_neg	
EnvR_neg	cysC//yibQ//
EnvY_pos	sgbU//add//
EvgA_pos	dmsB//uvrC//paaZ//talA//nadA//ynfE//
ExuR_neg	hypB//gcvP//gcl//phoA//bioC//narG//
FabR_neg	lsrK//feaB//
FadR_neg	leuD//yeaE//rffM//ynfH//puuA//rhaB//lysC//dsdA//murQ//
FadR_pos	luxS//lhgO//hcaD//pagP//murD//fadB//ybjG//cdd//phnM//
FeaR_pos	xapA//lsrK//
FhlA_pos	nrfD//chbF//gadB//mhpC//dkgB//putA//argH//
FlhDC_neg	katE//astC//
FlhDC_pos	adiA//fbaA//fadM//lpxA//ppiA//fucI//mltF//yeaE//hcaD//
FliZ_neg	yfbR//galT//ychF//fucO//argE//
FucR_pos	metH//sgbU//entH//ycjG//paaA//nadB//
Fur_neg	rnpB//nemA//allE//pgm//add//trpA//udp//atoD//bioF//glcD//dkgA//rfe//ahpC//lhgO//mngB//ynfE//rbsD//hyaB//argH//rimK//fadH//glpA//xylA//pspE//rhaD//aroH//prpD//fes//kbaZ//ldtD//iscS//ruvB//gatZ//adhE//nrdA//glcD//ybjG//prpC//yqjH//rutB//hcp//purM//citX//gcl//purL//napC//murG//putA//ruvB//entE//hcp//adhE//ascB//ldtB//
Fur_pos	metB//fadJ//sufS//metF//deoD//add//ulaG//rhaA//argA//malZ//hycE//tauD//mhpB//hycF//ynfF//slt//astD//
GadE-RcsB_pos	fabB//dsdA//mpl//dacC//
GadE_pos	fbaB//prs//dmsA//icd//tktB//tdcG//speA//argD//yeaG//pheS//
GadW_neg	glk//argB//sucB//
GadW_pos	glpD//wrbA//ttdB//hycG//
GadX_neg	metL//pyrC//
GadX_pos	lyxK//rffH//fucU//cysE//paaG//napH//murG//nrfB//caiC//polA//
GalR_neg	argC//fabA//hypF//ynfF//mtlD//zwf//
GalR_pos	narG//pagP//ssuD//rhaD//
GalS_neg	recF//entH//ftnA//sodA//rbsK//hcaC//
GalS_pos	narG//dgkA//gatZ//caiA//
GatR_neg	pgaC//waaZ//mraY//
GcvA_neg	waaH//xylB//entA//
GcvA_pos	napG//fucA//purA//
GlcC_neg	
GlcC_pos	gadA//adiA//yqjH//
GlpR_neg	ubiA//mtlD//gatY//sgbU//purM//hycE//phr//
