# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	metE//rdoA//
AcrR_neg	umpH//glcB//
Ada_neg	pnp//polA//
Ada_pos	patA//gapA//yfdE//fumB//
AdiY_pos	narI//allE//malY//accD//
AgaR_neg	pdeR//
AidB_neg	pykF//
AlaS_neg	lysA//
AllR_neg	fumC//caiB//waaY//rutC//leuD//argH//
AllS_pos	astE//napB//metF//
AlsR_neg	gpmM//lpd//thrS//
AppY_pos	fucA//gntK//
AraC_neg	fucU//tam//entC//galT//metA//
AraC_pos	fbaB//frdC//sucD//malQ//nrfB//
ArgP_neg	
ArgP_pos	malY//luxS//rutB//caiD//hycB//allD//sucC//trpD//accB//
ArgR_neg	katG//rdoA//adhE//sucD//idnK//rfe//allD//betA//nanM//galE//eno//wrbA//dacC//appA//pgaC//serA//aceE//aroF//
ArgR_pos	araD//ttdA//hycD//ftsI//lysA//
ArsR_neg	astD//gatY//
AscG_neg	deoC//mraY//
AsnC_neg	phnP//
AsnC_pos	phnP//
AtoC_pos	rnpB//entE//phr//
BaeR_pos	rbsD//cysH//
BasR_neg	mtlD//
BasR_pos	glmS//sdhD//
BetI_neg	accC//pyrD//fadB//
BirA_neg	tdcB//thrS//ogt//tyrB//tam//
BluR_neg	
BolA_neg	bglB//fabH//
BolA_pos	katE//sdhA//
CadC_pos	nanK//purF//
CaiF_pos	pdeR//hcaB//dapD//ruvB//hycB//
Cbl_pos	moeA//mhpF//hcaE//lpxD//uidA//
CdaR_pos	ynfG//frc//appA//metF//aldA//pheS//rpiB//purM//frdD//
CecR_neg	
ChbR_neg	ubiC//argE//fabD//
ChbR_pos	argH//dhaM//rbsK//
ComR_neg	
CpxR_neg	ftnA//poxB//sucB//
CpxR_pos	dkgA//prpD//entF//fadB//sucD//metA//trpE//rutD//nfsA//accD//purD//argA//rhaD//mdh//tehB//prs//hycF//accC//
