# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	recF//dgcC//
AcrR_neg	fadA//tyrB//
Ada_neg	tdcE//fucO//
Ada_pos	aceA//leuB//lacA//gltD//
AdiY_pos	edd//alaC//pncB//alaS//
AgaR_neg	deoA//
AidB_neg	ribA//
AlaS_neg	accC//
AllR_neg	hyaA//rffM//patA//ascB//ubiC//ahpC//
AllS_pos	metE//metA//xylB//
AlsR_neg	glcE//metF//purM//
AppY_pos	deoA//uvrA//
AraC_neg	tauD//dacC//allB//fumC//tdcG//
AraC_pos	cysI//cysC//glk//malY//entF//
ArgP_neg	
ArgP_pos	ilvC//napG//glmU//betB//puuB//phnJ//yfbR//nrdA//argC//
ArgR_neg	xapA//talA//narG//deoC//accC//mazG//tktB//aroG//pyrD//fumC//pheS//rnpB//eno//wrbA//fdhF//aldA//ruvB//cysH//
ArgR_pos	nrfC//glgB//umuC//napH//cysD//
ArsR_neg	citC//pdeH//
AscG_neg	thrS//idnK//
AsnC_neg	ruvB//
AsnC_pos	deoB//
AtoC_pos	katE//uxuA//fabG//
BaeR_pos	gatZ//prpE//
BasR_neg	nrfC//
BasR_pos	hyaA//fadM//
BetI_neg	ppsA//glgP//uidA//
BirA_neg	aspC//glxK//prs//tauD//fabA//
BluR_neg	
BolA_neg	acnB//tam//
BolA_pos	gutQ//murI//
CadC_pos	phr//ulaF//
CaiF_pos	ascB//fucU//rffC//cysD//paaF//
Cbl_pos	hypF//pdeL//fes//tadA//ybaS//
CdaR_pos	glnA//deoC//rnpB//pspE//cynS//uxuB//fadE//araD//gcl//
CecR_neg	
ChbR_neg	glmU//fumB//malZ//
ChbR_pos	chbG//pgi//tnaA//
ComR_neg	
CpxR_neg	folE//pgpC//truB//
