# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	phnO//guaA//
AcrR_neg	pyrD//nagB//
Ada_neg	asnA//ogt//
Ada_pos	uvrB//yiaK//malZ//cysN//
AdiY_pos	lpxD//citX//bioB//cysJ//
AgaR_neg	atoA//
AidB_neg	araD//
AlaS_neg	ada//
AllR_neg	codA//rffC//fbaA//murQ//yeaE//bglB//
AllS_pos	accA//gltD//citC//
AlsR_neg	pagP//treC//fau//
AppY_pos	aspA//paaC//
AraC_neg	acnB//pgpC//nrfC//sgbH//nirD//
AraC_pos	nanM//purA//argH//rimK//ldtC//
ArgP_neg	
ArgP_pos	purH//astE//ttdA//srlD//mraY//ampC//entA//ulaF//fadD//
ArgR_neg	aspA//paaH//fadM//nadA//argB//mdh//ampC//moeB//xapA//arsC//dhaK//citD//rhaD//deoC//polB//rffG//serA//leuB//
ArgR_pos	aroF//glpA//pgaB//ruvA//eda//
ArsR_neg	puuB//tyrA//
AscG_neg	nanK//codA//
AsnC_neg	leuC//
AsnC_pos	pncB//
AtoC_pos	sufS//aspC//ynfF//
BaeR_pos	glmS//dgcZ//
BasR_neg	mazG//
BasR_pos	citD//fbaB//
BetI_neg	ulaE//hcaF//lldD//
BirA_neg	folA//murD//hcaE//talA//pyrC//
BluR_neg	
BolA_neg	gntK//add//
BolA_pos	prpC//rhaB//
CadC_pos	malZ//speA//
CaiF_pos	pncB//ada//fucO//purD//waaH//
Cbl_pos	fabG//caiC//pgi//waaY//fruK//
CdaR_pos	cysN//umpH//melA//polB//pck//ubiC//ugpQ//alkB//ldtD//
CecR_neg	
ChbR_neg	paaF//mhpC//ulaF//
ChbR_pos	guaB//ssuD//nadB//
ComR_neg	
CpxR_neg	entH//moaA//gor//
