# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	metA//mpl//
AcrR_neg	glpB//napB//
Ada_neg	uvrB//phnH//
Ada_pos	ynfF//lsrK//allE//deoB//
AdiY_pos	ldtD//fabG//puuC//prpE//
AgaR_neg	fabH//
AidB_neg	gabD//
AlaS_neg	citX//
AllR_neg	aceA//fabG//gcvT//nfsA//glk//wrbA//
AllS_pos	narG//leuD//aspA//
AlsR_neg	hcaE//dhaL//allE//
AppY_pos	wecB//argI//
AraC_neg	dhaL//polA//fucI//hycC//pyrD//
AraC_pos	cysE//phnJ//trpD//talA//katE//
ArgP_neg	
ArgP_pos	fes//argF//fucO//psd//gcvP//wecB//uidA//rhaA//sgbE//
ArgR_neg	fdhF//nagA//chbG//fes//nrdF//pykF//ynfE//nadB//hycD//murC//deoD//gabT//alaC//ttdA//nadA//rhaA//phnL//gdhA//
ArgR_pos	mhpE//leuB//fabD//dgcC//gadB//
ArsR_neg	mhpD//fadJ//
AscG_neg	nirB//fucA//
AsnC_neg	metF//
AsnC_pos	fadD//
AtoC_pos	nemA//nagA//malZ//
BaeR_pos	gatD//ugpQ//
BasR_neg	edd//
BasR_pos	hycB//fabG//
BetI_neg	cysJ//galM//tam//
BirA_neg	hyaA//alsE//atoA//malZ//torA//
BluR_neg	
BolA_neg	hypF//mnmG//
BolA_pos	glpX//prs//
CadC_pos	gpmM//thrS//
CaiF_pos	chbF//ung//ssuE//glgX//paaE//
Cbl_pos	uxaC//putA//betB//murE//astB//
CdaR_pos	pdeL//entD//hcaB//nirD//ascB//aroH//pgpC//gabT//wzb//
CecR_neg	
ChbR_neg	patA//napB//metC//
ChbR_pos	argA//kbaZ//accA//
ComR_neg	
CpxR_neg	mpaA//glpQ//glpC//
CpxR_pos	trpA//fabI//ldtD//nfsB//ahpC//pgpC//fadB//murQ//cysH//astE//idnO//lpxA//sdhD//gatZ//katE//hemH//chbF//recF//
Cra_neg	purC//sdhB//nirD//tam//aroG//caiD//nadB//ubiC//katG//rbsD//ssuE//purA//glk//cysM//ychF//cysD//yqhD//hcaB//fabG//kbaY//pyrD//mdh//fabA//hypB//fucI//rbsK//galT//ldtC//nanK//add//paaJ//gadA//guaA//gudD//atoA//cueO//umuD//mraY//leuC//frdC//paaK//lacZ//nrdA//treC//ftnA//ftnA//
Cra_pos	ynfH//rutD//lldD//ruvA//ubiX//caiA//purF//accC//atoD//paaB//fumC//ruvA//fabH//fabZ//ychF//araA//purE//
CreB_neg	ndh//
CreB_pos	yfbR//
CsgD_neg	dgcC//phnL//
CsgD_pos	ung//tyrA//idnO//
CsiR_neg	polA//fucI//asnA//allC//
CspA_pos	allB//
CueR_neg	phnJ//purM//
CueR_pos	acnA//tyrA//
CusR_pos	alaC//yibQ//fabI//
CynR_neg	
CynR_pos	paaC//pdeL//lacA//
CysB_neg	allB//nirD//gloA//
CysB_pos	accD//uxaB//cysH//carA//paaF//pspE//gpmM//argC//pdeL//mpl//garR//purH//malY//gor//puuB//
CytR_neg	leuA//ascB//astA//narG//allE//lsrK//leuC//hycG//glpA//codA//
