# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	ascB//hmp//
AcrR_neg	dkgA//cysD//
Ada_neg	ampC//ynfG//
Ada_pos	rffH//gltD//fadB//icd//
AdiY_pos	glpX//fabD//fabI//cysE//
AgaR_neg	phoA//
AidB_neg	kbaZ//
AlaS_neg	thrS//
AllR_neg	lacA//tadA//frdB//rnpB//tdcE//astD//
AllS_pos	fabA//tdcE//gatD//
AlsR_neg	bioB//pgaB//caiB//
AppY_pos	pdeR//acnA//
AraC_neg	entB//phnN//dmsC//mpaA//fadB//
AraC_pos	entH//narI//serA//pykF//nfsA//
ArgP_neg	
ArgP_pos	rhaD//mhpC//umuD//rdoA//citG//malY//fadD//entF//fucO//
ArgR_neg	relA//sdhC//ldtB//puuE//murC//hcaC//nirB//nrfB//entF//nadA//add//glk//paaI//eno//entA//galM//appA//murE//
ArgR_pos	glk//paaE//lsrG//fucK//hypB//
ArsR_neg	pheS//fruK//
AscG_neg	dkgA//rsmH//
AsnC_neg	paaE//
AsnC_pos	purN//
AtoC_pos	uxaC//fucK//fabG//
BaeR_pos	gudD//fumB//
BasR_neg	paaJ//
BasR_pos	nanA//frdD//
BetI_neg	frc//nrfA//uvrB//
BirA_neg	cysI//fabI//entH//narI//tktB//
BluR_neg	
BolA_neg	pncB//napC//
BolA_pos	gpmA//fadB//
CadC_pos	glgB//cysN//
CaiF_pos	sucB//pdeR//dinB//treC//asnA//
Cbl_pos	ynfG//entC//cynT//bglB//fabA//
CdaR_pos	phoA//fabD//purF//fadM//prs//leuD//rhaA//nrdE//glcE//
CecR_neg	
ChbR_neg	lpd//bioA//ulaF//
ChbR_pos	nrfB//ogt//fadA//
ComR_neg	
CpxR_neg	leuC//fabA//fadJ//
CpxR_pos	deoB//moeA//xylA//malS//ung//paaF//frdA//pdeL//glpX//fadM//bacA//uidA//recF//psd//gudD//trpA//glmU//patA//
Cra_neg	dkgA//frc//bioD//moaD//narH//srlD//glgX//nrfD//nrdE//pfkA//uxuB//ampC//astC//adhE//murF//galK//hypB//nanM//dgcZ//nrdA//paaK//galE//hyaB//frdC//eda//fabH//caiB//citC//yqjH//lsrF//psd//ldtD//argG//nrfD//pspE//idnO//atoD//aroF//sdhA//pgk//idnD//rdoA//pgpC//alaC//glcE//pck//
Cra_pos	argH//hcp//ppc//astC//gcvH//purL//kbaZ//sdhA//hycE//rhaA//lpxD//gdhA//tynA//gadA//phnJ//idnK//pheT//
CreB_neg	leuA//
CreB_pos	cyoE//
CsgD_neg	metB//gabT//
CsgD_pos	murD//purC//fucA//
CsiR_neg	dhaK//mazG//gcvT//aroH//
CspA_pos	tyrB//
CueR_neg	gatD//wecC//
CueR_pos	astD//fbaB//
CusR_pos	araB//fes//atoD//
CynR_neg	
CynR_pos	puuC//appA//sucB//
CysB_neg	dkgB//garD//nadA//
CysB_pos	tdcB//moaE//gatD//deoD//xapA//aceE//ulaE//araB//lysA//uxuA//alkA//araB//dapD//argB//uxuB//
CytR_neg	rffG//luxS//puuA//mngB//metK//bglB//arsC//phnH//tehB//ybjG//
Dan_pos	psd//glnA//
DcuR_pos	ulaG//malZ//leuD//fucK//
DeoR_neg	nanK//bglB//patA//fabG//guaA//glgP//
DhaR_neg	
DhaR_pos	narI//
DicA_neg	
DinJ-YafQ_neg	bglB//
DnaA_neg	trpE//rdoA//astE//dgkA//hypB//
DnaA_pos	ynfF//rbsK//glpB//
DpiA_neg	
DpiA_pos	amn//sucD//ulaF//glpK//purK//
DsdC_neg	
DsdC_pos	ulaF//ycjG//
EbgR_neg	
EnvR_neg	yiaK//galK//
EnvY_pos	leuC//purM//
EvgA_pos	nanA//fabB//deoB//mnmG//yfbR//edd//
ExuR_neg	accD//speB//caiC//aroG//fbaB//glgP//
FabR_neg	aroG//fbaB//
FadR_neg	fabA//glpA//pheT//nrfB//rbsK//gpmM//betB//rdoA//malP//
FadR_pos	fucK//napA//glk//glgB//lysC//fadI//oxc//atoA//gadA//
FeaR_pos	luxS//fadA//
FhlA_pos	purB//glpA//fau//hycD//ppiA//tdcE//pgi//
FlhDC_neg	yeaE//lpxA//
FlhDC_pos	gpmM//lpxD//ulaD//murG//eda//nanA//nrfA//dapB//ruvB//
FliZ_neg	bioB//uvrA//glmS//purF//fdhF//
FucR_pos	polA//mpl//argF//nrdA//pagP//xylB//
Fur_neg	bioF//gloA//ppsA//hcaF//nirB//xylB//ybjG//eda//aspC//nanK//glcF//dgcZ//ulaE//ybjG//sgbH//guaA//ogt//mhpB//metF//puuD//serA//nrdD//bioD//edd//yeaE//tdcD//rutE//mdh//trpC//bioF//dgkA//mtlD//argG//adhE//glnA//xylB//nrdF//fabH//garK//gnd//ldtB//appA//argD//yeaE//allA//lsrG//glnA//fdhF//hycG//mtlD//fbaA//fadB//bioF//napG//
Fur_pos	fruK//hcaE//araA//ulaG//entH//dapD//fbaB//ubiC//mpl//malS//murC//tdcG//tpiA//trpE//fadE//katE//dacC//
GadE-RcsB_pos	entC//murI//dkgA//cysG//
GadE_pos	purN//rffC//betB//galM//alaS//gpmA//ssuD//add//nemA//cysE//
GadW_neg	glmS//glcE//mhpB//
GadW_pos	ychF//mazG//xylB//paaI//
GadX_neg	napH//purF//
GadX_pos	glcD//phnI//speA//mtlD//murD//gapA//idnK//rffM//yibQ//purH//
GalR_neg	melA//aroF//astD//tynA//pheT//araA//
GalR_pos	glgA//asnA//purL//argF//
GalS_neg	serA//prpB//ahpF//argF//entH//nanE//
GalS_pos	asnB//fadB//frc//fumB//
GatR_neg	ugpQ//entF//entB//
GcvA_neg	allB//moeA//ubiC//
GcvA_pos	entH//lsrG//phnG//
GlcC_neg	
GlcC_pos	icd//hcaB//ulaF//
GlpR_neg	galK//gcl//trpC//paaZ//tktB//trpA//garL//
GlrR_pos	
GntR_neg	fadH//ttdB//fabZ//cysK//alkA//lsrK//glyA//phoA//wecC//
GutM_pos	umuD//deoB//fabH//
GutR_neg	ssuD//ubiX//dinB//
HU_neg	glpC//ldtC//ftsI//cysJ//katG//dkgB//dhaL//
HU_pos	
HcaR_neg	
HcaR_pos	ppiA//argA//
HdfR_neg	
HdfR_pos	
HigA_neg	accB//
HigB-HigA_neg	metE//
HipAB_neg	mpl//hycB//
