# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	speA//uvrB//
AcrR_neg	tnaA//nadA//
Ada_neg	glcB//malP//
Ada_pos	leuC//waaZ//cysN//recF//
AdiY_pos	hyaA//dhaK//sucC//accD//
AgaR_neg	malY//
AidB_neg	aceE//
AlaS_neg	glgP//
AllR_neg	garR//hcaB//mtlD//ung//metA//galK//
AllS_pos	fucK//nfsB//rhaD//
AlsR_neg	gcvT//purE//nrfC//
AppY_pos	mhpD//gcl//
AraC_neg	hyaB//nirB//edd//gatD//entH//
AraC_pos	napG//gcvP//yfbR//rimK//metE//
ArgP_neg	
ArgP_pos	glgB//trpC//fabG//aceB//pheT//yeaE//lysC//alsE//idnO//
ArgR_neg	gnd//metF//eno//paaE//rpiB//lsrF//ogt//hycD//gabD//umuC//tdcD//metF//glxR//hemH//paaE//sdhC//yqhD//hyi//
ArgR_pos	uxaA//nemA//accD//tauD//gadA//
ArsR_neg	guaB//argB//
AscG_neg	puuA//trpC//
AsnC_neg	amn//
AsnC_pos	glpB//
AtoC_pos	paaA//appA//putA//
BaeR_pos	pepD//pyrC//
BasR_neg	pykF//
BasR_pos	dgcC//caiB//
BetI_neg	argF//moaE//glcD//
BirA_neg	cysC//pheS//argF//tpiA//hyaC//
BluR_neg	
BolA_neg	atoA//glgA//
BolA_pos	hycC//hycD//
CadC_pos	trpA//ynfH//
CaiF_pos	ruvB//nanK//metH//bioD//argC//
Cbl_pos	moaE//glcF//thrS//hycB//gpmA//
CdaR_pos	pgm//cysE//fabG//glyA//ynfH//phnH//mpaA//fumB//phnM//
CecR_neg	
ChbR_neg	fadI//paaC//phnJ//
ChbR_pos	uxaA//talA//nadB//
ComR_neg	
CpxR_neg	nfsA//lpxC//accC//
CpxR_pos	mltF//araD//puuC//aceB//aspA//cysI//thrS//hyaB//dmsB//wecB//garD//fadH//ubiX//fadI//ampC//hyi//ugpQ//cysM//
Cra_neg	pagP//gabD//fes//glpQ//fadE//ndh//gudD//ubiA//sgbU//prpD//ppc//bioF//yeaE//tdcB//gadA//fadM//gltB//deoC//entA//fadM//glpD//alkB//tauD//frc//fucA//putA//nrdD//cysM//gadB//rnpB//polB//lysC//pyrD//mraY//napH//glpQ//gdhA//nrdE//caiD//rutB//pyrC//trpD//argC//purC//torC//entE//
Cra_pos	phnH//sucB//yeaG//bioD//rffT//ldtB//ynfG//frdB//rutA//glgC//glgA//garL//araA//alkB//purA//pgpC//hcaF//
CreB_neg	truB//
CreB_pos	ynfE//
CsgD_neg	fadJ//gadB//
CsgD_pos	trpB//gadA//allD//
CsiR_neg	relA//hyi//wecC//rffM//
CspA_pos	fucA//
CueR_neg	gdhA//puuB//
CueR_pos	prs//pdeL//
CusR_pos	nirD//nanA//mraY//
CynR_neg	
CynR_pos	allB//srlD//citX//
CysB_neg	mhpA//mhpB//mhpC//
CysB_pos	srlD//accA//bioD//dinB//umpH//rhaD//caiB//astD//umuD//purN//fabG//pnp//alkA//yibQ//paaI//
CytR_neg	cueO//citE//fucI//mhpB//bioB//fucA//frc//treC//sgbU//uxuA//
Dan_pos	pgpC//dgcC//
DcuR_pos	metB//fabD//citE//bioC//
DeoR_neg	sucD//mraY//paaI//lpd//gpmM//rbsK//
DhaR_neg	
DhaR_pos	astC//
DicA_neg	
DinJ-YafQ_neg	pflB//
DnaA_neg	rpiB//mraY//rffG//metB//asnA//
DnaA_pos	glgP//adhE//sodB//
DpiA_neg	
