# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	nudI//
aas_lplT	thiH//
abgABT_ogt	ribB//mhpE//rbn//
abpAB	
accBC	tmk//paoA//
aceBAK	lgoD//cysD//recF//
aceEF	insI-3//pldA//tatD//
ackA_pta	hisG//glf//
acpP_fabF	mtgA//
acrAB	napA//lhgO//
acrEF	nrfA//
acs_yjcH_actP	pcm//paaI//
ada_alkB	ilvG_2//sucC//
agaS_kbaY_agaBCDI	paaK//
ahpCF	lsrF//
alaA_yfbR	guaA//dld//
alaWX	
allDCE	hycF//dapF//ldtE//
alsBACE	yceF//eda//
amiA_hemF	ispH//yceF//
ampDE	galM//
ansA_pncA	ycjU//ribE//ribB//
apaGH	cyaA//
appCBXA	ydiO//betB//
araBAD	nfsB//pspE//kbaY//
araE_ygeA	rsmA//
araFGH	phnO//
argCBH	lpoA//fadD//rnpB//
argT_hisJQMP	cpsG//aes//
argX_hisR_leuT_proM	
arnBCADTEF	lsrK//dadA//ilvG_2//ppx//glyS//
aroF_tyrA	galU//ndk//
aroKB_damX_dam_rpe_gph_trpS	hypB//serS//suhB//ydfG//guaB//yihV//
aroL_yaiA_aroM	uxaC//
arpB_1B_2	
arsRBC	rihC//paaJ//
artPIQM	malY//
ascFB	fbaA//pgm//
asnC_mioC	
asnC_mioC_mnmG	ispD//
aspA_dcuA	gcvH//dapA//
astCADBE	cdsA//cobC//sucA//allC//patZ//
atoDAEB	bioF//rsmA//ruvA//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	ispH//yqjG//proB//tag//dmsB//maeB//
bamB_der	wcaJ//
basRS	
bcsABZC	ycaO//adk//
bcsBZ	tesB//ydbC//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	gpmM//oxc//
bfd_bfr	epmA//
bglGFB	bcsB//kdgK//
bglH_yieLK	
bioBFCD	yegS//relA//dut//pabC//
brnQ_proY	mnmG//glyS//
btuB_murI	pfkA//gmhB//
btuCED	pepD//phnL//
cadBA	roxA//mrcA//
caiCDE	phnH//mngB//
caiTABCDE	caiA//allD//fre//bioA//ulaG//
carAB	mcrA//
casABCDE12	argI//
casDE12	dmsC//
cbpAM	
cbrBC	
ccmABCDEFGH	gmd//
cecR_ybhGFSR	
chaBC	
chbBCARFG	nanM//pgpB//cysH//
chiP_ybfN	acpT//
chpSB	waaF//
citCDEFXG	aceB//dmsC//plsB//
clpPX	purD//phnH//gnd//glpC//
clpX_lon	efeB//rsmD//thiD//
clsA_yciU	epmB//
cmk_rpsA	sgbU//
cmoM_mukFEB	
cmtBA_yggPFDC	mutY//argA//
coaE_zapD_yacG	sad//
cobUST	cobB//nudK//tsaC//
codBA	phnM//yiaK//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	gntK//
csgBAC	
csgDEFG	pck//
csiD_lhgO_gabDTP	rlmF//sucB//entE//rlmH//
cusCFBA	rfbA//
cusRS	
cvpA_purF_ubiX	ttdB//add//
cydAB	ribE//
cydDC	pgaB//
cydX_ybgE	metE//
cynTS	frlB//slyD//
cynTSX	rsmD//panE//sucC//
cyoABCDE	pgaC//ilvA//
cysDNC	ispA//asnA//
