# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	bglX//
aas_lplT	uxuA//
abgABT_ogt	gltA//yqhD//mutY//
abpAB	
accBC	thiM//mutS//
aceBAK	recJ//aroK//purD//
aceEF	fadM//dgcZ//malZ//
ackA_pta	glnS//ycjU//
acpP_fabF	ldtE//
acrAB	lysU//phoA//
acrEF	etp//
acs_yjcH_actP	hemH//hycE//
ada_alkB	agp//dcd//
agaS_kbaY_agaBCDI	paoA//
ahpCF	fbaB//
alaA_yfbR	rsgA//gpt//
alaWX	
allDCE	cheR//selB//metK//
alsBACE	adeD//rhaD//
amiA_hemF	accB//lgoD//
ampDE	paaH//
ansA_pncA	lplA//lacA//lpxD//
apaGH	umpG//
appCBXA	hcaF//rffM//
araBAD	sodC//yicI//ldtD//
araE_ygeA	mpaA//
araFGH	yjjG//
argCBH	ulaF//rihC//xylA//
argT_hisJQMP	thrB//katG//
argX_hisR_leuT_proM	
arnBCADTEF	xdhA//hpt//tmcA//nrdF//aroC//
aroF_tyrA	polB//sucD//
aroKB_damX_dam_rpe_gph_trpS	fadI//purD//folD//ubiE//malP//rfaD//
aroL_yaiA_aroM	purM//
arpB_1B_2	
arsRBC	slyD//rihA//
artPIQM	nadR//
ascFB	slt//argF//
asnC_mioC	
asnC_mioC_mnmG	nadA//
aspA_dcuA	scpB//wcaJ//
astCADBE	tgt//chbF//putA//accB//menB//
atoDAEB	mgsA//treC//pdeR//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	pfkA//adhE//ugpQ//fadJ//rlmI//trpS//
bamB_der	tesA//
basRS	
bcsABZC	nrdF//alkA//
bcsBZ	folE//rlmM//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	dmlA//adiA//
bfd_bfr	csdA//
bglGFB	yfdE//ydbC//
bglH_yieLK	
bioBFCD	rlmH//rluE//patZ//pyrI//
brnQ_proY	ldtA//asnA//
btuB_murI	lhgO//betB//
btuCED	ydbC//araB//
cadBA	rfbB//mltA//
caiCDE	nirB//hemC//
caiTABCDE	paaH//yeiG//lpcA//astE//hcaE//
carAB	hemG//
casABCDE12	ispU//
casDE12	nanE//
cbpAM	
cbrBC	
ccmABCDEFGH	frlD//
cecR_ybhGFSR	
chaBC	
chbBCARFG	clsC//dcyD//gstA//
chiP_ybfN	slt//
chpSB	pheT//
citCDEFXG	cdsA//rutD//rlmI//
clpPX	yegS//pabA//mngB//yfdR//
clpX_lon	rutC//rnpB//yceF//
clsA_yciU	ilvE//
cmk_rpsA	epd//
cmoM_mukFEB	
cmtBA_yggPFDC	hisF//miaA//
coaE_zapD_yacG	ldtA//
cobUST	allA//speA//yjjX//
codBA	ubiE//selB//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	gadB//
csgBAC	
csgDEFG	acpT//
csiD_lhgO_gabDTP	ilvC//aroL//talB//appA//
cusCFBA	hinT//
cusRS	
cvpA_purF_ubiX	gpmM//nadR//
cydAB	fabD//
cydDC	yghU//
cydX_ybgE	mraY//
cynTS	leuC//araD//
cynTSX	gltD//iaaA//fucK//
cyoABCDE	yrfG//frmA//
cysDNC	fau//idnK//
cysJIH	thyA//rsmF//lpxP//
cysPUWAM	tilS//pgl//gpp//
dadAX	alr//ynfF//
damX_dam_rpe_gph_trpS	frlB//phnG//ubiD//glnE//
dam_rpe_gph_trpS	phnI//paaA//allB//bcsA//
dapA_bamC	fadB//
dapE_ypfN	ydiF//
dcm_vsr	deoD//
dcuB_fumB	menD//gor//
dcuSR	
dcyD_tcyLN	pykF//mngB//
ddpXABCDF	fabD//
def_fmt	trmI//yibQ//
degQS	yicI//menF//
deoABD	murB//gcvH//paaK//
deoBD	gabD//yniC//
deoCABD	tesB//gpsA//hisB//allD//
dgoRKADT	bglA//hmp//rffC//pfkB//
dhaKLM	ssuE//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	caiB//folA//
dinJ_yafQ	pphB//
dksA_gluQ	cobT//
dmsABC	pgpB//
dnaAN_recF	pbpC//
dnaK_tpke11_dnaJ	fklB//
dnaN_recF	bglB//
dnaTC	
dnaTC_yjjA	
dosCP	mrcB//ribE//
dpiBA	
dppABCDF	dusA//
dsbC_recJ_prfB	gmm//pgm//
dsbD_yjdC	
dsdXA	pyrB//uvrA//
dusB_fis	rutE//
dut_slmA	yggF//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	fadA//glnS//
efeOB	speE//
efeU_1U_2	
elbB_mtgA	sdaB//
elfDCG_ycbUVF	
emrKY	hypB//
entCEBAH	rpiB//eutD//fucA//nirB//rihC//hcp//
envY_ompT	trxB//
epd_pgk	aceE//slyD//
epd_pgk_fbaA	pheS//tauD//mutL//
essD_rrrD_rzpD	pgpB//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	puuC//
eutHA	
eutNEJG	
eutSPQTDM	aceA//
evgAS	
exbBD	
fabDG_acpP	metE//hinT//
fabG_acpP	folK//
fabHDG	truB//mhpA//frmA//
fabR_yijD	
fadBA	leuA//mocA//
fadD_sroD	yjhH//
fadIJ	ulaD//plsB//
fdnGHI	
fdoGHI_fdhE	asd//
fdrA_ylbEF_ybcF	cynT//
fecABCDE	pdxH//idnK//
fecIR	
feoABC	rlmH//
fepA_entD	umuD//paaB//pgi//
fepDGC	mrcA//
fes_ybdZ_entF_fepE	trpS//pyrD//ruvB//
fetAB	
fhuACDB	glpE//hemF//
ficA_fic_pabA	fes//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	thiI//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	rsmA//pncA//
folC_dedD	eutC//
folD_ybcJ	gutQ//
folE_yeiB	bioB//
folP_glmM	yliI//metL//
folX_yfcH	entC//
frdABCD	allD//
frlABCDR	asnB//mnmC//gcl//pdeL//
frmRAB	fkpB//bioH//
fruBKA	galU//mutL//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	ycaO//accC//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	recF//mrcA//folB//miaA//astD//cysG//yjhG//menE//nudF//accB//
ftsQAZ	
ftsYEX	
fucAO	purM//folX//
fucPIKUR	murA//paoA//entB//pabC//
fumAC	glcB//tdcD//
fusA_tufA	
gabDTP	phnN//bioD//astD//
gadAX	yibQ//
gadBC	rffG//etk//
gadEF	
gadEF_mdtEF	rlmB//
gadXW	
galET	mrcB//purU//
galETK	garL//torC//apt//
galETKM	gcl//fbp//trmA//lysC//
gapA_yeaD	abgA//
gapC_1C_2	
garPLRK_rnpB	thiF//dgt//mog//lysU//rutD//tyrB//
gatYZABCD	hemH//narV//rfbD//
gatZABCD	cysC//aspA//yciV//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	recF//sgbH//alsE//pheA//yihV//
gcvTHP	pncB//yqhD//bacA//
gfcBCD	
gfcE_etp_etk	yfdR//phnH//
ghoST	trpE//
glcBA	glpX//xylB//
glcDEFGBA	ligA//tag//paaE//
glf_wbbH	galT//
glgAP	tmcA//pyrG//
glgBXCAP	tdcG//deoA//allC//manA//rfbC//
glgCAP	glpE//ftsI//mmuM//
glmUS	mazG//ubiA//
glnALG	pcm//
glnHPQ	alsE//
glnK_amtB	thiM//
glnLG	
glnW_metU_glnVX	
glpABC	frlC//
glpEGR	trxB//hcaE//
glpFKX	gstA//mtn//tsaE//
glpGR	scpB//
glpTQ	cobS//hycF//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	wzb//
glvCBG_ysdC	
glyQS	trmH//
glyVXY	
glyW_cysT_leuZ	
gntKU	napB//ssuE//
gntRKU	fucO//yjiA//
gntX_nfuA	
gpmM_envC_yibQ	murF//dusA//
groSL	
gspAB	
gspCDEFGHIJKLMO	aroK//
guaBA	yjjX//rutB//
gudPXD	ftnA//thrS//
hcaEFCBD	phnJ//aceF//
hcp_hcr	purM//rutD//
hdeAB_yhiD	
hemA_prfA_prmC	ispB//bcsB//
hemCDXY	lipA//moaE//
hflD_purB	pncB//
hfq_hflXKC	rrrD//
hicAB	
higBA	clsA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	gmd//mpaA//ynfE//iaaA//
hipBA	adk//
hisBHAFI	nanM//pldA//pfkA//thrB//
hisJQMP	trpA//lhgO//
hisLGDCBHAFI	emtA//hcaD//fsaA//rlmI//glyS//phnJ//glpE//
hofMNOP	
holC_valS	fumA//
holD_rimI_yjjG	glcD//gpmA//
hscBA_fdx_iscX	xdhA//
hsdMS	cysS//
hsdRMS	hcaC//
hslRO	
hslVU	kdsD//
hyaABCDEF	
hybOABCDEFG	hemG//
hycABCDEFGHI	yohF//rph//
hydN_hypF	rsmA//
hyfABCDEFGHIJR_focB	tdcB//
hypABCDE	serB//
hypABCDE_fhlA	purE//
hypBCDE	yfiC//
hypBCDE_fhlA	ispB//
iaaA_gsiABCD	ispH//folB//
ibaG_murA	astA//
ibpAB	
idnDOTR	speD//glgX//nfsA//
ileS_lspA_fkpB_ispH	abgB//hemE//selD//gloA//
ilvEDA	rluF//sgbH//yccX//rnpB//
ilvIH	murA//
ilvLXG_1G_2MEDA	mltA//gmhB//proA//melA//ybdL//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
