# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	patZ//
aas_lplT	mpaA//
abgABT_ogt	pgaD//metK//aroH//
abpAB	
accBC	nudJ//patA//
aceBAK	serA//xylA//gabD//
aceEF	dgoA//ispB//ppa//
ackA_pta	wrbA//dapD//
acpP_fabF	frlC//
acrAB	thiC//pck//
acrEF	speC//
acs_yjcH_actP	ppk//rihC//
ada_alkB	argA//dhaL//
agaS_kbaY_agaBCDI	wzb//
ahpCF	rhaM//
alaA_yfbR	maeA//torY//
alaWX	
allDCE	serS//udk//hisC//
alsBACE	rsmB//gpsA//
amiA_hemF	kdsB//malP//
ampDE	deoB//
ansA_pncA	phnP//psuG//tsaE//
apaGH	idnK//
appCBXA	pgpC//cadA//
araBAD	maa//dacC//nrdF//
araE_ygeA	gutQ//
araFGH	xdhA//
argCBH	rsmI//ldtC//rlmM//
argT_hisJQMP	rhaB//pyrF//
argX_hisR_leuT_proM	
arnBCADTEF	caiB//gluQ//sucD//metC//rlmE//
aroF_tyrA	xapA//ogt//
aroKB_damX_dam_rpe_gph_trpS	gatD//aroD//fkpB//thrC//asnS//ycjG//
aroL_yaiA_aroM	ndh//
arpB_1B_2	
arsRBC	gloB//dgcP//
artPIQM	paaA//
ascFB	murF//mdh//
asnC_mioC	
asnC_mioC_mnmG	iscS//
aspA_dcuA	carB//nfi//
astCADBE	folB//tynA//uvrA//yihS//pabC//
atoDAEB	eptC//rhaB//tag//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	narZ//glyQ//panE//malY//pabC//metF//
bamB_der	speD//
basRS	
bcsABZC	gmhB//lgoD//
bcsBZ	nadE//trxB//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	purC//folX//
bfd_bfr	trxB//
bglGFB	yjcS//hdhA//
bglH_yieLK	
bioBFCD	moaD//lpxT//patZ//yfdR//
brnQ_proY	nadE//trmO//
btuB_murI	ybjG//gmm//
btuCED	clsA//kdsD//
cadBA	pcm//tesA//
caiCDE	folA//miaB//
caiTABCDE	eptA//ileS//plsB//rbsD//trmO//
carAB	nudG//
casABCDE12	glnE//
casDE12	fumA//
cbpAM	
cbrBC	
ccmABCDEFGH	kduD//
cecR_ybhGFSR	
chaBC	
chbBCARFG	nadK//nudL//pphA//
chiP_ybfN	gadA//
chpSB	etp//
citCDEFXG	amiD//yfiC//dapA//
clpPX	sdaA//murF//panE//amiD//
clpX_lon	ftnA//kbaY//rph//
clsA_yciU	lsrF//
cmk_rpsA	cysN//
cmoM_mukFEB	
cmtBA_yggPFDC	kbaZ//alkA//
coaE_zapD_yacG	tesB//
cobUST	metK//aroH//trpE//
codBA	frlB//fumB//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	garK//
csgBAC	
csgDEFG	psuG//
csiD_lhgO_gabDTP	dnaQ//cof//ispB//narZ//
cusCFBA	thiL//
cusRS	
cvpA_purF_ubiX	hycD//ydiB//
cydAB	tynA//
cydDC	coaD//
cydX_ybgE	idnK//
cynTS	allA//dgoK//
cynTSX	tktB//menE//ybhA//
cyoABCDE	mnmA//adhP//
cysDNC	ldtE//ydiO//
cysJIH	hemC//idnD//rbn//
cysPUWAM	yfeX//glyA//sdhC//
dadAX	waaB//bcsA//
damX_dam_rpe_gph_trpS	tdcD//pgaC//glk//nrdB//
dam_rpe_gph_trpS	rlmC//accC//pncB//fabB//
dapA_bamC	udp//
dapE_ypfN	tktB//
dcm_vsr	menB//
dcuB_fumB	thiM//uvrB//
dcuSR	
dcyD_tcyLN	nanA//amn//
ddpXABCDF	narH//
def_fmt	yniC//deoA//
degQS	gnd//lpxD//
deoABD	nagK//lpxK//yfcF//
deoBD	tpiA//rutB//
deoCABD	wbbI//argH//fabH//folB//
dgoRKADT	kdsD//iscS//selD//gudD//
dhaKLM	pepD//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	ahpC//acpH//
dinJ_yafQ	ilvA//
dksA_gluQ	wrbA//
dmsABC	roxA//
dnaAN_recF	curA//
dnaK_tpke11_dnaJ	mltF//
dnaN_recF	edd//
dnaTC	
dnaTC_yjjA	
dosCP	ygjK//yfdR//
dpiBA	
dppABCDF	glgP//
dsbC_recJ_prfB	iscS//purL//
dsbD_yjdC	
dsdXA	gstB//cadA//
dusB_fis	narY//
dut_slmA	entE//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	napG//clsC//
efeOB	ahpF//
efeU_1U_2	
elbB_mtgA	ruvC//
elfDCG_ycbUVF	
emrKY	pgaD//
entCEBAH	yfcG//asnS//preT//aldB//paaA//glmM//
envY_ompT	yegS//
epd_pgk	cynT//uvrC//
epd_pgk_fbaA	trxB//dmlA//yqjH//
essD_rrrD_rzpD	aslA//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	gshB//
eutHA	
eutNEJG	
eutSPQTDM	folK//
evgAS	
exbBD	
fabDG_acpP	lpxP//bfr//
fabG_acpP	yeiG//
fabHDG	nagZ//fadI//dnaQ//
fabR_yijD	
fadBA	adeD//pncB//
fadD_sroD	glnS//
fadIJ	cysI//metB//
fdnGHI	
fdoGHI_fdhE	yagF//
fdrA_ylbEF_ybcF	ribB//
fecABCDE	fabD//yohF//
fecIR	
feoABC	bglA//
fepA_entD	caiA//dgcM//ndh//
fepDGC	purC//
fes_ybdZ_entF_fepE	mcrB//fau//waaU//
fetAB	
fhuACDB	cysD//asnS//
ficA_fic_pabA	pssA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	nrdD//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	yfaU//nanK//
folC_dedD	cynS//
