# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	galK//
aas_lplT	fadA//
abgABT_ogt	rfbA//dapA//alaS//
abpAB	
accBC	sad//ribD//
aceBAK	dmsB//phr//leuD//
aceEF	clsA//kdsD//tnaA//
ackA_pta	mltC//gcvP//
acpP_fabF	garK//
acrAB	acs//gshA//
acrEF	recG//
acs_yjcH_actP	pdeH//mltC//
ada_alkB	pabB//mcrA//
agaS_kbaY_agaBCDI	rlmE//
ahpCF	yqjH//
alaA_yfbR	dxr//add//
alaWX	
allDCE	ldtC//lysA//dgoK//
alsBACE	fabI//bioC//
amiA_hemF	yfiC//serB//
ampDE	cysN//
ansA_pncA	scpA//dhaM//waaL//
apaGH	def//
appCBXA	opgB//thrS//
araBAD	dcd//ghrA//kdsC//
araE_ygeA	hemC//
araFGH	cpdB//
argCBH	speF//gpmA//yqjH//
argT_hisJQMP	ulaD//glcF//
argX_hisR_leuT_proM	
arnBCADTEF	murQ//epmB//bglA//tesA//rsmE//
aroF_tyrA	wcaJ//yiaY//
aroKB_damX_dam_rpe_gph_trpS	folE//truD//pheA//nudB//sbcB//nadA//
aroL_yaiA_aroM	dgt//
arpB_1B_2	
arsRBC	rpiB//rpe//
artPIQM	fadA//
ascFB	ymdB//pgaB//
asnC_mioC	
asnC_mioC_mnmG	pgpC//
aspA_dcuA	fdhF//kdsC//
astCADBE	umpG//ascB//yeaE//lsrK//paaZ//
atoDAEB	waaQ//glmM//lpxA//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	sdhA//nadA//rlmC//argH//xapA//glf//
bamB_der	gabD//
basRS	
bcsABZC	cof//psuK//
bcsBZ	glcB//nadA//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	rsmJ//waaA//
bfd_bfr	pykA//
bglGFB	ydiF//panD//
bglH_yieLK	
bioBFCD	betB//glcB//idi//nanK//
brnQ_proY	glgB//slt//
btuB_murI	mutH//waaU//
btuCED	yigB//mnmG//
cadBA	betB//xdhC//
caiCDE	cysG//garR//
caiTABCDE	gutQ//rlmH//serA//aphA//nudF//
carAB	pspE//
casABCDE12	umuC//
casDE12	lpd//
cbpAM	
cbrBC	
ccmABCDEFGH	relA//
cecR_ybhGFSR	
chaBC	
chbBCARFG	hyi//yieH//recG//
chiP_ybfN	ycjU//
chpSB	treF//
citCDEFXG	waaB//uidA//menC//
clpPX	mnmA//oxc//alaA//frdA//
clpX_lon	fabZ//cpdA//purC//
clsA_yciU	scpA//
cmk_rpsA	opgE//
cmoM_mukFEB	
cmtBA_yggPFDC	speF//glcF//
coaE_zapD_yacG	gor//
cobUST	nrfA//cobC//ldtC//
codBA	ampD//rutB//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	hdhA//
csgBAC	
csgDEFG	gmm//
csiD_lhgO_gabDTP	metK//pepD//yciV//yfeX//
cusCFBA	pdeH//
cusRS	
cvpA_purF_ubiX	hisF//acnB//
cydAB	yliI//
cydDC	hycD//
cydX_ybgE	paaB//
cynTS	cobT//waaF//
cynTSX	ubiA//ubiA//ileS//
cyoABCDE	kduI//kbl//
cysDNC	mutH//fkpA//
