# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	thiI//
aas_lplT	rsmD//
abgABT_ogt	adhE//lpxH//paaK//
abpAB	
accBC	cmoB//ybiV//
aceBAK	mhpC//moeA//fadI//
aceEF	sseA//selD//glgB//
ackA_pta	mhpD//udk//
acpP_fabF	ghrB//
acrAB	hypB//yfbR//
acrEF	rlmJ//
acs_yjcH_actP	hcaC//clsB//
ada_alkB	napC//rsmI//
agaS_kbaY_agaBCDI	galU//
ahpCF	carA//
alaA_yfbR	yfiH//glyQ//
alaWX	
allDCE	ribE//maeA//thiG//
alsBACE	clsA//napH//
amiA_hemF	ppx//yjjX//
ampDE	waaA//
ansA_pncA	dmlA//dgoK//scpB//
apaGH	purD//
appCBXA	frdD//srlD//
araBAD	mazG//pyrD//rbsD//
araE_ygeA	dusB//
araFGH	mutH//
argCBH	trpD//gsk//wzb//
argT_hisJQMP	dusC//nrdD//
argX_hisR_leuT_proM	
arnBCADTEF	abgA//ilvH//ygiF//ygiF//ribA//
aroF_tyrA	dut//ispF//
aroKB_damX_dam_rpe_gph_trpS	waaL//yghU//queA//ung//nanM//trmI//
aroL_yaiA_aroM	cdsA//
arpB_1B_2	
arsRBC	hisA//mcrC//
artPIQM	talA//
ascFB	yfiC//rlmA//
asnC_mioC	
asnC_mioC_mnmG	apt//
aspA_dcuA	melA//murB//
astCADBE	phnP//sgbU//ribC//scpA//dapB//
atoDAEB	pncA//rpe//cfa//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	birA//bfr//lipB//pgpA//yqaB//glmS//
bamB_der	cysK//
basRS	
bcsABZC	aroF//adhP//
bcsBZ	lsrG//napA//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	menD//truB//
bfd_bfr	sdhA//
bglGFB	nudF//folE//
bglH_yieLK	
bioBFCD	waaA//rfaD//frlC//ugd//
brnQ_proY	gluQ//ppk//
btuB_murI	ribA//nfsA//
btuCED	preA//pabA//
cadBA	rlmC//kbaZ//
caiCDE	galK//pfkB//
caiTABCDE	napC//lsrF//ycaO//ydfG//pgpC//
carAB	torA//
casABCDE12	pgaB//
casDE12	prs//
cbpAM	
cbrBC	
ccmABCDEFGH	ppsA//
cecR_ybhGFSR	
chaBC	
chbBCARFG	rlmL//gmd//sthA//
chiP_ybfN	clsA//
chpSB	fabI//
citCDEFXG	ychF//panE//umuC//
clpPX	rluD//tdcD//dgcM//thrA//
clpX_lon	gshB//rnpB//yihS//
clsA_yciU	rihC//
cmk_rpsA	ulaD//
cmoM_mukFEB	
cmtBA_yggPFDC	folB//gmk//
coaE_zapD_yacG	cysQ//
cobUST	acpT//ydiB//rsuA//
codBA	glxK//arnA//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	tynA//
csgBAC	
csgDEFG	aphA//
csiD_lhgO_gabDTP	alkB//wzb//prmC//rbsK//
cusCFBA	ilvI//
cusRS	
cvpA_purF_ubiX	hisH//yfiC//
cydAB	patD//
cydDC	mnmA//
cydX_ybgE	hisF//
cynTS	treF//hycF//
cynTSX	gmhB//trmH//ynfE//
cyoABCDE	araD//alkA//
cysDNC	phnP//rutC//
cysJIH	aceF//ulaE//alkB//
cysPUWAM	frdD//gltB//birA//
dadAX	pfkB//rsgA//
damX_dam_rpe_gph_trpS	hisF//purT//purU//tmk//
dam_rpe_gph_trpS	pdeR//hycF//kdsB//rsmD//
dapA_bamC	narI//
dapE_ypfN	nagB//
dcm_vsr	paoB//
dcuB_fumB	pdeF//malP//
dcuSR	
dcyD_tcyLN	leuC//paoA//
ddpXABCDF	amiD//
def_fmt	leuD//alaS//
degQS	murG//pssA//
deoABD	iaaA//lysU//fbp//
deoBD	ravA//menC//
deoCABD	tpiA//glyA//caiD//mraY//
dgoRKADT	lldD//waaJ//otsB//yiaY//
dhaKLM	panE//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	yohF//ynfF//
dinJ_yafQ	allB//
dksA_gluQ	murC//
dmsABC	mnmA//
dnaAN_recF	yieF//
dnaK_tpke11_dnaJ	garR//
dnaN_recF	panB//
dnaTC	
dnaTC_yjjA	
dosCP	ulaG//trmH//
dpiBA	
dppABCDF	frlD//
dsbC_recJ_prfB	gltB//lacZ//
dsbD_yjdC	
dsdXA	ispA//speF//
dusB_fis	cpsB//
dut_slmA	tsaC//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	tyrB//prs//
efeOB	iscS//
efeU_1U_2	
elbB_mtgA	moaE//
elfDCG_ycbUVF	
emrKY	cdh//
