"Names"	"RegulonSize"	"SpearmanCorrelationMean"	"SpearmanCorrelationMedian"
"AccB"	2	0.677240613422836	0.677240613422836
"AcrR"	10	0.145207119675659	0.0998886071225479
"Ada"	4	0.192711789673249	0.20010475854647
"AdiY"	8	0.235509839350569	0.15027983378276
"AgaR"	11	0.210688909992436	0.225978264154009
"AidB"	1	1	1
"AlaS"	1	1	1
"AllR"	9	0.191962875468097	0.184401495021666
"AllS"	3	0.257597564043294	0.298816636782892
"AlsR"	6	0.29981202568103	0.325304987940908
"AppY"	10	0.685158507405815	0.695953457541453
"AraC"	14	0.170786608503324	0.158112355176496
"ArgP"	14	0.138643144823106	0.0972823152207987
"ArgR"	37	0.171720168050035	0.138549644941227
"ArsR"	3	0.225303563794983	0.176339198047336
"AscG"	5	0.0623468078505945	0.056105976011515
"AsnC"	4	0.153947951841274	0.117560629013026
"AtoC"	4	0.268424497807519	0.27023262248327
"BaeR"	8	0.15341809651784	0.146905975843657
"BasR"	13	0.102467046414949	0.0518256261785084
"BetI"	4	0.456906720801227	0.428388492925885
"BirA"	5	0.511666559900828	0.514336899112241
"BluR"	4	0.5543551912826	0.56854247364051
"BolA"	2	0.208911035958259	0.208911035958259
"CadC"	3	0.345415036445749	0.28189652195129
"CaiF"	10	0.221866889138339	0.224655657094094
"Cbl"	9	0.228209883022478	0.193960374958592
"CdaR"	9	0.306356965090356	0.308470773139265
"CecR"	5	0.341188753652191	0.349561988385073
"ChbR"	6	0.205436057298039	0.203278653829294
"ComR"	1	1	1
"CpxR"	65	0.0958583045781531	0.0750044742421379
"Cra"	78	0.140010304650261	0.108682483984622
"CreB"	5	0.219852908932093	0.0648341158631665
"CsgD"	28	0.170462138580713	0.110836525829865
"CsiR"	5	0.601175017714718	0.615852447518553
"CspA"	2	0.157969448159757	0.157969448159757
"CueR"	7	0.309753237909173	0.362042778293031
"CusR"	12	0.229708243390511	0.101991964093453
"CynR"	4	0.236389948579525	0.231437354437589
"CysB"	32	0.193318888341306	0.112068142265113
"CytR"	13	0.181893921327803	0.144569733807323
"Dan"	4	0.194939289614307	0.19794760268333
"DcuR"	9	0.273806241709968	0.185381803614099
"DeoR"	6	0.312904377975539	0.336900279522103
"DhaR"	4	0.390992011155478	0.373724989155869
"DicA"	8	0.152479446896495	0.142226270252377
"DinJ-YafQ"	3	0.19426415392227	0.120742754156734
"DnaA"	12	0.204577708832875	0.162769097847217
