# From /Users/Daniela/Documents/CCG/GU_art_2/v22/original_datasets/scripts/create_datasets_v2.pl on Fri Nov 23 23:40:09 2018
# Input = /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_gene.txt
# /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_active.txt
# /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_inactive.txt
#GU name	Genes
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	marA//marB//marR//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	flhC//flhD//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	acrA//acrB//
AcrR_FNR_Fur_SoxR	soxR//
AcrR_FNR_Fur_SoxR_SoxS	soxS//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	micF//
Ada_AidB_Lrp	aidB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	gadA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	gadX//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	gltB//gltD//gltF//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	gadB//gadC//
AdiY_H-NS_IHF	adiA//
AgaR_CRP	agaA//agaV//agaW//kbaZ//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	hyaA//hyaB//hyaC//hyaD//hyaE//hyaF//
AppY_ArcA_YdeO	appA//appB//appC//appX//
AraC_CRP	araA//araB//araD//araE//araF//araG//araH//araJ//ygeA//
AraC_CRP_XylR	araC//xylA//xylB//
AraC_NagC	ydeM//ydeN//
ArcA_BetI_Cra	betA//betB//betI//betT//
ArcA_CRP_CaiF_FNR_H-NS	caiA//caiB//caiC//caiD//caiE//caiT//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_HprR_PdhR	cyoA//cyoB//cyoC//cyoD//cyoE//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	lpd//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	acnA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	aceE//aceF//
ArcA_CRP_Cra_Fis	acnB//
ArcA_CRP_Cra_IHF_IclR	aceA//aceB//aceK//
ArcA_CRP_DcuR	dctA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	dpiA//dpiB//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	fumB//
ArcA_CRP_DnaA_FNR_MarA_Rob_SoxS	aldA//
ArcA_CRP_DpiA_FNR_NarL	citC//citD//citE//citF//citG//citX//
ArcA_CRP_DpiA_FlhDC	mdh//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	gadE//gadF//
ArcA_CRP_FNR	fumA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	glpA//glpB//glpC//
ArcA_CRP_FNR_Fis_Fur_PdhR	grcA//
ArcA_CRP_FNR_Fis_IHF_NarL	pflB//
ArcA_CRP_FNR_Fur	sdhA//sdhB//sdhC//sdhD//
ArcA_CRP_FNR_Fur_IHF	sucA//sucB//sucC//sucD//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	sodA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	fumC//
ArcA_CRP_FNR_IHF_NarL	focA//
