#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	mlc//malE//trpA//araD//
AlaS-L-alanine	phnK//
AllS-allantoin	ilvM//marB//abgT//
AraC-L-arabinose	hdeD//yojI//gntU//rrfE//srlA//malE//ccmH//glpK//oppB//nuoL//yqaE//treR//nuoI//nuoJ//
ArcA-Phosphorylated	yaeQ//treR//agaV//cusF//nuoC//dapB//fhlA//argI//rrfD//metH//phnE_2//feoA//citE//rplV//entB//aroG//fucR//hycA//ascF//ynfK//purD//purC//manX//chbB//napA//iraD//preA//pgaC//oppC//moeA//aaeR//exbB//glpX//mltC//priB//gatA//tdcG//rutA//glcD//tyrP//cysD//rprA//fimC//napH//arfB//dapD//fepE//ndh//hyaB//mepH//hemA//caiF//nuoM//glgP//cspE//nrdG//cysM//folE//astE//napA//pagP//fimC//lsrK//cysA//ydhU//ydeP//ebgC//prs//tfaQ//rhaR//cdd//agaW//adhE//ycjX//ptsG//thrV//trxA//argH//micF//aroM//napA//garP//rpoS//rrfD//nuoI//mdtA//rhaB//fucR//yfdE//alaA//mutY//nikB//hypE//fimA//hofO//ugpE//iscS//pitA//mhpA//rutB//cydC//rrfD//sodA//lsrC//appX//udp//iscU//ebgC//xapA//fadL//ycjF//ulaA//galS//rrsD//rutC//cheZ//malE//nuoC//araF//cysN//rybB//baeR//lsrC//fecA//puuB//casE//motA//fadH//fliA//slyB//fadL//rof//feoA//ychH//yrbL//rpoE//exuT//gyrA//torC//xylR//gadB//fhuD//argO//trpD//entE//tyrB//emrK//napF//bamE//ompF//rrsH//miaA//murQ//puuR//azuC//torC//ppdD//uhpB//sdaA//nrfB//fucK//phnE_2//nuoC//hyfD//melR//abgA//xylB//nuoB//dppF//cyaR//glpG//crl//csgF//exbD//betB//creC//tfaQ//
ArgP-L-arginine	aceF//ispE//dgcZ//fdhF//sodB//ihfA//paaF//paaB//xylG//uhpB//cysI//hycE//hemL//artQ//appY//argD//
ArgR-L-arginine	ascB//ilvG_2//hycE//mglC//yfbR//moaD//hofP//yhhY//gcvT//melB//speB//sufD//hyaF//aceE//ssuB//dcuC//cadA//moaC//galM//sroD//gatY//rbsR//putP//fhuF//dapD//sohB//bcsC//agaA//idnK//moeA//gnd//ybdN//tyrP//ytfE//aldA//argR//oppD//appB//yebE//
AtoC-phosphorylated	ulaA//sdhC//glrR//putP//
BaeR-Phosphorylated	hyaD//fdnH//nmpC//cpxR//hypA//glnL//lsrF//yeaD//
BirA-bio-5'-AMP	idnT//narX//cydC//creD//chiP//
CRP-cAMP	yjjZ//flhD//grxD//hisQ//casE//dpiA//hyfD//srlA//nrfB//pdhR//yecR//nrdD//ydeP//hypB//glcE//malF//tdcF//uxaC//hupB//rpsJ//mzrA//osmC//folE//purL//paaZ//nanT//rplV//nagA//gcd//rrfC//qseB//hydN//hdeD//yjeV//napA//aaeA//feoC//creA//pflB//mglA//hycF//bacA//hyfF//hofN//gltU//aldA//csgF//gpmA//melA//gspJ//hisM//mcaS//cyoE//gspE//katE//aroA//fucO//bglF//chbC//phnO//narQ//aspA//glmY//mhpD//cysU//rplC//yoaC//glpE//ryhB//iraM//gltU//rrsB//yeaR//argO//acrA//gntU//livK//rhaA//rbsB//mpl//slyB//puuB//uxuB//codA//qseC//hupA//erpA//creC//qseB//argT//yidQ//codB//lrp//mpl//rplC//chbF//baeS//araH//sufC//sodA//argC//rnlA//nanT//hyaC//leuE//infC//gcvP//galT//cysK//yeiP//fepB//ygiC//cysA//fepB//yjeV//cdd//folA//rpsR//napB//dcuC//rrsC//fepG//pheM//ilvB//sufD//ydbD//hypA//ptsH//sufA//ccmA//folA//hypE//psd//ygeA//trpC//astC//qseB//feaB//marR//phnP//mgtA//srlR//ssuE//hslJ//fimH//rrfG//fhuF//ccmC//mhpF//hycE//aroF//yqjH//ilvC//fdnI//yedX//phnM//sdhD//yjjZ//dsdX//phoA//tdcD//ilvG_1//xylR//nhaR//purH//sufA//fau//rbsD//ydhW//mltC//gatB//mdtB//katE//mlc//rpsQ//hofM//lacA//hyfD//aceA//xseA//yccA//ccmB//hpt//yneM//efeU_1//acrD//hflD//ydhW//agaW//tdcF//hycF//chbB//lsrC//envZ//rrlB//malX//argT//uidC//fecE//phoE//xdhB//hofM//atoD//oxc//speC//citD//lysC//idnR//sgbE//fucK//dpiB//lyxK//hflK//ompT//hycD//araB//casE//fliZ//tdcG//cysJ//rplS//mdtC//garL//fucI//speC//fadB//ygaC//uxuA//xylB//agaV//srlD//glcC//fimA//rpsO//cdd//bcsB//glnA//rcnB//gcvH//rutA//phoE//gntX//csgA//rstB//abgA//yqjI//uxaB//malK//rpoH//sohB//ulaB//gltT//pgaB//hybE//araG//codA//nrdF//nusA//metK//mdtD//mdtB//fhuC//dsdC//nrfG//hyaA//idnO//borD//bioA//yfdX//malF//amiB//fliA//talA//fixB//pta//nanT//hybO//gutQ//aroP//yojI//fumB//yegZ//yjeF//chbC//gadB//purF//caiE//yaeQ//recF//lsrD//slyB//hycG//ydeP//mglA//ydeN//agaV//lpxB//tdcE//cyoB//mdtD//nagA//grcA//gltF//trpA//purD//oppD//psd//cusS//ilvG_1//ulaC//mgtL//gatZ//rutG//rpoE//treC//rutG//gltT//ugpE//gpmA//crl//yhhY//prpE//rutE//purC//iclR//alaS//cusF//hycF//gcvT//grcA//fadD//srlA//glpR//sbmA//ybjG//sodB//gntR//oppD//metR//gcvP//ldtC//allC//glnD//paaH//rutD//purC//oppB//argT//nupG//argG//narI//mzrA//hybC//nuoF//napG//mdtB//malE//cpxA//araE//yegH//fucR//rutA//recF//oppF//purF//hyfE//casB//tomB//rpsS//umpH//ycjF//moaA//rpoS//tam//napA//chbF//rrfH//yegZ//csgE//csgE//lldD//cstA//lhgO//fnr//pgaC//rbsB//infC//bioF//emrY//rrlG//uxuR//tdcC//nohA//fucA//iscR//appC//nuoE//casD//ynfK//ung//aspC//xylR//soxS//rpsR//frdB//cspE//tsx//cyaR//mtr//marR//gntT//tomB//skp//trpL//dcuA//ugpC//ssuB//cysH//soxS//csgA//hyaA//rpoS//exbD//malT//yrbL//ynfG//idnR//manA//dsbA//xdhA//moaA//bglB//cysD//cynX//copA//glpC//livK//rrlG//cheW//uidA//prfA//ydhT//cysC//phnJ//cysM//grpE//mntP//uvrA//lysP//aceB//hycE//acrE//fixB//idnO//codB//pitB//narX//hyfC//rnhB//phnF//phoU//yeiL//hypF//acrE//rrfC//ilvE//mglC//yfdX//nrfB//argA//ydeA//feoA//artJ//cysJ//ansB//nagA//gspM//dpiB//casA//gdhA//zraP//ompA//nrdD//murQ//tnaC//aroF//puuA//rrlG//hdeD//rimM//motB//tsaE//cysG//aroP//aroG//nupC//chbB//dcuA//nagC//bdcA//psiF//nrdD//fhuB//uxuR//phnL//uidC//allE//ilvB//melB//entH//motB//rnhB//fdnH//phnM//nac//zraS//cysH//ilvG_1//astA//rrfB//metC//fhuF//narJ//melR//ilvM//
ChbR-Monoacetylchitobiose-6P	chbB//yfiP//tauA//phoQ//oxc//glpA//
CpxR-Phosphorylated	hyfD//rrfA//iraM//tnaC//nupC//dppD//prmC//yrbL//putP//arcA//deoC//paaF//caiA//hybD//mhpE//malK//gntU//mpl//gcvP//argE//fimF//entF//thrV//marA//malS//caiC//flhD//cyaA//patZ//asr//nrfF//qseC//glpA//crl//argP//betI//glnD//ydbD//gntP//soxR//tdcF//artI//codB//sufE//mdtA//ynfK//puuR//fliZ//pdeF//infC//csgE//malT//slt//paaF//spy//flhC//bamE//dppB//zraS//ydeN//fixC//gltT//norV//oxyR//alkA//hyfA//tyrA//fhuA//patZ//
CreB-Phosphorylated	rutD//sdhD//cysN//ybdZ//yedX//tyrR//glcF//srlE//glnK//
CueR-Ag	cadA//gspE//bdcA//nupC//cynR//rrlA//lldP//
CueR-Cu+	phnE_2//trpD//dcuR//zinT//napH//rimP//entS//
CuerR-Au	hycE//uxaB//ydeA//folA//nikB//tauC//paaK//
CusR-Pasp	dadX//lldD//manZ//csiD//malT//glpQ//lysP//argO//evgS//yiaJ//nrfD//hfq//
CynR-Cyanate	rbsD//artP//hybO//sufE//
CysB-N-acetyl-L-serine	purD//gpsA//fimI//yjcH//bglB//aceK//citF//araJ//atoB//purA//gntK//ydeM//mglC//casD//nrfF//purL//rpmI//hpt//yqjA//oppC//hemA//fiu//gntP//rrlB//ycjF//manY//cydA//baeR//purF//crp//
CysB-O-acetyl-L-serine	cheW//glnK//betA//alaT//casC//frdD//sdaA//prpE//mgrR//ybiT//rnlB//ykgM//ilvA//paaG//ppiA//araC//paaI//betT//cysW//ilvC//purC//ackA//ilvE//fhuE//rrlG//dps//idnO//alaU//fecE//fhuE//cyoC//
DcuR-Phosphorylated	dmsA//idnR//hyaF//cheA//araJ//rrlH//galE//rplW//fimH//
DnaA-ATP	glgC//miaA//prpR//pheT//purK//fepE//fhlA//rrsG//csiE//hyaF//rpsP//malQ//
DpiA-Pasp	mgrR//prpC//hycD//ulaF//hofO//crp//idnR//rplC//ssb//ompW//zraS//
DsdC-D-serine	agaW//tyrP//fucR//
EvgA-Phosphorylated	envZ//gspL//ilvD//phnJ//iclR//hpt//tdcE//preT//lsrC//nuoE//metR//fimA//ompA//rutF//uxuB//
