#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b4399//b2096//b0347//b3469//
AlaS-L-alanine	b0311//
AllS-allantoin	b3510//b2725//b0428//
AraC-L-arabinose	b1706//b4238//b0384//b2991//b0564//b2091//b4102//b2239//b4367//b3365//b1531//b0933//b2151//b1617//
ArcA-Phosphorylated	b3171//b0207//b1733//b1780//b3242//yegZ//b2557//b0929//b1024//b1395//b2093//b3668//b3449//b0976//b2215//b2553//b0676//b4063//b3908//b3274//b2341//b3316//b1323//b3604//b4072//b4311//b3700//b2375//b0726//b2241//b3540//b2500//b3037//b1881//b0150//b2529//b2148//b0774//b3601//b2415//b2750//b4032//b3576//b1205//b0998//b3057//b1500//b3314//b1900//b0347//b0584//b4131//b1389//b2152//b1256//b2938//b4293//b4120//b1883//b2291//b3615//b2147//b3604//b4007//b3749//b2666//b4316//b2373//b4318//b3414//b0826//b4239//b2742//b4000//b3241//b1613//b0462//b1037//b4175//b1732//b0189//b0934//b0681//b4383//b3432//b3925//b3723//b0043//b2342//b0182//b2912//b2492//b1547//b1674//b2500//b2583//b0400//b1023//b3702//b2716//b3757//b2557//b0179//b3317//b4095//b3580//b2662//b1734//b0862//b1041//b2962//b4151//b3414//b1641//b0759//b1493//b1888//b3134//b3727//b2868//b0166//b0108//b2660//b4249//b2927//b2764//b4079//b0574//b4032//b4203//b4511//b4168//b4314//b2703//b2091//b1883//b1012//b3265//b2364//b0959//b1241//b2609//b4172//b0411//b2421//b3430//b1391//b0874//b4287//b3604//b2661//b2942//b3828//b3227//b3938//b0614//b0756//b2979//b4321//b4511//b3091//b0755//b0190//b1672//b2203//b3437//b0123//b4009//b2279//b2147//b2285//b1761//b4195//b0618//b1393//b3772//b3432//
ArgP-L-arginine	b2282//b1260//b4036//b2755//b1684//b0383//b2223//b3026//b3392//b2535//b4599//b2313//b3165//b0959//b2286//b1112//
ArgR-L-arginine	b2963//b3222//b2485//b2722//b1621//b4093//b1511//b1922//b1223//b0957//b1160//b1302//b3845//b4095//b2717//b3968//b0887//b2528//b1779//b4024//b3315//b1591//b1474//b0110//b0784//b1499//b2911//b1415//b3707//b3366//b4007//b4014//b0620//b3688//b1796//b0935//b2155//b0785//b0151//
AtoC-phosphorylated	b4070//b2428//b3460//b3395//
BaeR-Phosphorylated	b0889//b3688//b3417//b1224//b4099//b3806//b1736//b2195//
BirA-bio-5-AMP	b1207//b1040//b2803//b4067//b4094//
CRP-cAMP	b0945//b3165//b2923//b0782//b1475//b3700//b4152//b0675//b3314//b1127//b1475//b4511//b0384//b4319//b4059//b3544//b3070//b3124//b2606//b3971//b2759//b3666//b1297//b1684//b1241//b1704//b4698//b2206//b2485//b4132//b0038//b4671//b4101//b4037//b0296//b3275//b4059//b0998//b3417//b3426//b4698//b0756//b3911//b1113//b1920//b0588//b0020//b1782//b0895//b1537//b4074//b0565//b3772//b3852//b2987//b3722//b0929//b2713//b4392//b1189//b4040//b4002//b3437//b4376//b3907//b0980//b0429//b0152//b0020//b2759//b3363//b0728//b1430//b4317//b3124//b1324//b2758//b4104//b1421//b4203//b1499//b1324//b0759//b1905//b1246//b3869//b2093//b3315//b2213//b0841//b3275//b4036//b4471//b3608//b3751//b2429//b1006//b0585//b3752//b1207//b3603//b3668//b4567//b2529//b3430//b0995//b1205//b4062//b1796//b2801//b2597//b3364//b1513//b2306//b0805//b2342//b0570//b2703//b4096//b0874//b2425//b4129//b3116//b3414//b2199//b0595//b0595//b2508//b1797//b3170//b3941//b2207//b1658//b1209//b4290//b4098//b2151//b0827//b0400//b2222//b4196//b1515//b0979//b0399//b0428//b1516//b0722//b4067//b2364//b1885//b0167//b1275//b3728//b2597//b0378//b0383//b1655//b2278//b1656//b4203//b0595//b4400//b1393//b0048//b1323//b3169//b3332//b2728//b4241//b2570//b1532//b2942//b2148//b0596//b2370//b0123//b3311//b3688//b0904//b1190//b4468//b4467//b2207//b1336//b4068//b0863//b2091//b4416//b1131//b2079//b2371//b2374//b1512//b0313//b3311//b4072//b0841//b2171//b0110//b0623//b2497//b0586//b0048//b0342//b1302//b3318//b4355//b3236//b2764//b3325//b0183//b4705//b4315//b2718//b0116//b2373//b2742//b0722//b4133//b2758//b2282//b2424//b4321//b3081//b0184//b1712//b4115//b0440//b2371//b2980//b3511//b0754//b0044//b3316//b1335//b1296//b4268//b2151//b1475//b3927//b3275//b1612//b2528//b1706//b0038//b0973//b3608//b2617//b0389//b2392//b1006//b1015//b0759//b2341//b3868//b3394//b0936//b0589//b2529//b4034//b0880//b1398//b4159//b1393//b1260//b0033//b1852//b4059//b1321//b1221//b3831//b0957//b3759//b3480//b4197//b3213//b3599//b1540//b3455//b1398//b2731//b0112//b0064//b3404//b4309//b1492//b2631//b0041//b2916//b2490//b0411//b2927//b1482//b2365//b4059//b0929//b2756//b4198//b0997//b3758//b0597//b0039//b2201//b2923//b2712//b0894//b4059//b1335//b4067//b1390//b2703//b1492//b1415//b4316//b4054//b0043//b0345//b4406//b1112//b4067//b0863//b3438//b3125//b4242//b0613//b1112//b1112//b0340//b1882//b4384//b3240//b2711//b4196//b0936//b2243//b4063//b3908//b3334//b3123//b2202//b0619//b3441//b2222//b1748//b0763//b3096//b3458//b3335//b3925//b0995//b3670//b0181//b4024//b1857//b3221//b2277//b2490//b1744//b3605//b4592//b3564//b1547//b3603//b0192//b1223//b2904//b3038//b4059//b2236//b0044//b2662//b2990//b3541//b2962//b4209//b0754//b2068//b2152//b2068//b2942//b3221//b3864//b1905//b4175//b0777//b4003//b1890//b2143//b4698//b1671//b3828//b0366//b3509//b3072//b2063//b2801//b0980//b3781//b2961//b2075//b3970//b1747//b2288//b0972//b0150//b2487//b1617//b2597//b0204//b4075//b3460//b3906//b1859//b0296//b2961//b1781//b4318//b2903//b1528//b1779//b2912//b3749//b0349//b3600//b0038//b4314//b0615//b0110//b4071//b3583//b1591//b4196//b1429//b0365//b1519//b4013//b2669//b0841//b2818//b0345//b4198//b2199//b2716//b1658//b4416//b1131//b2926//b0167//b1902//b4069//b0461//b2669//b0346//b4129//b3902//b3414//b3724//b0106//b3518//b1101//b0683//b0441//b4242//b3772//b4151//b3476//b2367//b3266//b4002//b2716//b1593//b1498//b3671//b4106//b4267//b1609//b0614//b1546//b0033//b3907//b0976//b4018//b1805//b1006//b3902//b0617//b2755//b4058//b2943//b4502//b0044//b1002//b3970//b2756//b2276//b2530//b0754//b3565//b3939//b4237//b2757//b1275//b4069//b2993//b1714//b2277//b4105//b1397//b3670//b0041//b1761//b4637//b3781//b2660//b2584//b3327//b1334//b1390//b3583//b0894//b2285//b2211//b0591//b0311//b1518//
