# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	sdhC//udp//
Ada-Methylated_pos	fadB//paaC//ackA//alkA//
AlaS-L-alanine_neg	cyoE//
AllS-allantoin_pos	astC//pheT//fucA//
AraC-L-arabinose_neg	xylA//dmsC//hpt//narG//ulaF//
AraC-L-arabinose_pos	polA//sdaA//ynfH//mdh//atoA//
ArcA-Phosphorylated_neg	citD//mutL//cheB//cyaA//mtlD//pagP//yfeW//mhpB//manA//sdhB//mhpA//astE//glpQ//slt//paaF//ndh//hpt//phnI//tnaA//araD//deoA//ada//phnM//edd//fbaA//rutA//gatY//gpsA//phoA//entE//tdcE//abgA//ahpF//sucB//hycF//kbl//ubiA//trpE//alaS//mutL//tdcG//cyoE//moaA//psd//dusB//ynfG//lpxD//paaI//appA//mdh//pagP//ung//gatZ//torA//pyrD//dapB//abgA//allE//atoB//feaB//fucA//nanM//caiB//chbF//atoA//fdhF//purC//fdhF//
ArcA-Phosphorylated_pos	trpE//bglB//prmC//prpC//thrS//carB//eda//glgP//gcd//galT//pgaB//cysH//purC//lsrG//mtlD//pta//alkA//folA//lacA//dnaE//entH//yfbR//frdC//metF//aceE//fabZ//umpH//cysC//pta//gltA//folE//napA//speB//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	nrdB//deoA//phnJ//fadA//rutD//hemL//cadA//tyrB//dkgB//gadB//gnd//
ArgR-L-arginine_neg	torC//astB//pflB//moaE//phnH//cpdB//purM//alaS//glpB//paaE//acnB//cheR//aldB//entD//phnN//hemL//puuA//phnM//
ArgR-L-arginine_pos	dadA//cheB//galM//puuD//slt//
AtoC-phosphorylated_pos	gapA//fucK//ispE//
BaeR-Phosphorylated_pos	purL//melA//
BirA-bio-5-AMP_neg	tauD//tyrA//xylA//rhaB//uxuA//
CRP-cAMP_neg	folE//speA//tktB//pgpC//rhaA//dadX//bioA//purL//glpX//phnH//lysU//puuC//nanM//sufS//pgk//ldtB//icd//hyaB//ansB//entB//hemL//metH//deoA//moeB//gatY//dmsA//preA//guaB//epd//phnJ//rutA//ynfG//prmC//ilvD//fbaA//napH//hycC//cysM//ubiA//glgB//dsdA//agp//phnO//argH//bioF//tam//gnd//phoA//frdC//glpC//gdhA//rhaD//frdB//argI//caiC//cyaA//aspA//pnp//hyaC//rdoA//pgaC//psd//uvrA//astB//uxaA//mdh//garR//mhpE//manA//aspA//nrdD//umpH//metC//tyrB//atoA//ynfE//ilvG_2//fucU//
CRP-cAMP_pos	cysI//nagB//frdD//bacA//guaA//allC//nrfD//speB//abgA//gapA//allE//lsrF//narG//xdhC//folA//malZ//trpC//hypB//napG//bioF//paaZ//citF//glcD//tehB//serA//rutA//agp//nanE//argD//argC//tyrA//ldtC//slt//pdeF//mhpB//gnd//folE//lpd//uxaB//carA//cueO//cysK//hycD//nrfC//pgaC//prpE//aroL//puuC//mhpB//acnA//narG//dmsB//araB//galM//xdhA//aceE//gnd//hcp//ilvC//waaH//glpK//rutD//napG//rnpB//ung//patZ//rutD//sucD//sucB//trpA//astE//pgaB//pta//tadA//aldA//trpE//astC//hcp//udp//fumA//aroA//glgX//lysU//idnK//galE//dsdA//entF//caiC//rutB//pflB//yfdE//glcE//bioD//lacA//aroG//gapA//trpE//bcsB//glcF//phnJ//betA//rutB//astB//lysU//aceB//yfeW//zwf//phnM//puuA//pncB//nrfC//uxuB//malY//bcsA//entA//moaE//ynfG//malS//lysA//xdhA//astD//tauD//phnL//phnL//katE//polA//dmsC//paaG//aroF//deoA//fabZ//edd//astA//paaI//pyrD//ubiX//nanK//phnL//treC//tdh//fadI//phnP//frdC//nagA//argG//pyrC//mdh//sdaA//tdh//sdhD//lpxA//argI//tdcB//glpB//entC//argA//ugpQ//frc//purB//phnN//trpC//purB//napB//uvrA//hycC//astD//cheB//tsaE//fadD//tdcG//ulaF//ilvH//ldtC//galE//argD//gapA//serC//mhpA//lpxA//lpxB//puuC//ahpC//malZ//cynS//sodA//fes//carB//nrdB//murQ//nrdF//tdcE//malZ//ogt//frdA//cynS//tsaE//ung//hycF//malY//metK//deoC//aldB//citD//bioF//uxaA//ung//manA//lsrK//narI//tnaA//pdeF//gatY//guaB//citF//tdcD//uxaA//pncB//pnp//xapA//yeaE//preT//sucB//umpH//ubiG//fumC//xylB//ilvA//glpQ//gnd//cysN//dgcZ//torC//lpxB//bioD//tyrB//metF//nadC//umpH//nrdD//lpxB//allE//avtA//trpA//
ChbR-Monoacetylchitobiose-6P_neg	purK//bioF//gdhA//
ChbR-Monoacetylchitobiose-6P_pos	caiB//mhpF//xdhA//
CpxR-Phosphorylated_neg	pdeF//ahpF//ssuE//
