# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	psd//nrdD//
AcrR_neg	lsrK//bacA//
Ada_neg	garK//nanA//
Ada_pos	deoD//dhaK//cysM//narI//
AdiY_pos	asnA//guaB//moaE//rpiB//
AgaR_neg	uvrB//
AidB_neg	oxc//
AlaS_neg	metK//
AllR_neg	fumB//paaG//alaS//gadA//uxaB//rsmH//
AllS_pos	purD//aceF//alaC//
AlsR_neg	folE//entH//atoD//
AppY_pos	cysK//fucA//
AraC_neg	tpiA//murD//gnd//purC//lyxK//
AraC_pos	tauD//pagP//yeaE//paaF//nfsB//
ArgP_neg	
ArgP_pos	fucK//fadA//prs//slt//cysH//phoA//murI//waaY//galE//
ArgR_neg	bacA//aroG//lsrG//uxaA//ttdB//rutE//phnN//murE//gcvP//leuD//deoC//garR//sdhB//purA//nrdF//epd//caiC//bioA//
ArgR_pos	purF//hcaC//torA//pgpC//wecB//
ArsR_neg	gcvH//murQ//
AscG_neg	prpB//ruvB//
AsnC_neg	phr//
AsnC_pos	citD//
AtoC_pos	bioB//mhpD//cueO//
BaeR_pos	hemL//aceA//
BasR_neg	glpX//
BasR_pos	argC//metE//
BetI_neg	caiD//caiD//appA//
BirA_neg	tadA//gpmM//galK//uxaB//polA//
BluR_neg	
BolA_neg	metC//hyaC//
BolA_pos	gltB//appA//
CadC_pos	entA//hcaC//
CaiF_pos	gatD//pepD//gor//icd//ldtC//
Cbl_pos	aroG//fabH//prs//accB//gatY//
CdaR_pos	fes//ynfH//paaY//allD//fes//ulaG//ynfE//tynA//dhaK//
CecR_neg	
ChbR_neg	sdhC//glgX//yqjH//
ChbR_pos	citX//trpB//xapA//
ComR_neg	
CpxR_neg	purL//hcaD//pgaD//
CpxR_pos	mltF//tnaA//lsrF//appA//wecC//trpB//fucA//fadH//paaK//rhaA//alkB//gcl//argA//purA//citG//araB//uxuA//fbaA//
