# Turned to bnumbers using /Users/Daniela/Documents/CCG/GU_art_2/coexpression/scripts/gene_name_to_bnumber.pl on Mon May 14 14:30:06 2018 from /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt using /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/gene_links.txt
# From /Users/Daniela/Documents/CCG/GU_art_2/coexpression/scripts/dir_to_regulon_file.pl on Mon May 14 13:10:08 2018
# Input = /Users/Daniela/Documents/CCG/GUs_analysis/GUs_of_GOs/infiles/
go_0000018_7	b0393//b2733//b2831//b4170//
go_0000025_7	b3416//
go_0000027_7	b2511//b3871//b3180//b2576//b3162//b1716//b1343//b3305//b3318//b3179//b2594//b3983//b3308//
go_0000028_7	b2608//b3180//b2609//b3316//b3297//b3170//b0051//b3341//b2566//
go_0000032_8	b1613//
go_0000041_8	b0765//
go_0000050_5	b3172//b0033//b0032//b4254//b0273//b2870//b4245//
go_0000053_5	b3172//
go_0000096_5	b2810//
go_0000101_6	b3943//
go_0000103_5	b2413//b4214//
go_0000105_6	b2019//b2022//b2026//b2025//b2021//b2020//b2023//b2024//
go_0000160_5	b2469//b4004//b0993//b4112//b2786//b2216//b1609//b0619//b3667//b2918//b4125//b4003//b1222//b1882//b4401//b2219//b4113//b0620//b4399//b0570//b2380//b3210//b3869//b3911//b0400//b2554//b2556//b2370//b2218//b1129//b3026//b1914//b2126//b2125//b2078//b3404//b1130//b0571//b4124//b1888//b3668//b3405//
go_0000162_7	b1262//b1263//b2265//b1263//b1264//b1260//b1261//b2024//b3360//
go_0000270_7	b1655//b0920//b2175//b0632//b3057//b3182//mltG//b2134//b2813//b0433//b2328//b1856//
go_0000271_6	b3785//b2253//b2027//b0587//b3791//
go_0000302_5	b1089//b3011//
go_0000303_6	b1656//b3924//
go_0000305_5	b0304//
go_0000372_11	b3342//
go_0000413_9	b0441//b4207//b3775//b0053//b0028//b3347//b0436//b3349//
go_0000453_8	b2806//b4180//b2581//b3179//b3146//
go_0000455_9	b1086//b2183//b2594//b4022//b1269//b1135//b0058//
go_0000462_11	b3297//b3230//
go_0000470_10	b3984//
go_0000478_9	b0659//
go_0000716_7	b1114//
go_0000724_8	b2616//
go_0000725_7	b4059//b1863//b1861//b1860//b4389//
go_0000726_7	b2159//
go_0000731_7	b0876//b3700//b0472//b0231//
go_0000737_7	b2761//
go_0000738_7	b2011//b2761//b4483//
go_0000746_4	b0957//
go_0000820_7	b3053//
go_0000902_5	b1176//
go_0000910_4	b2817//b2435//b4169//
go_0000917_6	b2742//b2910//b3933//b0093//b2412//
go_0000918_6	b3641//b1175//b3534//b1174//
go_0000920_3	b2742//b0890//b3613//b2865//b1856//
go_0000921_6	b2910//
go_0000967_10	b2949//b3180//b1084//
go_0001101_4	b0693//b4189//b3190//b3507//b1597//
go_0001121_7	b3461//b2217//
go_0001123_8	b2741//
go_0001124_8	b3842//
go_0001407_7	b3452//b3450//b3451//b3453//
go_0001510_5	b4403//b4180//b2581//b1835//
go_0001514_8	b3590//
go_0001522_7	b2745//b3166//b2165//b0058//
go_0001558_5	b3724//b3129//
go_0001561_6	b2373//
go_0001676_6	b1805//
go_0001680_11	b3056//
go_0001682_11	b3704//
go_0001731_7	b1282//
go_0001762_6	b4208//
go_0001887_4	b1680//b1764//
go_0001896_5	b2742//b3613//b2865//b1856//
go_0002047_6	b1263//b0595//
go_0002097_8	b0144//
go_0002098_9	b3706//b1871//selU//b2324//b3741//b0921//b1870//
go_0002099_9	b0405//b0406//
go_0002100_9	b2559//
go_0002101_9	b2474//
go_0002128_7	b4403//b2532//
go_0002131_9	b3606//
go_0002132_9	b3606//
go_0002136_10	b0188//
go_0002143_9	b0969//b3345//b3470//b3344//b3343//b1133//
go_0002181_7	b3317//b3305//
go_0002184_8	b0172//
go_0002188_6	b1282//
go_0002192_8	b1282//
go_0002937_9	b0423//
go_0002938_8	b3651//
go_0002939_7	b2607//
go_0002943_8	b2140//
go_0002949_8	b3282//b1807//b4168//b3064//
go_0003333_7	b2845//b3539//b3709//b1917//b0810//b3161//b3271//b2677//b4115//b1492//b0653//b3943//b3116//b0328//b4141//b3370//b0861//
go_0005975_4	b0403//b1852//b1317//b3571//b1927//b3135//b2716//b3787//b2708//b0823//b4239//b2544//b3197//b3721//b3719//b0759//b3432//b0767//b2245//b2901//b3076//
go_0005976_5	b2047//
go_0005977_6	b3416//
go_0005978_7	b0688//b3429//b3432//b3430//
go_0005980_7	b3431//b3417//b3428//
go_0005986_7	b4232//
go_0005990_7	b0344//b3076//
go_0005992_7	b1896//b1897//
go_0005993_7	b3519//b1197//b4239//
go_0005995_7	b4119//
go_0005998_7	b3564//
go_0006000_6	b4232//
go_0006001_7	b2168//b3924//
go_0006002_5	b3371//b4232//b3729//
go_0006006_6	b0688//b1852//b2927//b2544//b3879//gapC//b0767//b0756//
go_0006007_7	b1002//b3916//
go_0006011_5	b1236//
go_0006012_6	b0759//b3679//
go_0006013_6	b0732//
go_0006014_6	b2914//
go_0006015_7	b1207//b4094//
go_0006020_5	b2533//
go_0006044_7	b3880//
go_0006046_8	b3141//b3718//b0677//b0678//
go_0006047_5	b3371//b3729//
go_0006048_6	b3176//b3141//b3718//b3730//b3729//b0678//
go_0006053_8	b3223//
go_0006062_8	b2705//
go_0006071_6	b0599//b3926//b3945//
go_0006072_6	b4041//
go_0006082_4	b2842//b2774//
go_0006083_6	b2296//b2297//b2920//
go_0006086_8	b0115//
go_0006090_8	b0116//b0115//b0871//b1479//
go_0006094_7	b3925//b1702//b2925//b4232//b3403//b1479//b3403//b3919//b2930//b0755//
go_0006096_6	b3236//b1779//b1723//b2388//b3916//hexR//b2925//b2779//b4025//b2427//b1854//b2926//b2561//b4089//b0080//b1676//b3919//b0755//
go_0006097_5	b4016//b4015//b0118//b1276//b4014//
go_0006098_6	b2029//b1852//b2935//b0767//b2465//
