#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b2584//b4670//b0754//b0978//
AlaS-L-alanine	b3669//
AllS-allantoin	b4426//b3771//b4003//
AraC-L-arabinose	b1475//b4187//b2242//b1160//b1922//b3168//b0040//b4288//b3366//b3117//b3429//b2282//b1781//b2752//
ArcA-Phosphorylated	b0336//b0997//b2938//b1011//b1421//b3574//b4315//b2911//b1732//b1737//b1516//b2741//b4122//b1907//b0296//b4266//b3170//b3927//b3318//b4502//b4382//b2992//b0201//b3772//b4197//b2198//b1241//b0038//b1009//b3415//b2287//b3830//b4287//b2588//b0565//b1209//b4315//b2662//b0153//b3571//b2200//b4397//b0860//b2368//b2702//b1609//b2085//b2143//b1338//b2802//b4172//b4198//b3357//b4406//b0756//b3316//b0366//b0031//b4062//b3568//b4054//b0062//b2197//b2197//b2481//b0587//b1395//b2925//b4139//b4040//b3452//b0115//b1039//b2284//b2614//b0904//b2488//b2750//b2718//b3846//b4018//b0221//b1492//b3364//b2344//b3567//b2630//b0575//b1039//b4439//b1814//b0908//b3237//b4002//b1782//b4268//b2197//b3123//b4309//b3317//b3167//b0336//b1888//b0389//b2364//b0827//b1597//b2529//b3864//b1205//b0864//b0107//b2571//b2553//b2490//b3769//b2509//b3170//b3725//b4267//b2754//b1009//b0113//b1681//b1391//b2373//b1681//b0937//b1476//b0377//b4118//b0765//b2151//b2373//b2927//b3453//b1112//b3961//b0764//b2279//b0339//b3038//b3531//b2068//b1224//b0957//b2759//b1042//b2553//b1109//b0720//b3574//b1275//b1891//b2852//b0614//b2150//b0720//b3905//b2992//b3450//b2277//b1851//b0062//b3588//b2557//b0353//b0330//b2557//b3672//b3081//b0110//b3829//b3454//b3749//b4098//b1324//
ArgP-L-arginine	b0996//b4200//b1210//b2669//b1888//b4075//b3207//b2976//b0805//b4015//b0179//b4151//b2208//b4239//b4170//b1395//
ArgR-L-arginine	b0614//b0957//b3508//b4431//b3363//b2965//b2068//b0342//b1718//b2760//b2962//b3941//b2716//b0240//b4037//b3903//b2205//b3315//b2962//b3277//b1021//b4036//b3114//b4062//b0441//b1781//b3237//b3212//b1970//b2288//b1324//b3025//b1798//b0189//b4120//b1207//b4254//b3213//sroD//
AtoC-phosphorylated	b4006//b4032//b4133//b0181//
BaeR-Phosphorylated	b3453//b1612//b2284//b3726//b2965//b0724//b1002//b2631//
BirA-bio-5-AMP	b1810//b0192//b3404//b3364//b3135//
CRP-cAMP	b3319//b4123//b4125//b1617//b0978//b3574//b3781//b0344//b4018//b1012//b0461//b3320//b2721//b2535//b1587//b0945//b4013//b4008//b3124//b0388//b1189//b4313//b2818//b0221//b2759//b0841//b3071//b1160//b0161//b3212//b1530//b4139//b1589//b1970//b2713//b1745//b0348//b4354//b3265//b3093//b4007//b0341//b0197//b4120//b0202//b2415//b1886//b3070//b1397//b3845//b0207//b3037//b4138//b2143//b3237//b1921//b3912//b1379//b1007//b2203//b4010//b3772//b4315//b1263//b3567//b3781//b4033//b0366//b0781//b2729//b0622//b0623//b2106//b0241//b4167//b1301//b0111//b1921//b4068//b0461//b3231//b2723//b2239//b3424//b3330//b0812//b1597//b3759//b4092//b0389//b1102//b2588//b0202//b1920//b0812//b4133//b4174//b2373//b0678//b3845//b0675//b0684//b2800//b1892//b2942//b1298//b3127//b2675//b2486//b3688//b4015//b0038//b2374//b4167//b0566//b4268//b1900//b4367//b1037//b4567//b0675//b2583//b2149//b1900//b0166//b3404//b2417//b1262//b0116//b2528//b4441//b2146//b3428//b0860//b4067//b3132//b3118//b2076//b2709//b4100//b2288//b2666//b2630//b4070//b1272//b4160//b4293//b1136//b2211//b3223//b3272//b0615//b3431//b1683//b4016//b1394//b0062//b0904//b2149//b1781//b2913//b1024//b1389//b4393//b3854//b1798//b4288//b2597//b4009//b1023//b1622//b2421//b1321//b3603//b3579//b3230//b0343//b2243//b4399//b3367//b2286//b3469//b0383//b3319//b1886//b3940//b3751//b0972//b3750//b3113//b4153//b2707//b3096//b4468//b0341//b2366//b2508//b2312//b4319//b3769//b3409//b3077//b0571//b1540//b1062//b1021//b0819//b1043//b2146//b4238//b2341//b1012//b2707//b3359//b2365//b4376//b3405//b4152//b1016//b2370//b2675//b1884//b2507//b0907//b3583//b1429//b1387//b0874//b4174//b0345//b4123//b4000//b2500//b1671//b0970//b4381//b1016//b0972//b2728//b3671//b2171//b0765//b0904//b4173//b1421//b4266//b2964//b1851//b3261//b2415//b4033//b4441//b0240//b3161//b2707//b0312//b2092//b1881//b0908//b0463//b3426//b0198//efeU_2//b4670//b0108//b0720//b2584//b3460//b0515//b2997//b2500//b0064//b2224//b3611//b2009//b4416//b4030//b0976//b0197//b4153//b2469//b4198//b0619//b0566//b4014//b3669//b3971//b1782//b0619//b0156//b2152//b3167//b0826//b0202//b0314//b3115//b3432//b1040//b0460//b3077//b2937//b2208//b2221//b3311//b3700//b2913//b1737//b1715//b4003//b4167//b4063//b3580//b2660//b4317//b2661//b2718//b4068//b2063//b2093//b1298//b2206//b3395//b0313//b0726//b1335//b0596//b3864//b1002//b0182//b3959//b0035//b4101//b2805//b2724//b4175//b4159//b0841//b1243//b3214//b0864//b0367//b4316//b3477//b4293//b2719//b1670//b1039//b2572//b3752//b2957//b0177//b3095//b3940//b2997//b3530//b1015//b1222//b4073//b1613//b0335//b3423//b1671//b3453//b3851//b0383//b0037//b1296//b0033//b1243//b0726//b2706//b1111//b1388//b2486//b1714//b1615//b4382//b0240//b3236//b4014//b3125//b0061//b2029//b2096//b3169//b2151//b3071//b1243//b3604//b3123//b0515//b1221//b4417//b4101//b3161//b2374//b0190//b1716//b1024//b2750//b2509//b2660//b1009//b0111//b2151//b2531//b1535//b4111//b1817//b0365//b3477//b1011//b3610//b0979//b1113//b1129//b2799//b3579//b2990//b2660//b4193//b1245//b1102//b3124//b0776//b4070//b2492//b4288//b0862//b1589//b3231//b3324//b1512//b1887//b0590//b2280//b1922//b1859//b2342//b0721//b1883//b0959//b1746//b1716//b3081//b2987//b2063//b1621//b2723//b2606//b3845//b2286//b1706//b2718//b1747//b2979//b2661//b1264//b0777//b0575//b3725//b3260//b3416//b1500//b1548//b4076//b0367//b2074//b4151//b2993//b1244//b4170//b1547//b0805//b2755//b1387//b3725//b2840//b0296//b2573//b1535//b4399//b0346//b3533//b2152//b3806//b2498//b3721//b2705//b0973//b1761//b2557//b2600//b2957//b0573//b4067//b0399//b2296//b3912//b2296//b2092//b3223//b3903//b1112//b0152//b2077//b1590//b1207//b0682//b1392//b1704//b0805//b1546//b0758//b3334//b3423//b1246//b2905//b0861//b1907//b0776//b4035//b2721//b2709//b3076//
