# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ulaF//
aas_lplT	queF//
abgABT_ogt	mcrA//hinT//ansB//
abpAB	
accBC	waaG//ddlA//
aceBAK	patA//argG//aroA//
aceEF	yfcG//rhaA//torC//
ackA_pta	tdcE//ilvG_1//
acpP_fabF	entA//
acrAB	sad//gabD//
acrEF	menE//
acs_yjcH_actP	nrdD//fkpA//
ada_alkB	eno//dxs//
agaS_kbaY_agaBCDI	appA//
ahpCF	entE//
alaA_yfbR	pdxH//maeA//
alaWX	
allDCE	cysE//aspS//rbsD//
alsBACE	ghrA//frlD//
amiA_hemF	kbaZ//pgaC//
ampDE	thiD//
ansA_pncA	moaE//waaP//metB//
apaGH	speG//
appCBXA	yegS//ubiE//
araBAD	aceB//tatD//cysH//
araE_ygeA	sdaA//
araFGH	glpB//
argCBH	cheR//emtA//gpt//
argT_hisJQMP	lpoA//tsaD//
argX_hisR_leuT_proM	
arnBCADTEF	speG//cysD//srlD//ldhA//ppiC//
aroF_tyrA	prpE//tsaC//
aroKB_damX_dam_rpe_gph_trpS	bioH//allD//betA//uxaA//rph//rsmB//
aroL_yaiA_aroM	cdh//
arpB_1B_2	
arsRBC	ybhA//rihA//
artPIQM	gph//
ascFB	proA//ppsA//
asnC_mioC	
asnC_mioC_mnmG	deoC//
aspA_dcuA	yfdE//rlmD//
astCADBE	moaE//rutC//hisH//dapE//fumC//
atoDAEB	ilvH//rffH//arnB//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	ubiE//garR//eptC//cdd//rsmE//ybjG//
bamB_der	bioH//
basRS	
bcsABZC	roxA//sgbH//
bcsBZ	pgaD//cyoE//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	pykA//purT//
bfd_bfr	rlmH//
bglGFB	appA//rihC//
bglH_yieLK	
bioBFCD	ybiV//eno//mnmE//mazG//
brnQ_proY	pck//thiM//
btuB_murI	lpxC//ydiF//
btuCED	dgcT//serA//
cadBA	thiE//hemC//
caiCDE	epmC//ynjE//
caiTABCDE	paaG//speB//ftsI//rffM//accA//
carAB	bioF//
casABCDE12	nanA//
casDE12	ycjU//
cbpAM	
cbrBC	
ccmABCDEFGH	fadA//
cecR_ybhGFSR	
chaBC	
chbBCARFG	cysJ//mpl//aldA//
chiP_ybfN	nirB//
chpSB	sucB//
citCDEFXG	cobS//mpaA//maa//
clpPX	frdC//waaJ//nudJ//ubiD//
clpX_lon	dusA//rsmF//edd//
clsA_yciU	epmC//
cmk_rpsA	pheA//
cmoM_mukFEB	
cmtBA_yggPFDC	hemC//nagK//
coaE_zapD_yacG	gcl//
cobUST	xylB//lsrK//mrcA//
codBA	ybjI//glyQ//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	nudI//
csgBAC	
csgDEFG	tcdA//
csiD_lhgO_gabDTP	yigL//rutB//dxs//mepS//
cusCFBA	folX//
cusRS	
cvpA_purF_ubiX	sufS//pabB//
cydAB	aes//
cydDC	trmJ//
cydX_ybgE	dinB//
cynTS	yfbT//prmB//
cynTSX	yfcG//yihT//ilvI//
cyoABCDE	ruvB//talA//
cysDNC	citF//kduI//
cysJIH	mtn//glcD//insI-1//
cysPUWAM	epd//rnb//hyaB//
dadAX	thyA//glpD//
damX_dam_rpe_gph_trpS	cysJ//prmB//rhaB//hemA//
dam_rpe_gph_trpS	acpH//panE//torA//fsaB//
dapA_bamC	pabC//
dapE_ypfN	psuK//
dcm_vsr	caiA//
dcuB_fumB	sbcB//recG//
dcuSR	
dcyD_tcyLN	fadB//folK//
ddpXABCDF	agp//
def_fmt	recJ//rsmJ//
degQS	dnaE//dacC//
deoABD	asnA//chbG//bcsA//
deoBD	nemA//umuD//
deoCABD	talA//rlmH//dapE//puuD//
dgoRKADT	dapF//nadD//gabT//thiE//
dhaKLM	mcrC//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	prpD//purN//
dinJ_yafQ	glnS//
dksA_gluQ	hycB//
dmsABC	rfbB//
dnaAN_recF	ampC//
dnaK_tpke11_dnaJ	panD//
dnaN_recF	yccX//
dnaTC	
dnaTC_yjjA	
dosCP	pflB//yeiG//
dpiBA	
dppABCDF	puuC//
dsbC_recJ_prfB	ppx//waaY//
dsbD_yjdC	
dsdXA	argC//mtgA//
dusB_fis	ilvC//
dut_slmA	thiM//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	eutC//atoD//
efeOB	xdhB//
efeU_1U_2	
elbB_mtgA	dapB//
elfDCG_ycbUVF	
emrKY	yeaG//
entCEBAH	fadJ//phnI//pgl//xdhA//umuC//glpK//
envY_ompT	bcsB//
epd_pgk	rfbA//purN//
epd_pgk_fbaA	trmO//scpB//uvrB//
essD_rrrD_rzpD	bcsB//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	scpA//
eutHA	
eutNEJG	
eutSPQTDM	ghrB//
evgAS	
exbBD	
fabDG_acpP	xdhB//eptB//
fabG_acpP	fumA//
fabHDG	gntK//gatD//purK//
fabR_yijD	
fadBA	nirB//ppiA//
fadD_sroD	purM//
fadIJ	glf//nanK//
fdnGHI	
fdoGHI_fdhE	waaO//
fdrA_ylbEF_ybcF	upp//
fecABCDE	argS//nadA//
fecIR	
feoABC	ygaP//
fepA_entD	argS//allB//lpxK//
fepDGC	murD//
fes_ybdZ_entF_fepE	tsaB//murQ//ppa//
fetAB	
fhuACDB	umpH//kbaZ//
ficA_fic_pabA	rsgA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	caiB//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	kduD//serC//
folC_dedD	cysE//
