#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	spy//ilvX//
Ada-Methylated_pos	puuA//mutL//ubiX//gpsA//
AlaS-L-alanine_neg	sucC//
AllS-allantoin_pos	rhaS//abgA//malS//
AraC-L-arabinose_neg	hyfH//lhgO//aceA//rbsK//araF//ppiD//phoB//chbA//
AraC-L-arabinose_pos	mntH//fhuF//tehB//yqjA//ilvG_1//nmpC//phnI//glpQ//rrsC//fnr//
ArcA-Phosphorylated_neg	narL//melR//ykgM//sdhA//fepA//gltF//phoR//bcsZ//phnM//livF//malI//mhpR//uxuB//alaU//fimD//trpE//srlA//ssrS//acrD//citD//hdeD//tehA//hyfJ//nanA//rutC//uvrA//yeiP//metC//moaC//gapA//metH//aroL//tktB//yhcH//ssuA//truB//cueO//hcp//mhpE//artP//nuoM//yfdE//fixC//appX//yciW//rrfA//ilvD//fucU//glnB//phnJ//hmp//ynfG//preA//rplP//ulaA//tyrA//malT//casB//hcp//marA//araH//ulaA//galP//bcsZ//caiA//csgG//ygaC//moaC//lsrB//gntR//cheY//entD//mepH//grcA//rpsI//gspI//nuoM//ndh//ydiU//ftnA//waaH//rhaB//puuR//bglB//aspA//argT//araJ//soxR//spf//nrdE//sbcC//ccmF//cpxA//napA//nuoK//malX//narX//yeaD//ebgA//murP//glgA//gatA//phnM//ygiB//malX//gadB//xdhC//mhpD//ascB//araG//nuoF//ampE//nrfA//garP//rplP//cadB//fucA//livM//lsrC//lsrC//crp//fepD//appB//arcA//ileT//citE//ugpA//
ArcA-Phosphorylated_pos	ung//hybE//hofN//gutM//ubiA//acrB//yeiW//gspJ//argB//feoC//ackA//uhpT//fixA//mgrR//hupB//phnD//casB//fadA//rpsP//ompC//xapB//entE//phoU//purC//cysH//rhaR//sufD//nuoL//serA//znuB//yneM//rutF//fhuF//rrfB//slt//yneM//glcD//gntK//ascF//hycI//ydeM//mdtD//tdcF//hyfB//rrsD//gnd//casD//fnr//pgpC//yfiP//dcuR//rrfG//moaE//aldA//norV//ygaC//mepH//pstA//
ArgP-L-arginine_neg	nrdB//
ArgP-L-arginine_pos	rrsB//ilvN//malF//iscU//creD//cueO//rrfE//ynfH//deoD//uxuB//hyfF//ilvC//dcuD//uxuA//csiE//
ArgR-L-arginine_neg	nuoC//yfbR//hycC//tsaE//nagE//lysA//mlc//rpmI//glgB//zraS//aroM//pck//treC//avtA//nanM//motA//tdcD//argI//trpA//aspC//artP//hybE//ilvL//araJ//cyoE//glgC//cysK//deoC//araC//cynX//rutE//paaF//moaA//hcr//
ArgR-L-arginine_pos	tnaB//tyrR//xseA//atoA//dnaN//
AtoC-phosphorylated_pos	feoC//serA//ugpQ//mhpD//
BaeR-Phosphorylated_pos	argP//yoaC//bioF//dcuR//amtB//sbcC//entF//mhpE//
BirA-bio-5'-AMP_neg	treR//yfbR//mtlD//yeaR//rpoE//
CRP-cAMP_neg	ycjX//xylG//pck//acrA//hycC//tcyJ//moaE//yneM//rrsG//ahpC//uxaA//csiE//cynR//glpF//amtB//uidA//nrfF//ybdZ//tdcA//rrlH//nfuA//focA//cspD//nanT//ssuD//hyaF//ccmD//ilvY//agaW//mdtC//hycI//malY//atoA//ompC//ldtC//fadI//rutE//aroL//metF//ubiA//alaU//purC//yecR//acrB//fimD//dppF//slt//yrbL//nfuA//dkgB//hypB//mhpB//sucC//sbmA//fucP//hemL//lrp//rplM//csgA//rplV//ynfE//ccmB//glmY//rdoA//nagB//purA//ompA//csgD//frc//idnT//lysO//nac//allD//thrV//gcvH//argA//hupB//borD//yaeQ//rutB//rplP//pheS//mlc//cpxR//alaU//tyrP//dpiA//malY//fixC//pta//yfeW//asr//nrdF//ynfF//ilvX//nanM//lacZ//gatB//argF//trpR//pyrD//mzrA//ynfH//mhpD//thrV//uhpC//rbsR//nikR//fucP//csiE//rrfA//nuoL//xseA//aaeR//fixB//hflK//aroL//fadB//agaW//ilvG_1//xseA//mhpR//cysW//cueO//rrsB//gatY//prpR//fixC//rpsQ//yqjI//metJ//trpR//yfiP//
CRP-cAMP_pos	infB//serA//mhpE//fldA//phoA//csgA//lpxD//fucA//cheB//feoC//metQ//aaeX//fdnI//aceB//ydeJ//torD//ssuC//csgA//mgtL//dsbA//lldD//lsrD//cstA//ugpE//nrdF//nusA//tsaE//ssrS//pstA//lpxD//feoB//bcsZ//actP//allC//nrfA//sucB//ldtC//uidB//fucA//prpE//cadA//gltV//rbsD//ychO//ccmA//rrfH//zraS//phnO//purR//cysN//ansB//citD//rrsH//yhfA//gspH//araC//rrfB//betA//rrfG//ykgM//lpxB//csiD//iraM//torR//cysB//cusC//fis//hyaF//fecA//dppC//fimI//cheB//trpB//pgaC//sucD//cas2//bioB//mlc//fnr//livK//rplP//appY//mzrA//gapA//amiB//purL//hyaD//astA//csgE//cueO//ilvD//mhpB//purR//stpA//fecC//betT//idnO//argF//lysC//codA//micF//cusC//oppF//purA//nikC//dadA//uxuA//tsaE//ftnB//kbl//grxD//hcp//ftnA//malP//rutE//ykgO//nuoL//ccmG//manA//leuE//ccmE//cysA//ynfF//bamA//slt//chbF//allC//ybiT//uhpB//ilvB//phnP//lrp//artI//focA//appB//prpR//glnL//pstS//lysU//nuoH//fis//rrlE//uxuB//tdcC//nanT//grxD//epd//ydfN//glpT//ulaD//lysO//recF//hyfI//cysP//rutD//nagC//lrp//cynT//nuoN//paaA//uidB//gadB//hypB//nagE//serA//glpC//prpD//dmsD//metY//mhpB//hmp//aldA//ydhV//rcnA//ccmF//araG//ycjF//rseA//glpE//ackA//astE//ebgA//chbR//uxuR//gspI//nuoI//metE//ssuC//gadB//nirC//yqjH//cysA//yqjI//tdcF//feoB//hyaF//cpdB//lamB//cheR//hycD//cynT//araF//hybA//puuE//ccmH//aldB//dmsB//tauD//rcnA//fhuF//yibN//bglG//melA//glcF//rpsO//yhjA//cas2//csiD//hemL//soxS//citE//rutC//argH//stpA//qseB//ydeO//sufE//moaD//hycG//metE//tfaQ//fadJ//tsaE//xseA//arfB//purN//tdcA//fliZ//glnL//nikD//ilvN//baeR//bioF//lolB//oppB//rbsR//ebgA//paaF//rrfF//avtA//yeiP//raiA//ompC//arcZ//rpsO//aroA//glcF//cynX//pyrD//pyrD//phnP//fliA//fepG//aer//lsrG//cheZ//paaC//sucA//tehA//bioA//rrfB//mtlR//ompW//araE//fecR//sucC//nrdG//csgF//mhpD//csiE//cysJ//yegR//aroM//astD//atoA//lpd//ssb//abgA//yaiW//garL//argT//cysB//lpxA//mntP//fumC//oxc//phnE_2//hisJ//moaA//fes//metK//hcr//treB//nrfA//tar//pagP//betT//fimC//nanM//hupA//argE//puuB//soxS//ompA//appB//argD//tsaE//mdtB//tdcG//ccmF//citC//amn//xylH//fdhF//hupA//fdhF//rplP//gntX//exbD//garP//rprA//grcA//narJ//uof//nuoI//xapB//napB//hemL//yhjC//actP//nuoI//yedX//aspA//avtA//purC//acnA//ugpQ//moaE//rrlE//hyaB//entE//trg//cirA//atoA//rhaD//bcsZ//rplI//ldtC//marB//ptsI//folE//pgaA//nanT//moaD//yfbR//tauC//ptsH//map//nanK//mdtB//hflD//ilvD//hha//citD//metY//paaI//fhuD//tadA//ilvY//aceB//casC//bioC//rbsC//argF//rpsQ//aroG//pagP//garP//dgcZ//hflX//sxy//gspI//pdeF//grcA//gntP//trxA//phoP//kbl//nupG//frc//yggX//sufA//acrF//ilvG_1//yhfA//narX//purC//garP//malQ//rrfF//crp//yccA//yegH//casD//fimD//phoP//znuB//uidB//putP//gltB//pflB//glgA//acrA//fucO//paaD//mhpF//polA//livM//rcnA//
ChbR-Monoacetylchitobiose-6P_neg	argE//paaF//rbsD//znuC//glcE//malZ//
ChbR-Monoacetylchitobiose-6P_pos	hybC//mdtB//tehA//nrdD//ykgM//gatB//
CpxR-Phosphorylated_neg	yjeF//glyA//iclR//yqaE//exuT//cysD//livH//yhhY//soxR//phnE_1//eda//lysO//glpR//yqjH//metE//cadA//srlD//dppA//nrfF//purR//yccA//ycdZ//xseA//cusF//
CpxR-Phosphorylated_pos	livK//aspA//ygiC//ccmA//nikC//artP//proP//evgS//torA//fhuE//bcsC//ebgC//ugpE//nrdA//uhpA//ispE//skp//metR//feoA//ilvB//phoE//purL//gspJ//hycG//idnK//ydbD//artQ//nikR//amtB//asr//dapB//trpC//ilvN//acnB//nirB//rrlA//rplI//nrfD//sufA//agaA//hflX//sdhA//rrfD//malY//glpF//
CreB-Phosphorylated_neg	aspA//nrfE//ybiT//
CreB-Phosphorylated_pos	rhaB//allD//phnO//ccmF//tehA//gntP//
CueR-Ag_neg	sdhB//aceF//nrfB//ydeP//hyfC//
CueR-Ag_pos	puuR//asr//
CueR-Cu+_neg	ilvI//pstC//aspC//nupC//speB//
CueR-Cu+_pos	grpE//iscA//
CuerR-Au_neg	cspD//fis//xdhC//gspI//comR//
CuerR-Au_pos	hslJ//prpB//
