#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	hyfR//ydhW//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	ahpF//fadH//sodA//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	icd//cspD//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	cspI//fucO//
AcrR_FNR_Fur_SoxR	ydhV//
AcrR_FNR_Fur_SoxR_SoxS	hycF//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	gatD//
Ada_AidB_Lrp	ilvD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	uvrA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	waaZ//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	ybdN//rrsC//fabA//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	puuB//lsrD//
AdiY_H-NS_IHF	hokD//
AgaR_CRP	glnL//narK//fucO//dmsC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	aroP//yciF//purA//fixC//hypE//appX//
AppY_ArcA_YdeO	sdhC//srlA//glyA//rpsS//
AraC_CRP	nuoI//uxaB//hycF//qseC//ptsI//asnC//betA//fadA//feaB//
AraC_CRP_XylR	ftsI//lsrB//malK//
AraC_NagC	proX//sufS//
ArcA_BetI_Cra	phoQ//acs//glpX//alaU//
ArcA_CRP_CaiF_FNR_H-NS	mnmG//yjjQ//fucI//tdcA//gspF//ahpF//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	zinT//ygeA//fliF//murG//cusS//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	yhiD//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	hcp//
ArcA_CRP_Cra_FNR_NsrR_PdhR	murP//ydeM//
ArcA_CRP_Cra_Fis	gntX//
ArcA_CRP_Cra_IHF_IclR	paaB//gadF//paaF//
ArcA_CRP_DcuR	hybD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	ileU//rrlB//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	metQ//
ArcA_CRP_DnaA_FNR	metI//
ArcA_CRP_DpiA_FNR_NarL	nuoB//cyoB//prpE//nirD//puuB//hipA//
ArcA_CRP_DpiA_FlhDC	hisQ//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	malS//pstS//
ArcA_CRP_FNR	nanA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	entC//iclR//acrZ//
ArcA_CRP_FNR_Fis_Fur_PdhR	ompR//
ArcA_CRP_FNR_Fis_IHF_NarL	dnaA//
ArcA_CRP_FNR_Fur	narG//fur//idnD//flgN//
ArcA_CRP_FNR_Fur_IHF	mazG//tauC//idnD//glmY//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	feoC//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	dadA//
ArcA_CRP_FNR_IHF_NarL	fixX//
ArcA_CRP_FNR_NarL	ftsQ//
ArcA_CRP_FadR	purR//malF//
ArcA_CRP_FadR_HipB	betB//
ArcA_CRP_FadR_OmpR_PhoP	yhjA//
ArcA_CRP_Fis_Mlc_SoxS	paaA//
ArcA_CRP_Fis_XylR	hypF//
ArcA_CRP_Fur_GadX_MqsA	rhaR//
ArcA_CRP_GatR	flgM//gspL//rrfD//paaC//nemA//entF//
ArcA_CRP_GlpR	hybA//
ArcA_CRP_IHF	hipA//
ArcA_CRP_PuuR	csgC//chbR//mazG//fliI//mazF//
ArcA_CRP_RhaS	atoB//
ArcA_CRP_TreR	cyoE//ptsG//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	lsrG//fimB//
ArcA_Cra	lacY//
ArcA_Cra_FNR_H-NS_HypT	glnA//acs//
ArcA_CysB_FNR	gutQ//
ArcA_FNR	rimP//mdtB//accC//evgS//sufB//hypB//ileT//ihfA//csgC//yeiL//nuoI//gloA//garK//nikB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	rpoH//
ArcA_FNR_Fis_IHF_NarL	gapA//tnaB//stpA//paaJ//bolA//ccmC//mhpC//argP//gltT//malG//tnaB//puuC//ssb//
ArcA_FNR_Fur_IHF	ssuB//
ArcA_FNR_IHF	entF//pspE//lpxD//
ArcA_FNR_IHF_NarL	mdh//mtlD//
ArcA_FNR_NarL	hybF//sroD//appC//trg//
ArcA_FNR_PhoP	aceA//
ArcA_FNR_PuuR	aceB//yiaM//
ArcA_FadR	yjcH//caiT//argD//
ArcA_FadR_Fis	accB//puuC//
ArcA_Fur_Lrp_ModE	frdC//nuoN//moaE//dmsA//yjbH//
ArcA_GlcC_IHF_PdhR	fpr//dinJ//csgC//ftsL//malM//hyfD//
ArcA_LexA	rpsI//rplD//
ArcA_LldR	metE//sgbU//lldD//
ArcA_NarL	metR//gadC//cydC//nikD//flgM//paaF//bglJ//garK//
ArcA_NtrC_PhoP_RutR	chbB//csgC//hyfI//grcA//ilvM//ubiA//xylH//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	fis//proX//hyfD//
ArgP_CRP_FNR_Fur_Nac	soxR//
ArgP_DnaA	ptsG//gdhA//fdnH//
ArgP_Lrp	ccmF//garL//
ArgP_LysR	yedX//
ArgP_PhoB	gspL//
ArgR_CRP	alaT//
ArgR_CRP_Fis	codA//cysP//zraS//glpX//gltU//rrsE//csgA//mglA//
ArgR_Fis_IHF_PepA_PurR_RutR	uidA//argO//
