#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	citT//fecB//potD//rstB//
GO_0000023_6	fimI//
GO_0000025_7	cstA//
GO_0000027_7	ycgV//hisB//tdcC//eutA//bluF//pgaB//waaS//pyrB//yifB//ygfA//ulaG//lpxT//rffT//
GO_0000028_7	btuB//cyoE//malE//ybdR//yfiF//dgcM//maa//dppF//pgpC//
GO_0000032_8	mocA//
GO_0000041_8	mdtE//pflB//cysE//kdpE//pppA//orn//trpE//alpA//emrY//dkgA//crp//metR//garP//menA//gutM//hofO//uhpB//rsfS//ampG//rbfA//rne//dgcE//torD//proV//rpsA//fixA//rplX//pstC//phnJ//frr//rimP//cusS//rlmJ//guaA//cpdB//adhE//fliA//mscK//ygeR//
GO_0000050_5	plsB//pgk//prlF//ytfR//rpsN//potI//fdhF//
GO_0000053_5	napB//
GO_0000096_5	mraY//hcaR//rhmD//maeA//yidZ//ibsE//eptC//iraD//yhjV//ybcJ//rpsG//rcsC//dcm//osmE//ldcC//yciA//rihA//citE//feaR//fadE//pdeK//
GO_0000097_6	kdsC//dam//nsrR//frdD//argA//emrY//secD//yphF//ispB//nikB//nuoN//trpS//mnaT//ilvH//
GO_0000098_6	mppA//acrZ//mobA//insB-4//appY//
GO_0000101_6	sbcC//hiuH//arnT//ldtA//fpr//murD//nimR//uhpA//srlB//rpiA//thiL//hofN//atpD//ecpR//lgoD//
GO_0000103_5	livM//ydcS//mfd//
GO_0000105_6	rplT//ispG//gpr//bsmA//cbrA//rutC//phoP//ymfA//
GO_0000154_7	glsA//srlD//fadM//kdgK//gntU//ftsE//kilR//secY//borD//yieK//yahF//insE-1//holA//ais//plaP//yeeY//hofM//speC//blc//malE//recG//csgD//ybaK//yedL//glcF//hycA//yqeF//ybjD//rihA//lgoR//ispF//chbF//
GO_0000160_5	lysO//nikB//lolD//xapR//treF//ygiN//dacD//ribE//mdaB//ldcC//aceK//agp//ybeY//mtlD//cmk//lgoT//phoP//pdxH//fadJ//kgtP//narP//dtpD//ygdG//yadK//citG//fliT//yihO//yfcU//mlaE//mlaE//bamA//osmY//era//cynT//dgoA//waaY//sad//cysZ//allB//norV//ilvI//wzc//lpxB//
GO_0000162_7	artJ//hicB//ymgA//nanK//hha//rmf//entB//ldhA//kdpC//
GO_0000255_5	garL//fliS//cmoM//lysU//bssR//
GO_0000256_6	rcsA//yghO//xylH//hlyE//adeQ//
GO_0000270_7	sbp//hsdR//mpaA//rplE//araE//cydB//rsmG//narG//pgpA//aroG//fklB//nfi//ybgI//paaX//mocA//yjbF//nrfG//tmk//bhsA//guaD//yhaV//narI//pldB//nikC//ompR//pyrL//feaB//ulaG//bisC//fecD//agaR//lpxB//rpiR//ssuC//yfjV//glpB//ansA//yehT//sixA//waaB//nusG//yfaE//hscC//yibH//yaiV//arcC//yggP//treF//asr//oppF//lgoD//malG//flgF//rsfS//ygcW//yphB//luxS//thiD//aroB//prpD//rplJ//pdxK//gltP//
GO_0000271_6	iscS//alsK//nagB//cusR//asnS//tatA//ung//abgA//purA//chiP//tdk//ppsA//crl//dicC//fixB//hipB//hfq//ydcP//mgrB//tdcB//yrdA//ybhI//dosP//gloB//ompW//yafS//uup//uhpB//metQ//cpoB//mutL//elbB//pgl//bcsA//fadM//garD//selD//ygiN//fimF//ulaB//tatB//yggD//nupC//hemE//yebQ//degS//galF//folD//nfo//wecE//
GO_0000272_6	argF//motA//ugpE//topAI//paaF//hokE//
GO_0000302_5	parE//yjaA//rsmF//glnQ//yfdC//mhpD//yfaL//glcE//ftsK//glnL//ycjP//mgrB//rutF//yggD//rfbB//ybhP//nrdH//yfiE//rfaF//yidQ//nrfG//ydjL//bglH//galP//hofC//ybeY//yjjU//recE//yfiR//speE//barA//
GO_0000303_6	nikB//tyrA//
GO_0000305_5	recF//ribB//elbB//
GO_0000372_11	dhaK//
GO_0000375_9	surA//
GO_0000376_10	rlmB//
GO_0000413_9	mrp//yfbS//sufS//sgbH//cecR//ydgA//tauB//uidC//
GO_0000451_7	qorA//aroL//yrfG//csgB//rpmH//
GO_0000453_8	hofC//skp//uxuB//hiuH//yafN//
GO_0000455_9	aroF//yebZ//gatY//idnD//ompA//purU//sgcX//
GO_0000462_11	rsuA//guaB//
GO_0000469_8	yciT//
GO_0000470_10	glnK//
GO_0000478_9	gdhA//
GO_0000715_6	pepD//
GO_0000716_7	entA//
GO_0000724_8	cysG//
GO_0000725_7	tolC//waaA//eutK//coaA//cysC//idnD//
GO_0000726_7	lsrB//
GO_0000731_7	fruK//yraK//mazG//rcdA//dnaJ//znuA//ydaC//
GO_0000737_7	yjtD//
GO_0000738_7	bluR//gatA//yiaO//
GO_0000746_4	frsA//
GO_0000820_7	parE//
GO_0000902_5	emrK//
GO_0000910_4	ralR//rpsN//hprS//hisF//glcC//yebK//agaR//ascG//wcaJ//lacY//msrB//fliS//ratA//yhgF//allC//xylE//ygeA//chaC//
GO_0000917_6	hchA//ydiK//ykgO//ydeO//flhA//
GO_0000918_6	sfmD//hcaC//upp//ariR//
GO_0000920_3	narJ//cysP//recQ//rsmI//gshB//
GO_0000921_6	deoR//
GO_0000966_8	flhD//ppx//ydhQ//insB-2//
GO_0000967_10	rpsI//gcd//mutH//
GO_0001101_4	fdoH//rlmM//zapE//artM//mdlA//hns//nimR//uvrY//cfa//srlR//msrA//yfgI//rpsM//rpsK//hcaC//uvrD//mog//pgrR//ybiJ//znuC//atpH//setA//sfsA//argS//pstS//udp//
GO_0001121_7	cobB//ltaE//
GO_0001123_8	ascB//
GO_0001124_8	cusB//
GO_0001407_7	hinT//yihS//xapR//bglX//
GO_0001505_4	malQ//sad//ruvA//ldrA//rpiA//waaJ//fimG//ubiF//kefF//agaA//ompA//bioD//rtcR//ybiJ//mtnN//idnO//
GO_0001510_5	insA-1//rtcB//ftp//bolA//ribA//fabZ//citG//deaD//pckA//galT//afuC//ppx//nadK//dhaL//prkB//ulaR//mprA//potE//wzzE//rfbX//bacA//pntB//tcdA//hyi//hmp//zitB//pinE//hokB//smpB//nagA//yqhC//yghG//dcp//truC//cspB//argD//yejF//srlD//yebG//yehP//
GO_0001514_8	xisE//
GO_0001522_7	kdpA//hybD//ynfK//ascF//dicC//dhaR//fecC//fruB//moaE//yadV//ampE//intF//yejE//
GO_0001539_4	hcaD//yfjV//tdh//recO//mdtM//mgtA//aroF//phoA//btuF//nimT//rplC//yjiX//narK//tldD//yfcA//hflD//frsA//caiF//secY//cycA//zraS//mdtO//yhcD//pgl//fmt//pflB//rclR//pyrG//aspC//fabH//rcnA//
GO_0001558_5	fepG//yraN//rhtC//ymgC//pheT//ytfE//yadG//guaD//
GO_0001561_6	ulaC//
GO_0001666_4	carA//
GO_0001676_6	sutR//fabH//cysU//
GO_0001680_11	potC//
GO_0001682_11	kbaY//
GO_0001731_7	csgF//
GO_0001762_6	yaiV//
GO_0001887_4	yfcR//aidB//seqA//
GO_0001896_5	yhgH//wcaC//pta//rhmD//
GO_0001907_5	satP//fhlA//hflD//hdeA//
GO_0001932_8	pcnB//yedL//
GO_0001934_9	rpmG//
GO_0002047_6	ahr//gpmA//
GO_0002097_8	rsfS//rlmL//ybjG//sdhD//yehX//garP//frdB//msrP//yjjB//yiiM//norV//trxA//sgbH//argB//rimK//cecR//katE//ptsN//zupT//
GO_0002098_9	yegT//nfuA//ygdG//hlyE//lgoD//phnG//rof//dnaE//ptsN//sgcE//araD//yhjC//frmA//
GO_0002099_9	yieF//mngA//
GO_0002100_9	sodB//
GO_0002101_9	yagF//mlaD//
GO_0002128_7	nsrR//cmtB//rfaD//folC//
GO_0002130_8	oppA//
GO_0002131_9	bdcA//
GO_0002132_9	yddL//
GO_0002136_10	yccS//
GO_0002143_9	aceF//ydhC//insI1//leuC//tatB//yfcA//
GO_0002181_7	dgcT//eutA//
GO_0002183_5	trpA//
GO_0002184_8	cyoE//
GO_0002188_6	pmbA//
GO_0002190_6	gstB//
GO_0002192_8	rpnA//
GO_0002252_3	yfcQ//cyaA//artM//yidH//rsgA//ydhQ//clpB//sodB//rpoS//birA//
GO_0002790_6	suhB//cof//ybjC//tynA//aroB//insI-2//rcnA//
GO_0002937_9	tus//
GO_0002938_8	cmtA//
GO_0002939_7	qorA//
GO_0002943_8	ybhS//
GO_0002949_8	yedX//folA//malX//lptE//
GO_0003333_7	fhuC//ygcO//ompR//oppD//ompT//trmL//rfe//malX//dtpD//gspJ//ppsA//arfB//rusA//entH//ddlB//betB//torY//hypB//mtfA//aaeB//xylF//nsrR//yjhG//dinG//fadJ//abpB//mzrA//ulaA//ygcW//nhaA//marA//recF//soxS//hybE//artM//fimF//ypdB//cvpA//waaA//dsdC//ulaD//dacD//sdiA//yegS//thiE//nagE//proS//tus//gcvP//
