#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	uxuA//ampD//
Ada-Methylated_pos	mscM//hmp//mtr//yeiB//
AlaS-L-alanine_neg	nfuA//
AllS-allantoin_pos	yhjA//fhuC//yebE//
AraC-L-arabinose_neg	yeiW//araC//hycH//gntR//citE//cheY//aspA//slyB//
AraC-L-arabinose_pos	nuoI//ndh//tehA//phoB//atoD//hybB//yfbR//hlyE//hflK//ccmC//
ArcA-Phosphorylated_neg	idnK//rutA//sbmA//nmpC//acrE//kbaZ//livM//csiE//pitA//rutD//gltU//gntR//gspF//nanS//gspM//cysK//rstB//aspA//nanK//tnaB//nrfG//artJ//hofN//yojI//gabT//argA//phnD//ydeO//sufD//pitA//bioA//oppB//ung//livM//mhpA//ihfA//mhpA//talA//betA//frdA//treB//nuoB//dpiB//yojI//fabZ//ahpF//hmp//sodB//napH//fbaA//narX//pgaC//gadB//ssuA//ompT//gspE//appY//nrdH//tauD//fau//ldtC//hofN//focB//dppC//hybG//rrfE//cyaA//cysU//hycF//lsrA//mtlD//argF//tnaA//rpoH//nagC//amtB//aspC//rbsA//bcsZ//mhpD//narJ//idnT//ansB//dcuS//entC//rrlG//speC//modC//actP//tfaQ//garR//trpA//metH//nuoE//gcvT//garK//fliA//rrfA//allD//caiA//uhpA//phnM//metE//gntX//speA//lrp//miaA//cysC//nuoC//ydhT//cydB//hisJ//cadC//rpmI//fdnH//creD//hybE//gatB//malG//mntH//ysgA//paaD//ssuE//mtr//ykgM//ahpF//creD//
ArcA-Phosphorylated_pos	nrfA//flhD//gspJ//aer//cytR//rplT//exbD//mntS//icd//glcC//citD//treR//fis//csgA//ulaD//sufC//phnN//prmC//phoP//hybF//nikE//rseA//lamB//cra//glpK//kbl//amn//garR//ada//phnG//tfaQ//cyoA//cysU//sodB//nrfD//aceB//fis//dmsA//glyA//lamB//metJ//ada//nrfA//ydeO//ihfA//cheA//aer//ung//osmC//mscM//sufD//tcyJ//paaE//evgA//ssuE//tehA//upp//livH//
ArgP-L-arginine_neg	feoC//
ArgP-L-arginine_pos	napG//dmsC//fhuC//lolB//hypD//mntP//hypC//glmY//dgcZ//fhuB//cyoA//yfeW//entH//ilvI//galT//
ArgR-L-arginine_neg	fadH//puuR//psiE//entD//caiA//nagA//talA//fadJ//lsrG//spf//gdhA//thrS//bioD//fdnH//gspG//deoB//hflC//slt//ydeO//gabP//ugpQ//sdhB//fau//ybdZ//nuoC//dcuR//caiC//ilvB//erpA//thrS//sdhB//cysM//purR//nuoB//
ArgR-L-arginine_pos	tomB//frdD//yfdE//uraA//pgaD//
AtoC-phosphorylated_pos	rcnA//rplT//prpD//tdcG//
BaeR-Phosphorylated_pos	rutG//astE//glgC//glpG//ccmD//gntR//fucU//xdhC//
BirA-bio-5'-AMP_neg	glpE//moeA//ulaA//fucA//yeiL//
CRP-cAMP_neg	lpxD//cadB//hybB//purA//hflD//nac//bcsB//nuoF//csiD//ubiC//araF//artJ//phnJ//mhpC//nrfE//lacI//fepA//pgaA//stpA//ompT//fimH//hdeA//appC//rcnB//frdA//ygiB//phnK//mgrR//purN//caiF//ldtC//dsdX//crp//epd//lpxB//cysG//rrsA//agp//crl//glgA//ulaD//slyB//fadI//hyfD//cusC//cynX//yeiL//rimM//astA//ppdD//malG//tnaB//lsrB//gcvH//tolC//mgtA//rrlD//fecD//caiB//nanK//ompC//xylF//ygiA//cheR//bioA//feoC//atoD//iraM//mhpE//gdhA//cydD//nuoM//ccmD//gspM//mgrB//rpsO//argE//entS//lacZ//phoQ//rseC//tdcC//citF//nupG//metR//fepG//ynfH//mhpB//codA//livH//yjeF//cpxR//metA//hybB//ynfH//tomB//nfuA//gltU//trpD//narG//map//entA//grxD//polA//rrsC//nupC//dnaA//stpA//mhpC//glpE//fliZ//ubiG//yjcH//phnD//zraS//pgaD//trpE//ada//livM//ilvB//ptsH//fadE//argB//yaeQ//phoQ//chbB//iscU//grxD//yegR//malG//trpL//fur//rrfB//
