# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	murF//
go_0000025_7	yahK//
go_0000027_7	garD//lpxC//phnI//umpG//
go_0000028_7	serC//
go_0000032_8	putA//
go_0000041_8	speD//
go_0000050_5	thiM//yigL//fbaA//menB//tadA//
go_0000053_5	glgB//
go_0000096_5	gstA//
go_0000101_6	trmH//
go_0000103_5	gpp//codA//
go_0000105_6	selD//yihV//moeB//rrrD//nrdF//ispA//nadK//
go_0000160_5	guaA//
go_0000162_7	ilvI//lpoB//pck//dgcM//acnB//bioB//prpC//murI//rnpA//
go_0000270_7	ychF//appA//fabH//eptA//rfaE//lacZ//ychF//panE//adeD//yajO//
go_0000271_6	eptA//
go_0000302_5	glgX//
go_0000303_6	argG//panE//
go_0000305_5	
go_0000372_11	
go_0000413_9	yfeW//dxr//nrdF//fabA//rlmG//entD//rbsD//
go_0000453_8	lipB//ftnA//waaB//frlC//
go_0000455_9	rhaA//dbpA//udk//gmd//cysH//murG//thiC//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	allD//
go_0000726_7	mnmA//
go_0000731_7	btuE//hcaD//
go_0000737_7	
go_0000738_7	phnO//fumC//
go_0000746_4	
go_0000820_7	srlD//
go_0000902_5	
go_0000910_4	rsmC//scpB//galM//
go_0000917_6	
go_0000918_6	
go_0000920_3	ribE//
go_0000921_6	
go_0000967_10	nrdA//
go_0001101_4	ung//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	pabA//
go_0001510_5	truC//tilS//
go_0001514_8	pldB//
go_0001522_7	pyrB//fadJ//gloA//pdeH//
go_0001558_5	
go_0001561_6	pdxK//
go_0001676_6	nrfA//
go_0001680_11	ansB//
go_0001682_11	preA//acnA//
go_0001731_7	
go_0001762_6	moeA//
go_0001887_4	selB//pykF//
go_0001896_5	yggF//
go_0002047_6	dinB//cheB//
go_0002097_8	lpxD//
go_0002098_9	aroL//mltC//leuS//treF//
go_0002099_9	panD//moaD//
go_0002100_9	fabB//
go_0002101_9	guaC//
go_0002128_7	murD//
go_0002131_9	ilvB//
go_0002132_9	nrdF//
go_0002136_10	dgt//
go_0002143_9	wcaJ//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	yfeW//
go_0002938_8	ltaE//
go_0002939_7	tktA//
go_0002943_8	yigB//
go_0002949_8	rlmI//miaB//tyrA//
go_0003333_7	uvrA//entH//astB//dcyD//preA//trmL//betA//fabZ//gcd//ung//orn//kdsB//ldtC//
go_0005975_4	wecB//pgaD//avtA//ilvD//yihX//sucA//patA//tyrB//murG//mnaT//argS//ymdB//frc//folA//nanK//fucA//
go_0005976_5	amyA//
go_0005977_6	speE//
go_0005978_7	hemG//nudC//gmd//tktB//
go_0005980_7	ppiA//waaP//folX//
go_0005986_7	katG//
go_0005990_7	mog//
go_0005992_7	gpsA//ydiB//
go_0005993_7	arsC//garL//pflB//
go_0005995_7	rffM//
go_0005998_7	yihV//
go_0006000_6	yrfG//
go_0006001_7	tmcA//uvrB//
go_0006002_5	rutD//gldA//hcaE//
go_0006006_6	trmD//speF//kdsD//yfeW//proB//
go_0006007_7	pyrC//yfeX//
go_0006011_5	pta//
go_0006012_6	fklB//
go_0006013_6	fucI//
go_0006014_6	ulaE//
go_0006015_7	nth//ftnA//
go_0006020_5	epmA//
go_0006044_7	pdeF//
go_0006046_8	menH//lpcA//
go_0006047_5	pldB//yjhG//
go_0006048_6	rsmD//ldtE//bglX//pyrB//
go_0006053_8	menE//
go_0006062_8	dadA//
go_0006071_6	prmB//hisB//
go_0006072_6	mug//
go_0006082_4	ubiD//
go_0006083_6	aspA//dgoD//nanA//
go_0006086_8	fadI//umuD//
go_0006090_8	yihT//upp//carA//adiA//rbsD//recR//rihB//
go_0006094_7	hisS//rffC//maa//rihB//gloB//moeA//ribE//entB//nadA//
go_0006096_6	pck//cpsB//rfaD//mcrA//tcdA//napB//murC//ndh//dgcM//napB//ssuD//frdC//pgaB//
go_0006097_5	moaA//maa//sbcB//hdhA//phnM//
go_0006098_6	acnB//dhaL//menE//ampH//ydfG//
go_0006099_4	rbsD//dcyD//pykF//arnB//dbpA//ulaD//accD//aroH//hemD//ddlA//selB//nrfD//sucB//
go_0006103_5	mhpC//murA//yciV//rlmG//
go_0006104_6	pdeH//
go_0006105_5	araA//
go_0006106_8	dgt//
go_0006107_8	
go_0006108_8	rhaA//dapF//ydfG//hmp//
go_0006113_5	pyrH//torC//
go_0006115_6	waaJ//
go_0006124_6	
go_0006144_6	
go_0006145_7	mocA//
go_0006146_8	cyoE//
go_0006148_9	fabZ//
go_0006149_9	glmS//
go_0006150_9	ppiC//
go_0006152_7	gshA//mhpD//oxc//sdaA//pyrD//
go_0006154_6	ribE//
go_0006161_9	nirB//
go_0006163_6	prmB//
go_0006164_7	idnK//purD//metE//ulaE//
go_0006166_6	mmuM//
go_0006168_7	gltX//yfeW//
go_0006171_9	
go_0006172_9	rpiB//
go_0006177_9	folA//
go_0006178_7	menE//
go_0006183_9	fcl//
go_0006189_10	prmC//abgA//
go_0006203_8	rsmI//pgpC//
go_0006206_6	dhaK//mutS//entA//
go_0006207_8	speE//nirB//preA//rlmC//cheB//
go_0006208_7	eutD//pheA//napC//xapA//glcB//murG//
go_0006209_6	gpmM//
go_0006210_8	hcp//
go_0006212_6	tesB//mnmA//uvrA//feaB//rutE//truB//torA//dgoA//metB//hisA//
go_0006217_9	nrfC//
go_0006218_9	glgA//
go_0006220_6	leuB//
go_0006221_7	luxS//mocA//caiD//
go_0006222_9	
go_0006225_9	rfbB//
go_0006226_9	cysN//recF//
go_0006227_9	nrdE//
go_0006231_9	mug//
go_0006233_9	hcaB//
go_0006235_9	aroK//
go_0006241_9	dhaM//
go_0006259_5	pagP//sdaA//paaZ//
go_0006260_6	pdxB//phnH//surA//uxuB//glpD//ruvB//alsE//
go_0006261_7	lsrG//asnS//frdA//
go_0006265_6	glgB//cueO//
go_0006266_6	rsmE//opgB//putA//
go_0006267_5	
go_0006268_9	pgk//recF//
go_0006269_6	mobA//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	fkpB//scpB//
go_0006281_6	fumA//ldtD//purD//plsB//mrdA//gpsA//hcaC//aldB//panD//trmH//argF//ravA//deoB//mltF//mltA//waaJ//cdsA//
go_0006283_8	
go_0006284_7	dmsA//murE//dgoD//fadK//alaC//dam//
go_0006285_6	thrC//apt//kdsB//ldcC//
go_0006288_8	lpxL//nfi//
go_0006289_7	
go_0006298_7	thiD//fadE//ampD//murD//
go_0006301_7	
go_0006302_7	gluQ//cynS//
go_0006307_8	eptA//thyA//bioH//ada//folM//
go_0006308_6	ldcC//ugd//upp//rsgA//
go_0006310_6	menC//speA//mpaA//waaL//fbaA//
go_0006313_4	ispU//
go_0006351_6	cmoB//araA//
go_0006352_7	
go_0006353_7	
go_0006354_7	ahr//
go_0006355_7	xylB//
go_0006357_8	
go_0006364_9	cobS//araA//ynfF//xylA//
go_0006378_8	yieF//
go_0006396_7	alaS//gloC//yccX//ispH//trpE//
go_0006397_8	def//
go_0006399_8	deoC//idi//
go_0006400_7	cysS//hpt//glpA//yqaB//ulaF//
