# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	manA//
aas_lplT	ychF//
abgABT_ogt	fucO//ybjI//lacZ//
abpAB	
accBC	astC//sodB//
aceBAK	ruvC//folD//fabB//
aceEF	ispB//adeD//pgpB//
ackA_pta	pdxA//rlmD//
acpP_fabF	yfaU//
acrAB	pfkB//nrfA//
acrEF	fkpA//
acs_yjcH_actP	tag//yiaK//
ada_alkB	nudJ//aslA//
agaS_kbaY_agaBCDI	yicI//
ahpCF	folD//
alaA_yfbR	entE//pykF//
alaWX	
allDCE	deoB//kdsD//trmL//
alsBACE	glcB//glk//
amiA_hemF	narI//nfsB//
ampDE	cynS//
ansA_pncA	trpD//ycjG//gntK//
apaGH	tmcA//
appCBXA	patA//yjeF//
araBAD	argG//deoD//aroB//
araE_ygeA	ssuD//
araFGH	garR//
argCBH	ulaG//slyD//ybdL//
argT_hisJQMP	pgk//hcaB//
argX_hisR_leuT_proM	
arnBCADTEF	mltA//kduI//gabT//talB//torA//
aroF_tyrA	glnE//nagK//
aroKB_damX_dam_rpe_gph_trpS	nfsA//mutY//udk//cyoE//kdgK//glpA//
aroL_yaiA_aroM	tdcE//
arpB_1B_2	
arsRBC	pheS//mog//
artPIQM	purC//
ascFB	galE//dosC//
asnC_mioC	
asnC_mioC_mnmG	ycjU//
aspA_dcuA	yigB//pdeH//
astCADBE	pgk//pyrF//ybjG//alr//tilS//
atoDAEB	phnP//fucA//fumA//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	rsmH//ycjG//rdoA//nudB//wcaJ//speA//
bamB_der	ydbC//
basRS	
bcsABZC	hemC//thiK//
bcsBZ	sufS//pck//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	mazG//xdhB//
bfd_bfr	nadD//
bglGFB	tdh//dkgB//
bglH_yieLK	
bioBFCD	hycB//bioC//fklB//ampH//
brnQ_proY	mqo//ynfH//
btuB_murI	deoA//thrS//
btuCED	glxK//pinE//
cadBA	nfsB//ybdL//
caiCDE	rhaA//waaP//
caiTABCDE	ycjG//sbcB//ubiI//phnH//pdeL//
carAB	pepD//
casABCDE12	ahr//
casDE12	dusB//
cbpAM	
cbrBC	
ccmABCDEFGH	apaH//
cecR_ybhGFSR	
chaBC	
chbBCARFG	allA//murD//proA//
chiP_ybfN	phnI//
chpSB	hemA//
citCDEFXG	ribC//menE//ruvA//
clpPX	moeA//hemH//yceF//metL//
clpX_lon	fucI//maeA//efeB//
clsA_yciU	bioF//
cmk_rpsA	pinE//
cmoM_mukFEB	
cmtBA_yggPFDC	sdhA//entD//
coaE_zapD_yacG	gldA//
cobUST	eptB//sucC//aslA//
codBA	yfcF//aceF//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	tsaC//
csgBAC	
csgDEFG	yjhG//
csiD_lhgO_gabDTP	napG//yiaK//ynfH//suhB//
cusCFBA	cysS//
cusRS	
cvpA_purF_ubiX	nrfD//xdhA//
cydAB	aphA//
cydDC	fdhF//
cydX_ybgE	sucA//
cynTS	pldA//metL//
cynTSX	rrrD//bglA//yliI//
cyoABCDE	asnA//ahpC//
cysDNC	waaA//thrB//
cysJIH	ttdA//yjeF//tynA//
cysPUWAM	rluC//apt//gpmA//
dadAX	ispU//glpX//
damX_dam_rpe_gph_trpS	lpoB//hisC//glpC//fbp//
dam_rpe_gph_trpS	eutB//aphA//tgt//glpK//
dapA_bamC	tgt//
dapE_ypfN	kduD//
dcm_vsr	def//
dcuB_fumB	ynfH//nudE//
dcuSR	
dcyD_tcyLN	tesA//poxB//
ddpXABCDF	dacC//
def_fmt	lpxA//aes//
degQS	nudF//murG//
deoABD	menA//mdh//pncC//
deoBD	nadA//waaO//
deoCABD	murA//bcsZ//gss//hyi//
dgoRKADT	dnaE//ahpF//dhaK//dnaE//
dhaKLM	truA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	argA//trmO//
dinJ_yafQ	ydiF//
dksA_gluQ	purB//
dmsABC	chbG//
dnaAN_recF	glpA//
dnaK_tpke11_dnaJ	thiD//
dnaN_recF	cysC//
dnaTC	
dnaTC_yjjA	
dosCP	metC//glpQ//
dpiBA	
dppABCDF	xdhB//
dsbC_recJ_prfB	ispH//dapE//
dsbD_yjdC	
dsdXA	rimK//uxuA//
dusB_fis	dcd//
dut_slmA	yjiA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	eno//yqhD//
efeOB	etk//
efeU_1U_2	
elbB_mtgA	maeB//
elfDCG_ycbUVF	
emrKY	fabB//
entCEBAH	allC//tsaB//moaA//mnmG//hyi//cysN//
envY_ompT	alaS//
epd_pgk	tsaB//tdcD//
epd_pgk_fbaA	idi//fumA//yghA//
essD_rrrD_rzpD	rluB//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	coaE//
eutHA	
eutNEJG	
eutSPQTDM	epmA//
evgAS	
exbBD	
fabDG_acpP	gatD//nrdB//
fabG_acpP	pabA//
fabHDG	frdD//napH//rihA//
fabR_yijD	
fadBA	allC//yfcG//
fadD_sroD	lysC//
fadIJ	mpl//sucA//
fdnGHI	
fdoGHI_fdhE	murD//
fdrA_ylbEF_ybcF	paaH//
fecABCDE	astB//moaA//
fecIR	
feoABC	rlmM//
fepA_entD	rdgB//pncB//sseA//
fepDGC	caiC//
fes_ybdZ_entF_fepE	pgm//gmd//ddlA//
fetAB	
fhuACDB	dgt//fabA//
ficA_fic_pabA	rsmC//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	paaG//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	bfr//ascB//
folC_dedD	alkB//
folD_ybcJ	qor//
folE_yeiB	panC//
folP_glmM	nrfB//purB//
folX_yfcH	lhgO//
frdABCD	gltX//
frlABCDR	lsrG//dam//glgB//narY//
frmRAB	kdgK//metH//
fruBKA	thiG//guaA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	aceB//rdoA//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	serA//yeaE//etk//paaA//pfkB//cadA//atoD//frdB//slyD//fadM//
ftsQAZ	
ftsYEX	
fucAO	nrdB//fucU//
fucPIKUR	ycjU//lpxK//waaY//trmJ//
fumAC	aroF//talA//
fusA_tufA	
gabDTP	chbG//ybhA//hisB//
gadAX	sseA//
gadBC	waaH//metA//
gadEF	
gadEF_mdtEF	nrdF//
gadXW	
galET	glcF//ispD//
galETK	mepS//srlD//yeaE//
galETKM	purT//pncB//bfr//ldtC//
gapA_yeaD	wecB//
gapC_1C_2	
garPLRK_rnpB	cysK//serC//nudJ//feaB//fadI//waaB//
gatYZABCD	fucU//pykA//can//
gatZABCD	mdh//pgm//metE//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	aroD//fabB//waaG//pncB//hinT//
gcvTHP	agp//trmI//ybcF//
gfcBCD	
gfcE_etp_etk	acnB//hisS//
ghoST	kefF//
glcBA	ilvM//galK//
glcDEFGBA	yihT//speF//speF//
glf_wbbH	dgcP//
glgAP	acnB//cysG//
glgBXCAP	argD//rhaB//phnI//paaY//preT//
glgCAP	purT//insI-1//hycE//
glmUS	dapF//hemC//
glnALG	mutH//
glnHPQ	bglX//
glnK_amtB	bioA//
glnLG	
glnW_metU_glnVX	
glpABC	ndk//
glpEGR	queC//talA//
glpFKX	yajO//mltC//dacD//
glpGR	mcrA//
glpTQ	pgpC//ybhA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	fabI//
glvCBG_ysdC	
glyQS	thiG//
glyVXY	
glyW_cysT_leuZ	
gntKU	lpxD//tcdA//
gntRKU	waaJ//pepD//
gntX_nfuA	
gpmM_envC_yibQ	ppc//yiaY//
groSL	
gspAB	
gspCDEFGHIJKLMO	gph//
guaBA	glpQ//ydjG//
gudPXD	nadE//melA//
hcaEFCBD	otsA//lpxB//
hcp_hcr	eptC//lpxC//
hdeAB_yhiD	
hemA_prfA_prmC	ung//nanA//
hemCDXY	paaB//fsaA//
hflD_purB	phr//
hfq_hflXKC	argC//
hicAB	
higBA	napB//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	truB//leuC//malQ//tesA//
hipBA	selD//
hisBHAFI	dcd//idnD//paoA//insI-3//
hisJQMP	phr//tag//
hisLGDCBHAFI	mmuM//glyQ//yliI//glcD//uvrC//fabG//mmuM//
hofMNOP	
holC_valS	galT//
holD_rimI_yjjG	phnI//dld//
hscBA_fdx_iscX	cobU//
hsdMS	gcvP//
hsdRMS	puuC//
hslRO	
hslVU	gstA//
hyaABCDEF	
hybOABCDEFG	yghU//
hycABCDEFGHI	nanE//fucU//
hydN_hypF	glpB//
hyfABCDEFGHIJR_focB	eptB//
hypABCDE	hemH//
hypABCDE_fhlA	gmk//
hypBCDE	curA//
hypBCDE_fhlA	lpd//
iaaA_gsiABCD	ansA//asnA//
ibaG_murA	cynT//
ibpAB	
idnDOTR	pldB//murF//pnp//
ileS_lspA_fkpB_ispH	ppk//ychF//ldtD//fabH//
ilvEDA	astA//selB//rutB//yfdR//
ilvIH	hcaB//
ilvLXG_1G_2MEDA	alr//hmp//bioB//rpiB//rhaA//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	fadH//
insN_1I_1O_1	frlD//
insO_2_yjhWV	
iscRSUA	aspS//yohF//
ispDF	hycC//hisA//
ispG_sroE	pdeL//
isrC_flu	
ivbL_ilvBN	proC//
ivbL_ilvBN_uhpABC	caiB//
kbaZ_agaVWA	napA//
kbl_tdh	fucK//fcl//
kdpDE	
kdpFABC	plsB//
kdsC_lptCAB	yggF//gabT//
kefFC	idi//astE//
kefGB_yheV	citX//
kilR_ydaE	
lacYA	fadB//fumC//
lacZYA	atoD//mutM//ldtD//
lapAB	
lapAB_pyrF_yciH	yfbT//
lepAB	gmd//
leuLABCD	trmA//kdsC//ybaS//
leuQPV	
leuS_lptE_holA_nadD_cobC	glpX//ribC//ribF//
lexA_dinF	
lgt_thyA	acpH//yigL//
ligA_ypeB	epmC//
livKHMGF	yniC//narV//
lldPRD	ribB//rhaA//
lolA_rarA	
lolB_ispE_prs	ttdB//mngB//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	dgcZ//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	yihT//yohF//
lptFG	
