# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	glpC//nrdB//
Ada	purL//aceB//ulaE//sucB//
AdiY	pykF//pdeL//pck//gapA//
AgaR	dapD//
AidB	phoA//
AlaS-L-alanine	dinB//
AllR-allantoin	hcaF//poxB//xylB//murE//pyrC//glcF//
AllS-allantoin	ulaD//speA//fadH//
AlsR	fbaA//cysD//ulaF//
AppY	folE//sucD//
AraC	gnd//pykF//paaE//
AraC-arabinose	sgbE//rfe//alaS//gabT//purK//sdhB//carA//cysN//
ArgP	rnpB//fumC//glpQ//dgcN//mtlD//nrdF//katE//sgbE//
ArgP-arginine	folE//
ArgR-L-arginine	ddlB//nfsB//pfkA//argI//ychF//ftnA//cyoE//katG//mhpB//lyxK//paaI//phnP//mhpB//ung//cysJ//ulaD//sgbE//nirB//yeaE//atoB//araA//citD//frdB//
ArsR	argH//ynfG//
AscG	trpA//ilvH//
AsnC	cysK//betB//
AtoC-Phosphorylated	napB//ahpF//glmS//
BCCP	fes//
BaeR-Phosphorylated	relA//sucD//
BasR-Phosphorylated	hyi//pdeH//ilvH//
BetI	accC//ilvC//purM//
BirA-biotinyl-5-adenylate	nanA//metF//adhE//metH//ftnA//
BluR	
BolA	ldtD//folA//
BtsR-Phosphorylated	edd//
CadC	dadX//aroA//araA//
CaiF-L-carnitine	mpl//leuC//truB//purH//uxuB//
Cbl	paaC//guaA//recD//pgk//entC//
CdaR	cysJ//srkA//iscS//recD//dgcC//ttdA//sodA//ychF//kbaY//
CecR	gpmA//
ChbR	yeaG//xylA//gltD//
ChbR-N-monoacetylchitobiose-6-phosphate	gatZ//aroH//nirD//
ComR	
CpxR-Phosphorylated	aroF//moaE//dsdA//frdA//dadA//fadB//napH//sucC//gatD//dsdA//paaI//bglB//thrS//mpl//argA//argE//carB//dmsB//moaE//pflB//hycC//
