#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:14:41 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/rcomplex_bnum.txt
AccB_FadR	b3403//b1597//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	b3416//b2756//b1071//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b3416//b3326//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b1024//b4067//
AcrR_FNR_Fur_SoxR	b2215//
AcrR_FNR_Fur_SoxR_SoxS	b1563//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b3316//
Ada_AidB_Lrp	b0975//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b3751//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b0934//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b4153//b0432//b2487//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b3325//b4197//
AdiY_H-NS_IHF	b3365//
AgaR_CRP	b2208//b0880//b0179//b2710//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b1892//b3723//b3742//b3588//b3319//b2708//
AppY_ArcA_YdeO	b2964//b0428//b3266//b4015//
AraC_CRP	b0976//b4036//b4058//b0908//b1493//b2995//b0042//b2491//b4033//
AraC_CRP_XylR	b4007//b4138//b0396//
AraC_NagC	b1389//b3070//
ArcA_BetI_Cra	b3320//b0571//b1304//b1300//
ArcA_CRP_CaiF_FNR_H-NS	b0063//b1222//b1071//b2195//b1256//b0112//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	b3165//b4119//sroD//b3093//b4040//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	b1681//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	b1259//
ArcA_CRP_Cra_FNR_NsrR_PdhR	b3207//b0076//
ArcA_CRP_Cra_Fis	b2804//
ArcA_CRP_Cra_IHF_IclR	b0682//b4040//b0972//
ArcA_CRP_DcuR	b3580//
ArcA_CRP_DcuR_DpiA_FNR_NarL	b2660//b1396//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	b3081//
ArcA_CRP_DnaA_FNR	b1970//
ArcA_CRP_DpiA_FNR_NarL	b3255//b0084//b1951//b1987//b1712//b3477//
ArcA_CRP_DpiA_FlhDC	b0605//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	b4009//b2709//
ArcA_CRP_FNR	b0081//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	b2283//b3855//b1563//
ArcA_CRP_FNR_Fis_Fur_PdhR	b0973//
ArcA_CRP_FNR_Fis_IHF_NarL	b4000//
ArcA_CRP_FNR_Fur	b0198//b2662//b1036//b1385//
ArcA_CRP_FNR_Fur_IHF	b3165//b2677//b3329//b2234//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	b2803//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	b1225//
ArcA_CRP_FNR_IHF_NarL	b4267//
ArcA_CRP_FNR_NarL	b2673//
ArcA_CRP_FadR	b3404//b1512//
ArcA_CRP_FadR_HipB	b0411//
ArcA_CRP_FadR_OmpR_PhoP	b1246//
ArcA_CRP_Fis_Mlc_SoxS	b2837//
ArcA_CRP_Fis_XylR	b4076//
ArcA_CRP_Fur_GadX_MqsA	b3277//
