#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct 10 15:03:56 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/datasets_bnumbers/gos_bnum.txt
GO_0000018_7	b2819//b3404//b1307//b0191//
GO_0000023_6	b1111//
GO_0000025_7	b0270//
GO_0000027_7	b2149//msrP//b2257//b2670//b2429//b1826//b0040//b3116//b2631//b0134//b2903//b1634//b2731//
GO_0000028_7	b2224//b3949//b3414//b0118//b2336//b2132//b2199//b1165//b2458//
GO_0000032_8	b1274//
GO_0000041_8	b4235//b3408//b2282//b3554//b1300//b3664//b1812//b4042//b0841//b2913//b0424//b2183//b1785//b0014//b0724//b0225//b0915//b1615//b3882//b2542//b3879//b4351//b3028//b1822//bioD2//b4039//b4460//b2128//b3249//b4098//b3972//b0135//b0945//b1466//b3849//b3023//b4071//b4193//b0783//
GO_0000050_5	b1282//b1688//b2528//b1243//b2418//b3047//b0101//
GO_0000053_5	b1093//
GO_0000096_5	b2730//gpr//b2531//b3620//b3363//b3292//b1678//b0714//b0970//b2068//b1890//b4372//b2442//b0755//b0918//b3161//b2817//b3996//b0490//b1412//b4380//
GO_0000097_6	b2024//b2927//b2209//b4139//b1433//b1540//b0862//b2844//b3770//b2580//b4322//b1496//b2147//b3521//
GO_0000098_6	b1753//insI4//b2103//b1737//b0990//
GO_0000101_6	b3730//b0340//b0086//b2553//b1015//b1007//b1886//b4026//b2727//b0815//b3470//b3950//b4471//b1013//b4239//
GO_0000103_5	b2111//b1182//b1785//
GO_0000105_6	b4052//b1327//b1710//b0386//gapC//b3850//b1046//b0298//
GO_0000154_7	b3718//b0661//b3766//b1128//b2701//b3149//b4119//b3772//b2067//b3654//b3936//b4208//b0377//b1084//b3659//b4352//b3688//b1925//b4090//b3316//b2698//b2258//b3981//b2197//b1314//b1343//b0970//b0729//b0831//b3782//b2405//b2714//
GO_0000160_5	b0357//b1024//b3355//b2896//b1637//b0041//b2536//b1707//b0052//b3392//b0795//b3679//b2558//b1602//b4237//b3941//b0724//b2810//b1772//b1058//b3053//b1080//b1349//b1041//b1939//b4361//b0101//b4011//b1130//b0808//b2282//b1435//b3906//b4169//b3320//b2539//b3689//b1682//b0296//b0139//b1084//b1210//b0953//
GO_0000162_7	b0294//b0331//b2882//b3063//b3391//b4249//b4241//b3213//b2400//
GO_0000255_5	b2580//b0467//b3790//b1326//b1557//
GO_0000256_6	b1280//b1389//b2883//b1778//b4025//
GO_0000270_7	b3775//b0545//b2294//b1576//b0556//b2208//b0591//b2751//b1271//b0472//b4321//b1297//b3748//b0432//b3888//b1046//b0659//b2702//b3666//b3454//b1301//b2796//b2202//b3927//b4227//b2383//b4195//b2709//b1139//b3115//b1856//b2203//b3905//b2476//b3131//b1184//b3020//b1493//b1978//b2622//b2110//b0048//b0170//b3137//b3238//b0612//b2659//b1698//b1294//b1738//b0854//b3807//b4232//b0025//b1370//b4032//b1433//b0504//b3924//b1740//b0051//b1960//b1592//
GO_0000271_6	b2560//b3357//b4109//b0425//b2958//b0867//b2107//b2289//b3997//b0026//b3943//b2753//b4471//b0960//b4315//b3018//b3891//b0881//b2718//b1207//b3891//b2979//b2565//b2511//b0967//b1350//b4026//b2518//b3784//b2836//b2385//b0357//b3559//b2060//b1256//b2870//b1433//b1634//b1218//b3667//b2787//b4346//b3727//b0414//b0272//b0524//b4668//b0835//b3021//b1388//
GO_0000272_6	b2797//b0597//b4024//b3049//b0463//b1827//
GO_0000302_5	b3588//b3525//b0792//b0653//b0388//b1132//b1866//b4510//b0533//b0728//b2812//b1109//b0778//b2896//b2524//b0775//b1079//b1202//b3705//b1821//b3396//b4243//b4016//b2630//b3064//b3189//b2573//b3788//b3535//b4087//b1262//
GO_0000303_6	b2706//b4528//
GO_0000305_5	b1879//b1009//glsA1//
GO_0000372_11	b0914//
GO_0000375_9	b2600//
GO_0000376_10	b2292//
GO_0000413_9	b4687//b3807//b3580//b3901//b2241//b3689//b3687//b3959//
GO_0000451_7	b2867//b2027//b1292//bioP//b0504//
GO_0000453_8	b3645//b3105//b0074//b0812//b4040//
GO_0000455_9	b0331//b4208//b1141//b3408//b0824//b2323//b2717//
GO_0000462_11	b3671//b1545//
GO_0000469_8	b2728//
GO_0000470_10	b1822//
GO_0000478_9	b1887//
GO_0000715_6	b4520//
GO_0000716_7	b2098//
GO_0000724_8	b0048//
GO_0000725_7	b4479//msrQ//b1613//b3250//b0167//b4235//
GO_0000726_7	b3870//
GO_0000731_7	b0415//b3514//b0214//b4460//b3578//b3888//b3347//
GO_0000737_7	b0770//
GO_0000738_7	b1945//b0639//b4054//
GO_0000746_4	b1189//
GO_0000820_7	b2149//
GO_0000902_5	b4366//
GO_0000910_4	b2744//b2739//b4374//b1326//b2100//b1260//b0768//b2094//b0333//b1864//ftp//b0932//b2065//b2688//b1421//b4144//b0015//b1702//
GO_0000917_6	b2224//b1924//b4111//b0097//b3456//
GO_0000918_6	b3371//b3243//b2665//b2883//
GO_0000920_3	b0763//b1874//b4073//b0262//b4357//
GO_0000921_6	b0830//
GO_0000966_8	b3699//b2516//b3193//b2708//
GO_0000967_10	b0822//b1277//b4144//
GO_0001101_4	b4255//b1363//b3083//b3405//b1861//b0809//ftp//b3991//b1429//b3812//b1920//b4026//b3423//b2100//b1871//b0576//insI4//b4081//b3149//b3966//b0110//b0516//b2844//b4046//b1536//b1009//
GO_0001121_7	b1761//b2622//
GO_0001123_8	b2265//
GO_0001124_8	b2614//
GO_0001407_7	b1078//b4003//b1606//b1922//
GO_0001505_4	b2835//b3312//b0239//b3453//b4586//b2689//yjgX//b2954//b2994//b0314//b2994//b0954//b0307//b3298//b4268//b1466//
GO_0001510_5	b1645//b3462//b0141//b0043//b0809//b2542//b3052//b3204//b4243//b0927//b3991//b0450//b3028//b3155//b2821//b3871//b1570//b4168//b3521//b2113//b2481//b4086//b3432//b1684//b4352//b3613//b2617//b0931//b0435//b4371//b3164//b1113//b2818//b3056//b4666//b3521//b2567//b2937//b2470//b3571//
GO_0001514_8	b3454//
GO_0001522_7	b0624//b2922//b3774//b0838//b0002//b0008//b3084//b4089//b3816//b2427//b2770//b1186//b3023//
GO_0001539_4	b4474//b0619//b3556//b1474//b3026//b2392//b1342//b2427//b4485//b0073//b4393//b3891//b3932//b3200//b1091//b0511//b1306//b0831//b3583//b1634//b2664//b4055//b4318//b3037//b0086//b4415//b3831//b3298//b1885//b2037//b2678//
GO_0001558_5	b0368//b4297//b4665//b0721//b1642//b0929//b2047//b2387//
GO_0001561_6	b0178//
GO_0001666_4	b2149//
GO_0001676_6	b2493//b3281//b0508//
GO_0001680_11	b1978//
GO_0001682_11	b2235//
GO_0001731_7	b0008//
GO_0001762_6	b3831//
GO_0001887_4	b0134//b0637//b0030//
GO_0001896_5	b2845//b2806//b0182//b1715//
GO_0001907_5	b0334//b2554//b1696//b1828//
GO_0001932_8	b1238//b3461//
GO_0001934_9	b1944//
GO_0002047_6	b0983//b1634//
GO_0002097_8	b0921//b3929//b3394//b0896//b0418//b2997//b4705//b3605//b2965//b2781//b4193//b3092//b0090//b3628//b3813//b2946//b0613//b0621//b4054//
GO_0002098_9	b0590//b4130//b3376//b3475//b0211//b4313//b2025//b4252//b4386//b3139//b2536//b3653//b2529//
GO_0002099_9	b2844//b0155//
GO_0002100_9	b2907//
GO_0002101_9	b4637//b0197//
GO_0002128_7	b0180//b1011//b2684//b3909//
GO_0002130_8	b0024//
GO_0002131_9	b2913//
GO_0002132_9	b1522//
GO_0002136_10	b0875//
GO_0002143_9	b3634//b3458//b1743//b0995//b0365//b4214//
GO_0002181_7	b3133//b3313//
GO_0002183_5	b1473//
GO_0002184_8	b3222//
GO_0002188_6	b0112//
GO_0002190_6	b3769//
GO_0002192_8	b1698//
GO_0002252_3	b0192//msrP//b4259//b0792//b3832//b0052//b2136//b1246//b0912//b0365//
GO_0002790_6	b1866//b2307//b1288//b2703//b0722//b2503//b3331//
GO_0002937_9	b4099//
GO_0002938_8	b1136//
GO_0002939_7	b1183//
GO_0002943_8	b2526//
GO_0002949_8	b0881//b1050//b2557//b4153//
GO_0003333_7	b3750//b2208//b2486//b2701//b2498//b4297//b2532//b0430//b4384//b0220//b0726//mltG//b2622//b1104//b4366//b0430//b3343//b2888//b2456//b3507//b2995//b2216//b1399//b1497//b3247//b0555//b4350//b2842//b3701//b0627//b1481//b0863//b2841//b1487//b4386//b4064//b1799//b0221//b3173//b4249//b4320//b2992//b1718//b1711//b2919//b3849//b2416//b0268//b2167//
