#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	ykgM//yjbE//
AcrR	phnO//aroG//rtcB//hisP//lysP//bhsA//nagE//mhpC//exuT//mioC//gadA//
Ada	flgH//sdhC//ftnB//osmB//
AdiY	marA//ydfW//hns//rutE//pepD//oxyS//mhpE//entA//
AgaR	tauD//yfbR//casD//wzzE//paaE//ttdR//rhaD//oppB//hybA//caiA//cyoA//
AidB	narG//
AlaS	cusS//
AllR	flgF//ttdB//phnK//galM//tadA//rpiB//rffM//lsrB//fliI//
AllS	dgcZ//ptsI//mpaA//
AlsR	mgrB//mipA//rutR//gatD//gadF//yeaE//
AppY	ynfE//frdC//yhdZ//acnB//yedX//cpxA//ygiC//hyfH//glcC//ccmC//
AraC	narI//kdpC//kdpC//wza//cysW//aceK//ybhS//ruvB//exbB//yjjZ//dps//nuoF//thiQ//glcD//
ArgP	gudD//gcvA//soxS//tyrP//evgA//ydcU//accA//sdhB//gutQ//ptsH//fldB//erpA//psiF//gcl//
ArgR	fixB//xylG//cspD//glcE//garR//ykgO//metK//ppiA//gltI//aroF//napB//yeiL//pdhR//napD//nmpC//tdcC//ydhW//fecE//ybhF//norR//dhaR//cynR//ugpB//dicC//glyA//gspF//sucD//epd//yfiR//pyrC//hisM//argD//phoQ//tpiA//tauD//galP//gatD//uspE//
ArsR	phoP//fimB//fliK//
AscG	sutR//caiF//caiC//sbmA//cvpA//
AsnC	gudX//flgJ//gltL//fliL//
AtoC	dcuB//yiaN//ccmC//glyA//
BaeR	tolC//sgrS//pspA//allD//omrA//mglB//ydiU//malX//
BasR	cysJ//phnI//lrhA//metN//gcvT//ttdR//yfdE//lrhA//moaE//ynfG//ccmA//metN//dsrA//
BetI	yiaO//recX//lldP//iclR//
BirA	phnD//metL//csrC//hyfC//ydcV//
BluR	fliS//lldD//appX//fucR//
BolA	melA//mglA//
CadC	cysD//ldtD//yfdX//
CaiF	phnK//treB//cysB//qseB//feaR//nikA//idnR//nikC//glcD//hybE//
Cbl	efeU_2//bluF//phnH//yeaD//ascF//nrfF//cadB//ybhL//ydhX//
CdaR	rnlA//caiA//tomB//kbp//edd//sodB//ulaB//puuD//purL//fadI//
CecR	cheA//yjbH//malT//marR//appC//
ChbR	gspK//yjbE//fabH//phnH//yhbS//gspI//
ComR	fes//
CpxR	emrK//acrD//gabP//phnC//yciG//mhpC//phnD//ygiC//mazF//garP//kbaY//cysI//mcbA//hycI//ilvY//bioD//yedX//allB//creD//alsB//chbR//dhaL//aceK//yafO//rstB//focB//galK//frdB//araG//uidB//ybfE//sufA//narI//puuB//omrB//ssuA//glnL//glgC//dkgB//betI//frdD//cyoC//glnP//manX//fepG//creA//zinT//mqsA//yiiS//ydeN//yciW//uspA//rcnR//rhaD//cysB//nohA//fadI//mgtL//xylR//fruB//hyfG//pck//fecE//xapA//hybA//fliR//gadW//mqsA//exbB//oxc//
Cra	speB//mqsA//yccJ//mdtE//ftsA//ihfA//hcp//cpxP//hybE//efeU_1//folA//dinG//narH//argB//frc//narK//cra//nadA//tnaC//hyfI//fhuB//iscA//fbaB//gcvP//artQ//evgS//glpD//uspE//cas1//serA//yfiB//feoB//gfcA//paaA//erpA//metE//glcE//cho//uof//dctR//ulaB//puuR//relB//wzxE//astE//moaB//fliR//purH//fruA//gadC//hycG//cysC//mglC//dinQ//ydeM//kbaZ//wecC//thrS//allD//fabG//ibaG//mtlD//sdhB//ptrA//mioC//yafP//lrhA//recA//ykgM//hyfB//prs//hyfC//murC//ydjM//ftnB//fliN//fhuF//rpiR//ftsZ//
CreB	arsR//kdpA//rnpB//ddpF//glnD//
CsgD	yciF//hyfR//pqiB//oppB//lpxA//hisQ//fau//pgi//purA//ftsI//glgX//dacC//hemL//fadI//dinJ//phoP//caiC//yhiD//yneM//fiu//gadE//creD//ppsA//tnaC//deoB//allA//cas1//hcaR//
CsiR	fbaA//metA//xylG//lsrK//trpR//
CspA	flu//uvrB//
CueR	ugpC//rcnR//puuD//cusB//idnO//iscR//gabD//
CusR	fliT//yccA//wecE//ddlB//csgG//glgX//luxS//ppiD//recN//ybhS//aroH//dhaM//
CynR	cecR//nuoH//yjbG//pgaD//
CysB	yhcH//dhaM//mglB//betB//nanK//cynX//ygiB//galR//casB//potI//tdcB//csgE//nemA//argF//mhpA//ygbK//dgcN//rutF//cysW//ompN//ydhW//sufS//yegR//tdcE//yjjQ//gcvT//seqA//yeiL//citX//astC//rhaR//fucI//
CytR	arsR//eno//fdnH//yqhD//epd//zraR//gnd//sgbH//ssuA//yiaK//glpD//yhbT//ruvB//
Dan	cecR//moaD//phnJ//pyrD//
DcuR	torR//fucU//glnK//gspG//yciW//fhuF//rpoH//dinF//dhaR//
