#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b3583//b1516//
AcrR	b2601//b4367//b4398//b2060//b0755//b3188//b0347//b0827//b3161//b2802//b1396//
Ada	b4059//b2782//b1393//b0226//
AdiY	b0588//b1297//b1287//b2075//b0595//b3579//b3700//b4094//
AgaR	b0461//b1296//b3607//b3057//b4444//b4443//b0342//b0872//b0975//b3790//b4004//
AidB	b0153//
AlaS	b3813//
AllR	b0617//b0198//b1905//b3065//b1393//b3136//b0435//b1620//b2783//
AllS	b2235//b0313//b4115//
AlsR	b1199//b2913//b4438//b3751//b4006//b1379//
AppY	b3255//b3461//b1848//sroA//b3133//b3701//b0613//b3225//b1443//b1973//
AraC	b2726//b1322//b4431//b2058//b2779//b0036//b3966//b0613//b1563//b1016//b0622//b1327//b0755//b2481//
ArgP	b0296//b0950//b4030//b2239//b2800//b2757//b2674//b3869//b2075//b2572//b1407//b4187//b0037//b1391//
ArgR	b3131//b2531//b2995//b0020//b0682//b4032//b4441//b3082//b2289//b2784//b2198//b1848//b0237//b0517//b3514//b0890//b1732//b2763//b3863//b0435//b3081//b0721//b2205//b2156//b4071//b0513//b1392//b4408//b2572//b3565//b1530//b4074//b2465//b3615//b0856//b3748//b4291//b3828//
ArsR	b3724//b4324//b0231//
AscG	b2822//b3967//b0698//b1511//b1714//
AsnC	b3723//b3334//b1922//efeU_2//
AtoC	b1203//b0090//b3414//b0590//
BaeR	b1902//b1673//b0428//b4592//b3413//b2196//b0348//b2755//
BasR	b3185//b1225//b2155//b2285//b4196//b0721//b1297//b3727//b3480//b1877//b2659//b0589//b3441//
BetI	b0756//b2482//b2470//b3449//
BirA	b3481//b3093//b0730//b2666//b4443//
BluR	b3027//b1075//b0590//b4073//
BolA	b0754//b2706//
CadC	b3161//b2091//b3005//
CaiF	b0091//b1944//b1024//b2703//b2373//b2508//b2306//b2824//b3357//b3624//
Cbl	b3213//b2234//b1783//b2702//b2060//b1132//b1826//b3577//b0083//
CdaR	b2366//b1651//b2895//b1020//b0733//b1569//b0724//b3060//b4118//b4104//
CecR	b2659//b0678//b3514//b3136//b2287//
ChbR	b0886//b4484//b1821//b3863//b3614//b0293//
ComR	b4138//
CpxR	b2964//b0430//b3077//b2201//b3577//b4398//b1243//b2802//b1184//b1535//b4411//b0873//b0754//b3359//b2371//b2904//b4266//b4376//b1517//b0571//b3141//b0750//b2542//b0776//b1737//b3095//b2979//b0508//b2725//b3792//b1987//b1920//b3741//b3906//b1398//b4138//b2284//b3363//b3479//b1617//b3094//yegZ//b2789//b0241//b3661//b0351//b0974//b0777//b3773//b4101//b3870//b1015//b3966//b2852//b4197//b1532//b1568//b0874//b4467//b0344//b3722//b1393//b1498//b2342//b1783//b2630//b3906//b4187//b4592//b2236//
Cra	b2996//b2009//b1922//b3186//b3117//b2283//b2488//b3081//b3118//b3037//b4441//b1848//b4030//b2239//b1568//b1671//b2312//b0937//b3794//b1904//b3828//b2724//b2803//b2091//b4268//b3688//b1113//b1938//b1781//b0509//b2717//b4101//b2485//b4287//b2062//b3926//b1924//b2167//b4239//b0179//b3517//b2076//b3092//b1817//b1818//b3061//b0296//b1113//b1531//b0619//b0929//b1578//b2096//b4443//b2997//b4365//b4032//b4400//b3478//b2234//b1706//b3723//b0591//b4408//b4085//b0116//b2698//b1905//b1858//b4310//b1658//b4471//b2483//b3132//b3450//b0757//b0061//b1707//b1531//
CreB	b2702//b2078//b4267//b3870//b1265//
CsgD	b1508//b0850//b1617//b2236//b0826//b2009//b3708//b0726//b3902//b1223//b0854//b3480//b0063//b3118//b3571//b0096//b2573//b1482//b4367//b3495//b1888//b1519//b2196//b0273//b3927//b2208//b1547//b4522//
CsiR	b3421//b3330//b1258//b0684//b1482//
CspA	b2570//b0428//
CueR	b4133//b2541//b0349//b0784//b0812//b2224//b3365//
CusR	b4673//b0403//b4441//b1062//b1071//b1779//b2673//b4637//b1183//b3512//b2721//b4152//
CynR	b3082//b1948//b1679//b0312//
CysB	b1796//b1074//b2750//b3564//b4050//b2661//b2489//b1082//b0872//b1578//b0475//b4101//b0435//b2508//b1163//b3114//b2531//b1386//b0681//b2486//b1499//b2168//b3008//b3966//b4468//b0590//b1071//b2803//b0094//b1548//b3469//b1654//
CytR	b2720//b3958//b4324//b1575//b4118//b1888//b4435//b1072//b3006//b1707//b1072//b1101//b0115//
Dan	b1397//b2727//b3409//b0161//
DcuR	b1160//b0793//sroC//b4035//b3502//b1852//b2373//b1594//b0933//
DeoR	b3509//b2927//b2406//b2755//b1264//b0894//
DhaR	b2991//b0092//b4260//b4452//
DicA	b0044//b4193//b0296//b2925//b4396//b1262//b2223//b0178//
DinJ-YafQ	b4071//b2541//b1070//
DnaA	b2240//b1532//b2236//b4383//b0333//b4196//b1671//b2719//b2662//b1074//b0974//b0080//
DpiA	b3869//b3516//b1247//b0782//b1946//b3141//b3501//b1609//b1247//b1444//b3170//
DsdC	b3613//b3792//b0891//
EbgR	b0344//b1891//
EnvR	b1784//b2686//
EnvY	b0313//b1244//
EvgA	b0383//b1810//b2194//b3426//b1791//b2726//b1167//b2992//b0167//b3916//b2709//b1609//b3702//b0613//b3773//b0978//b2491//b1805//b1593//
ExuR	b1298//b1006//b3605//b4037//b3135//b3437//b3469//b1078//b2671//
FabR	b1940//b0397//
FadR	b1012//b3967//b3813//b3749//b1747//b2464//b4070//b0237//b3124//b0161//b1303//b0061//b3707//b2286//b0338//b1848//b1016//b3188//b3461//b1452//b2660//b0618//b2425//
FeaR	b2364//b1818//
FhlA	b1650//b1650//b3357//b0484//b1296//b1743//b2281//b2663//b0207//b3222//b0973//b0086//b0762//b3331//b0887//b4132//b0976//b3569//b2374//b2821//b0864//b4074//b0980//b4150//b0903//b2369//b1519//b1378//b3186//b1073//
FlhDC	b1259//b4014//b2076//b0338//b0894//b0615//b4033//b1077//b0179//b2194//b1672//b4013//b1901//b4039//b1077//b2825//b4313//b0313//b0523//b0937//b1683//b0931//b1518//b2198//b1747//b2600//b1023//b1654//b2904//b1925//b2659//b0751//b3212//b3726//b1024//b1237//b1304//b3070//b0887//b3418//b4416//b2977//b0591//b1378//b1575//b1024//b2819//b2721//b0954//b0654//b1102//b1497//b1481//b2551//b3161//b2698//b3702//b3569//b4265//b4324//b2282//b3791//b0732//b2427//b4324//b0522//b2750//b2731//b0873//b3222//b1508//b3117//b0616//b3845//b3942//b3125//b1649//b1532//b1039//b0432//b0339//b0819//
FliZ	b1092//b4087//b0681//b2715//b3429//b2551//b1514//b0784//b1921//b3604//b0162//b1194//b1683//b4458//b2604//b0849//b3421//b1200//b2729//b1042//b0583//
FucR	b0070//b3008//b3571//b2728//b1880//b3417//b4367//
Fur	b3752//b1681//b1243//b1093//b2417//b1925//b4198//b3791//b4381//b0687//b2313//b1819//b1444//b3528//b1954//b4311//b2306//b0277//b1256//b0849//b1743//b2893//b3794//b2805//b1535//b1306//b3418//b0839//b2699//b0398//b3126//b1194//b2713//b1892//b2895//b3567//b3067//b2204//b3077//b3270//b1649//b2893//b0755//b1322//b2662//b3583//b0087//b0776//b1589//b2662//b1226//b4002//b0429//b3073//b0687//b4063//b0684//b2489//b3428//b2076//b1707//b3026//b3026//b3071//b1384//b0233//b0185//b0179//b1389//b1797//b2764//b2698//b0591//b2061//b4014//b1041//b3845//b0652//b2927//b1617//b2240//b2197//b3607//b4354//b1041//b1011//b2283//b2530//b1737//b0929//b4062//b1920//b3908//b1540//b3269//b1285//b0039//b3911//b1540//b2755//b0151//b3748//b3114//b3268//b2659//b3437//b4400//b0794//b2076//b4637//b1564//b1109//b2156//b0620//b1779//b3327//b4150//b3903//b3940//b1395//b1902//b1521//b0511//b2551//b1321//b3868//b0037//b1488//b0038//b3904//
GadE	b0429//b4476//b2553//b0778//b0653//b0150//b4159//b0889//b2492//b3334//b2369//b4354//b2286//b1300//b4460//b3025//b4705//b4293//b0687//b3645//b4003//b2167//b2840//b2552//b0463//b4577//b2281//b0314//b0892//
GadE-RcsB	b0972//b2483//b1184//b1004//b2938//b0400//b4037//b1392//b4120//
GadW	b4444//b2424//b3506//b1681//b2987//b0382//b0312//b1852//b1333//b0812//b1507//b0366//b1252//b0273//b2720//
GadX	b2313//b0198//b1949//b4058//b0038//b1622//b2710//b3417//b2779//b0933//b1914//b2572//b4059//b2604//b0504//b3525//b1306//b4313//b0463//b2976//b4249//b0605//b1892//b1511//b3514//b3268//b1717//b4705//b4095//
GalR	b4062//b0734//b2582//b4085//b0583//b1671//b0403//b4153//b0726//b2604//
GalS	b0863//b1442//b2313//b3785//b2728//b1011//b2489//b3409//b4150//b0083//
GatR	b2375//b0623//b2368//phnE_2//b2781//b1954//
GcvA	b4476//b2306//b0588//b1518//b2077//
GlcC	b3137//b3271//b1521//b3476//b0755//b4705//b4003//
GlpR	b1262//b0652//b1475//b1728//b0178//b3859//b0750//b0996//b1130//
GlrR	b3773//b0852//b2841//b1618//b3115//
GntR	b1386//b1943//b0565//b3416//b1925//b2198//b2665//b1441//b2285//b4095//b3500//b2311//
GutM	b2063//b1011//b4398//b2821//efeU_2//b1578//b3518//
GutR	b0616//b3426//b1810//b0366//b1901//b0088//b3495//
HU	b4662//b3680//b3742//b1323//b1609//b3137//b3547//b2105//b2075//
HcaR	b0352//b0301//b3037//b0975//b4280//b4193//
HdfR	b1902//b3430//b0935//b0048//b2465//
HigA	b1071//b4239//
HigB-HigA	b4254//b3255//
HipAB	b2222//b4040//b1484//b1385//b3516//
HipB	b3333//b3903//b0366//b2242//b1227//b2310//
HyfR	b2344//b1285//b2206//b1396//b4522//b2784//b1858//b4673//b0945//b0092//b0066//b2820//
HypT	b4093//b2058//b2416//b3709//b4400//b3942//b1480//b3906//b1484//b0241//b4467//b0796//b1713//
IclR	b1707//b4152//b2091//b3076//
IdnR	b2091//b0889//b1392//b3437//b3073//b0411//b0596//
IlvY	b1634//b3081//
IscR	b0676//b2370//b0115//b3724//b2202//b2060//b1780//b0617//b4238//b0857//b3431//b1562//b4092//b0460//b0167//b1207//b1516//b4097//b3789//b4131//b0585//b2062//b4266//b0820//b3138//b3926//b1905//b2481//b2552//b3414//b0614//b1444//
KdgR	b0486//b2221//
KdpE	b2706//b1569//b4311//b0806//
LacI	b1791//b4037//b1009//
