# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	hcp//nirD//
Ada	nagB//hemH//rimK//accD//
AdiY	hcp//phnL//caiD//gapA//
AgaR	pflB//
AidB	aceB//
AlaS	purD//
AllR	purF//phnJ//ssuD//nanA//napA//yqjH//
AraC	fabI//deoA//gadA//add//glpB//cysG//
ArgP	citF//fau//hycE//chbF//rutD//napA//dapB//ahpF//ascB//
ArgR	ynfG//phoA//pdeL//ldtD//adhE//hyaB//bioD//glpD//purA//dmsA//entH//gpmA//garL//cysK//uvrB//hcaF//mhpE//alaS//aceF//gcvP//recD//gapA//murG//
ArsR	entA//caiA//
AscG	moaE//gcvP//
AtoC	nanM//recB//astC//
BaeR	ruvA//luxS//
BasR	gloA//galT//aroL//
BirA	fabG//hyi//epd//mazG//yfdE//
BluR	
BtsR	paaB//
CadC	ttdA//hyaC//fumC//
CaiF	caiC//yfdE//mhpA//trpB//nrfA//
Cbl	grxA//arsC//ahpC//poxB//mtlD//
CecR	eno//
ChbR	garR//cdd//phnN//
ComR	
CpxR	narI//eno//entB//pck//gdhA//recF//ygeA//mtlD//lsrF//nfsB//pdeR//paaI//mhpD//accD//nirD//
Cra	rutC//astE//glcE//rhaA//ascB//sufS//atoD//xylA//bioF//tdcD//purM//phnL//ruvB//tdcG//allA//mhpC//murD//adiA//fadE//hycG//frdC//cysM//pgk//dgkA//sbcC//nanK//
CreB	
CsgD	alaC//eno//relA//rimK//
CspA	
CueR	argG//glyA//
CusR	appA//ynfF//
CynR	fadJ//astB//ruvA//
CysB	hyaB//ynfG//hyaC//ldtC//frc//fes//mhpA//pflB//argH//
CytR	murD//citD//moaC//trpD//araA//caiA//xylA//lpd//ada//
DcuR	icd//galM//dmsA//ulaD//
DeoR	pfkA//glpQ//paaG//sodA//
DicA	
DinJ-YafQ	metF//
DnaA	araA//metE//murI//murI//rutD//atoB//
DpiA	purD//pfkA//moaE//mpaA//hemH//
EnvR	fadD//tdcB//
EvgA	lacA//phnO//argB//umpH//paaF//
ExuR	
FabR	atoD//carB//pyrC//
FadR	lysA//waaY//lsrG//pgaB//cynT//puuE//murD//phnJ//accD//nanM//glxK//puuB//fadE//gcvH//caiD//
FeaR	bioC//allB//
FhlA	entH//citE//chbF//tyrA//mhpC//eda//fabI//
FlhDC	ppiA//polB//
FliZ	fabG//phnL//chbG//nagA//trpC//
Fur	aroH//ycjG//pgaB//torC//gadB//ppsA//atoA//lldD//accC//gapA//umpH//phnM//sbcC//glcD//hcaC//appA//narH//ndh//kbaY//ruvA//wzb//aceE//hcp//carA//tynA//hmp//moaA//paaC//aldA//ung//fadD//
GadE	rhaB//malY//ccp//
GadE-RcsB	treC//add//murF//rhaD//rutC//
GadW	ada//gcvH//tdcG//
GadX	melA//ppiA//fdhF//nanM//murD//
GalR	adiA//nadB//entF//fdhF//phoA//
GalS	allB//murD//entD//gadA//polA//
GcvA	galK//bioD//umuC//
GlcC	phnN//phoA//lsrG//
GlpR	pfkA//ung//hcaC//ugpQ//murE//garK//ruvB//
GlrR	
GntR	glpB//gapA//hcaF//galK//hcaF//
HU	glpC//lysC//fadI//glcE//
HcaR	aroL//nemA//
HdfR	
HigA	paaG//
HigB-HigA	ygeA//
HipAB	aceA//ynfF//
HipB	adiA//astB//trpB//
HprR	mhpA//gcl//
HypT	phnJ//purN//
IclR	ulaF//rhaA//rnpB//
IlvY	purA//
IscR	paaH//glxK//aspA//rbsD//lpd//hycC//astD//
KdgR	dmsC//
KdpE	phoA//
LacI	aroF//recD//aceF//
LeuO	slt//argB//fbaA//
LexA	hyaB//cysE//rhaB//treC//napA//srkA//hyaB//metE//mraY//
