#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	gltF//dpiA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	pck//ompC//gabD//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	pspG//agaW//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	exuR//mhpC//
AcrR_FNR_Fur_SoxR	nfo//
AcrR_FNR_Fur_SoxR_SoxS	nfo//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	qseB//
Ada_AidB_Lrp	dinI//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	fliK//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	prpC//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	glcA//nanC//fbaA//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	rpsC//fimE//
AdiY_H-NS_IHF	fliK//
AgaR_CRP	glcG//gntU//gspD//ahpF//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	nrfG//nagC//sgbH//fixB//ahpC//frdC//
AppY_ArcA_YdeO	citC//patA//tcyJ//moaD//
AraC_CRP	moeA//fadA//yoeB//serA//hyfR//umpH//rplC//nanE//ccmC//
AraC_CRP_XylR	astA//cydC//treC//
AraC_NagC	rpsJ//katE//
ArcA_BetI_Cra	rplB//prfA//rplW//hisM//
ArcA_CRP_CaiF_FNR_H-NS	melB//narL//chbF//prmC//safA//entA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	gspM//modB//ssrS//cadB//fur//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	fdhF//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	bamE//
ArcA_CRP_Cra_FNR_NsrR_PdhR	manX//fecC//
ArcA_CRP_Cra_Fis	moaD//
ArcA_CRP_Cra_IHF_IclR	actP//melR//paaC//
ArcA_CRP_DcuR	glgA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	emrY//feaB//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	rutE//
ArcA_CRP_DnaA_FNR	purN//
ArcA_CRP_DpiA_FNR_NarL	lsrD//nuoB//dcuC//cydA//fabA//mhpC//
ArcA_CRP_DpiA_FlhDC	ssrS//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	modC//nmpC//
ArcA_CRP_FNR	qseC//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	hemL//cas1//proW//
ArcA_CRP_FNR_Fis_Fur_PdhR	rplV//
ArcA_CRP_FNR_Fis_IHF_NarL	hycI//
ArcA_CRP_FNR_Fur	ulaE//rutF//cusS//modB//
