#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b3128//
Ada	b4092//b1283//b1322//
AgaR	b1321//b1568//b2373//b4368//b2582//b4089//b2823//
AlaS	b0921//
AllR	b0698//b0068//b3699//b3500//b1113//b3431//b1846//b4513//b0890//
AllS	b0340//b1883//b2750//
AlsR	b1655//b3457//b4481//b1608//b2171//b4043//
ArcA	b2600//b1783//
ArgP	b0339//b0399//b3013//
ArgR	b4087//sroA//b1877//b2060//b4370//b1102//b4293//b0110//b0987//b0665//b4702//b4249//b2146//b2373//
ArsR	b1093//b1878//b1430//
AscG	b4426//
AsnC	b1485//
BasR	b2529//
BirA	b3140//b3458//b2787//b3979//b4092//
BluR	b0052//b3140//b3794//b4150//
BolA	b2671//b0864//
CRP	b0400//b2530//b1741//b2752//b2216//b0688//b0857//b4399//b0190//b3966//b1568//b0924//b0670//b3057//b0031//b4416//b1566//b2509//b3688//b1729//b2497//b1488//b2839//efeU_2//b3922//b1073//b2852//b0345//b0957//b0517//b0588//b2085//b4513//b0080//b1887//b1784//b0447//b0207//b1078//b3500//b3432//b4567//b2167//b3441//b0841//b0303//b3062//b0068//b2601//b4513//b0508//b1163//b1184//b3270//b4219//b0473//b3686//b0505//b3922//b2666//b4270//b2085//b2403//b3066//b2211//b2397//b1782//b3923//
CdaR	b0484//b1548//b1400//b4213//b1429//
CecR	b0484//b2606//b0666//b1814//b0731//
CpxR	b1132//b1075//b2553//b3269//b0049//b1784//b0796//b1205//b1954//b0512//b3393//b4673//b3616//b1782//b0517//b3008//b1430//b0921//b2868//b1481//b4663//b1200//b1321//b1165//b0072//b0604//b0140//b1194//b2105//b2666//b1888//b2291//
Cra	b0439//b4089//b1260//b3139//b1377//b1013//b2616//b0378//b1877//b1634//b2557//b0512//b0891//b2379//b1879//
CreB	b0565//
CsgD	b2574//b1782//b4401//b3364//b2167//b0340//b2059//b0779//b4213//
CueR	b1078//b0672//
CynR	b1132//b0146//b2312//b2232//
CysB	b2310//b2213//b2752//b1702//b4702//b1229//b4525//b2310//b0071//b2400//
Dan	b0296//b2372//b0806//b2553//
DhaR	b2464//b0794//b1091//b0664//
DicA	b3980//b1548//b0071//b0232//b3671//b0857//b0891//b3063//
DnaA	b4618//b4096//
EvgA	b0857//b4089//b1083//b0778//b3608//b4174//b3670//
FNR	b1430//b2289//b1791//b4013//b1265//b0685//b0051//b0146//b3184//b2825//b1914//b0796//b1076//b0751//b0475//b4450//b0892//b0860//b0856//b1578//b0399//b0378//b3938//b2537//b4090//b3729//b3157//
FadR	b4451//b0378//b1252//b1484//b3270//b1091//b2808//b0068//
FeaR	b1081//
