#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/strict_regulons_bnum.txt
AccB_neg	b2168//b4160//
AcrR_neg	b2374//b4233//b1818//b1852//b2783//b1306//b3911//b2205//b0696//b4662//b0855//
Ada_neg	b2802//b3911//
Ada_pos	b3614//b0785//b4027//b3270//
AdiY_pos	b2481//b2074//b3477//b1078//b3961//b3512//b0708//b4702//
AgaR_neg	b4014//b0032//b1819//b4416//b1377//b1940//b4354//b3726//b2750//b4002//b2237//
AidB_neg	b3966//
AlaS_neg	b3578//
AllR_neg	b0605//b1746//b1129//b2341//b2017//b2729//b3800//b1093//b3791//
AllS_pos	b2784//b0811//b1007//
AlsR_neg	b1656//b0590//b4044//b1737//b2393//b2240//
AppY_pos	b1298//b2276//b0118//b4106//b1519//b2911//b2574//b2491//b0936//b3566//
AraC_neg	b2388//b1023//b1946//b1859//b0653//b1395//b1129//b2697//
AraC_pos	b1488//b1577//b3785//b3912//b1987//b3784//b4138//b3131//b2212//b2709//
ArgP_neg	b2127//
ArgP_pos	b3565//b2788//b4471//b4237//gadF//b1805//b3645//b2168//b2063//b3328//b0929//b1201//b4026//
ArgR_neg	b1684//b0597//b1944//b0390//b3904//b1594//b0652//b2169//b0596//b2415//b1501//b0383//b4037//b2712//b0385//b0890//b3070//b1920//b4006//b2370//b1511//b2284//b1077//b2802//b3132//b1335//b0070//b1939//b1008//b2127//b3753//b1515//b1531//
ArgR_pos	b1717//b3612//b0166//b2551//b3788//
ArsR_neg	b3607//b3006//b1671//
AscG_neg	b4096//b0936//b2558//b4187//b1949//
AsnC_neg	b1851//b2758//b1575//
AsnC_pos	b2095//
AtoC_pos	b1101//b1076//b0586//b0564//
BaeR_pos	b3188//b0751//b0724//b1474//b4003//b3625//b4613//b0441//
BasR_neg	b3528//b4322//
BasR_pos	b1408//b1093//b1535//b0385//b2313//b0762//b2893//b3785//b2760//b2282//b3335//
BetI_neg	b0234//b2282//b4444//b1925//
BirA_neg	b2603//b2422//b1021//b1020//b2215//
BluR_neg	b0587//b3164//b4613//b0570//
