#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	umpH//glpF//guaB//ilvH//
AlaS-L-alanine	norV//
AllS-allantoin	argB//gadC//fecD//
AraC-L-arabinose	fecI//gspD//borD//ssrS//cysK//ompF//nikE//yoaG//cyaA//rplP//feaR//nikC//infB//amn//
ArcA-Phosphorylated	atoD//caiT//tsaE//alkB//cysN//ygiB//nuoH//rpsS//cysA//agaA//mhpF//malZ//rrlE//nrfA//betT//mltC//acnB//waaH//glcE//soxS//rrsH//lldR//nrdE//srlR//norW//caiD//citC//mzrA//yhhY//cysU//exbB//tsr//uxuR//nmpC//argP//tsaE//efeU_2//gspH//trxA//gntR//gltU//rpoS//fumA//fabZ//ykgO//oxc//rrlG//malM//rhaR//aaeR//hycC//dppA//entD//pheT//metH//yoaC//aroG//csgB//gspE//hemL//lysU//phnD//yhfA//cpxR//appX//fecR//dgcZ//tehB//hflD//znuB//prpB//mhpT//hlyE//argP//nanK//alaS//putP//gltA//bcsB//fhuD//argO//hisQ//hycE//gspI//ygiB//lysP//artJ//cheA//ccmE//xapA//rpsC//hycF//soxS//gadC//ssuA//fecD//motA//mglA//ilvC//csgA//rrlD//chbB//puuD//ompA//casA//pstB//znuC//nrdA//bcsA//cueO//chbF//nikC//spf//artQ//nuoH//sbcD//ynfE//hycI//purH//hybC//mhpA//citG//ivbL//rplI//galP//dnaN//yiaL//napA//ydhW//kbaZ//feoB//ulaD//gltW//gatA//nusA//ebgA//melR//rutF//gspO//gspC//pitA//melR//fecA//metI//hupB//hyaA//hycD//araC//aceK//livK//lrp//entB//gspK//yaiA//priB//emrY//ppiD//rrlA//ppiD//alaU//dcuA//nrfC//ppiA//ilvN//iscR//entH//rpoH//paaF//osmY//mgtA//azuC//ychO//acrD//ynfG//moaB//nhaA//fdnI//
ArgP-L-arginine	murP//uhpB//mntP//mepH//nrfB//gatD//malM//sdaA//fadD//pta//yeiP//dps//artM//rstB//acrF//rpsR//
ArgR-L-arginine	rrfD//yaiW//gutM//aspC//rbfA//chbF//fliA//ydfH//exbD//aceB//gntR//ygeH//baeR//agaA//pgaA//narL//comR//gutM//yqjA//citC//rnlB//nohA//idnK//nuoN//sodB//mtr//cpxA//manA//gadB//copA//cheW//fixX//ydeJ//srlD//fliA//rrfF//sbmC//prs//tehB//
AtoC-phosphorylated	nanT//marA//srlA//aroM//
BaeR-Phosphorylated	slt//entA//cyoD//hybF//hisQ//prpD//trmD//agaV//
BirA-bio-5'-AMP	baeS//tdcE//cyoB//envY//ivbL//
CRP-cAMP	nrfE//cra//hyaD//rplB//bioD//cysP//osmY//yiaO//hyfB//csgC//nuoI//agp//lsrG//metJ//araJ//infC//glrR//rplC//pgaD//ccmA//xseA//uhpA//fadJ//bioB//fadL//rrsG//cytR//ydhT//ampD//preA//citX//mtr//cheZ//sgbU//paaD//adhE//fimH//gabT//tktB//rutE//proP//cpxA//grcA//uhpC//rnhB//ebgA//nhaA//astA//codA//tsgA//yeiW//gatA//aceB//acrE//tsgA//nrfG//ptsG//sodB//mhpR//zraR//malZ//ilvN//glpX//actP//fimG//mgrB//fhuC//cueO//sbcC//glnK//fhuE//dppB//argC//ubiG//ydeN//pagP//dmsA//fepG//fimF//hflK//grpE//borD//rrlC//hypE//cysA//atoB//cvpA//oppB//ychH//cyoA//fecD//csgC//nrdI//rpsF//nrfB//ydeN//sufS//hpt//ygiC//sbmA//pgaA//hypE//ybiT//trpE//argC//aaeA//speC//ssuD//envY//dusB//aroG//tyrP//lpxB//metH//glgP//aldB//oxyR//lldD//uidB//rrfD//rhaT//glnL//eda//aspA//sdhC//allC//yeaD//tehA//sucC//agaW//glmY//galM//iclR//sucB//argB//pdeF//comR//mhpA//prs//gltF//ilvG_2//deoB//hyfA//rutG//hycA//acnA//cydA//hyaB//cydD//ileV//mglB//tauC//mtlA//fepG//argR//sufE//cas1//galT//citG//rplV//entE//fliA//hlyE//mcaS//yojI//thrV//nrdG//acrA//tolC//yjcH//alaS//nanA//dsbA//frdD//hyaC//yiaL//nrfG//fumC//ftnA//citG//yfdV//emrY//hha//rpsO//ydeP//psiF//rrfA//alaA//nikE//yjeF//ybdZ//dpiB//bcsA//fucO//entB//puuA//rpsJ//spf//spy//nupC//astE//sxy//lsrC//idnK//fepA//uhpA//hyaC//nrdB//mglA//casD//napF//hlyE//hofC//glrR//tap//narL//lacY//ugpC//ilvX//zntA//cpdB//efeU_1//aroF//mhpE//hyfD//phnL//sdaA//cysN//znuC//cusC//sufE//betB//mepH//nrfC//ytfE//gntT//pitA//exuT//gdhA//iraD//map//acs//nanT//nuoM//mtlD//dppD//glgB//cspE//cheA//pagP//nrdI//ssuE//nrdA//ykgR//xdhA//csgA//rrsG//ulaE//hypC//rnlA//amiB//flhD//gltF//hyfD//casB//allC//pheM//astC//phnH//pitB//cysH//dppC//sodB//abgB//fepA//rutG//ampE//zraS//ccmC//rcnA//fucP//cheR//oppF//cysK//csgB//caiA//pncB//phnH//phoE//trmD//livK//ydhY//nrdG//lysU//yeaD//sgbE//hmp//dmsD//nikR//rhaR//adiC//frdC//tyrA//hdeD//ihfA//frdA//ssrS//rrfA//infB//yegZ//adiC//manY//chiP//dppB//napG//hypE//mscM//efeU_1//tauD//metF//yegH//oppF//appB//fadI//fucU//puuB//rrsB//prpD//serA//narQ//cydC//ulaB//rrsD//rbsC//ydeJ//cpxA//moeB//argB//sbcD//atoB//tdcB//nadC//rutB//envZ//araH//moaB//sdhC//mpl//hyaA//garK//glnB//frdB//cysM//osmY//cspD//metH//garK//dcuR//mdtC//cysJ//phnM//acrD//fimF//galK//soxR//hflK//glnK//fdnH//purA//dsdC//hlyE//hdeD//hyfJ//rutD//rplI//emrK//trpE//emrK//rmf//trmD//ygiC//gcvT//feaR//uxuA//entF//hycE//moeB//gspD//spf//uidB//fimE//ilvE//paaC//gcvH//hyaE//araA//nirD//garL//entD//ompF//yiaK//ansB//feaR//carA//aceK//acnA//rplD//hdeA//gntU//livM//cyaA//hemL//creA//pyrC//mipA//glgC//pdhR//bacA//ugpQ//bacA//nanE//pheM//tdcG//argI//prpR//hyfE//aroF//malK//argI//fixB//lamB//cytR//ilvE//norR//ilvY//rutG//folE//uxuR//uof//hisJ//rbsB//hycD//frc//malM//fnrS//codA//phnP//aaeA//torA//livF//prpR//betA//mzrA//cynR//agp//paaH//fumB//purA//crl//udp//rdoA//abgT//tdcE//puuB//fepB//betI//fdnH//hybB//aroM//cheR//aroH//nanS//bcsB//tsgA//hyfE//fhlA//cspD//fadH//tcyJ//carB//rrfG//nlpD//grcA//fldA//phoR//ssuC//recF//agaV//yiaL//hyaF//cynR//melR//rpmI//nfuA//fabZ//zwf//nrdH//galK//acrB//deoD//aaeR//appB//ackA//sufA//lsrC//aaeA//purL//dpiA//sufC//rbsB//treC//gcvT//tauC//gcvP//glpB//lsrC//metF//mpl//rutF//hyfH//fhlA//rrfD//tyrR//tyrP//cirA//
