# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	paaJ//rhaA//
Ada	recD//metA//eda//garL//
AdiY	glxR//accA//nrdA//gcvH//
AgaR	bioD//
AidB	paaY//
AlaS	ada//
AllR	mtlD//argE//wrbA//murC//galM//glcB//
AraC	ldtD//galK//gadB//nanM//cynT//uxuB//
ArgP	napG//ynfE//cdd//paaF//rbsD//aceB//ascB//gdhA//wzc//
ArgR	purM//aceA//nemA//argI//uxuA//aceA//metA//lsrG//udp//purD//entF//puuB//hyaC//oxc//mraY//fabH//allB//napH//ubiX//pdeR//trpC//napG//fabB//
ArsR	xylB//entE//
AscG	pfkA//atoA//
AtoC	hcaC//pyrC//nirB//
BaeR	fau//gcvH//
BasR	pdeR//uxuA//nirB//
BirA	murQ//ychF//wrbA//polA//rhaB//
BluR	
BtsR	dapB//
CadC	lysC//frdC//nanA//
CaiF	ubiX//feaB//allA//pdeL//fadJ//
Cbl	garR//uxuB//deoD//sbcD//rbsD//
CecR	torA//
ChbR	fabG//glpK//ulaE//
ComR	
CpxR	nadB//alkB//citG//glcE//moaA//glpC//bioD//nfsA//hycB//argH//caiC//ssuD//fadI//astD//fabA//
Cra	argD//fadD//alaS//murG//caiC//murD//moaC//ulaF//malQ//ttdA//astD//sbcD//aspA//aroF//puuD//argB//katG//moaA//metF//tdcB//polB//galK//cysM//trpC//hycF//tyrA//
CreB	
CsgD	ribA//codA//aldA//aspA//
CspA	
CueR	paaY//xylB//
CusR	adiA//ulaE//
CynR	alaC//tdcG//mdh//
CysB	relA//nrdE//putA//mdh//ycjG//astB//tynA//argH//metE//
CytR	metF//guaB//purN//fabA//alkB//atoA//mhpD//hyaB//murG//
DcuR	phnP//nemA//ahpC//nfsB//
DeoR	atoD//nanE//fabB//atoA//
DicA	
DinJ-YafQ	nanE//
DnaA	ddlB//fau//bioB//carA//glcD//hmp//
DpiA	tam//rbsD//ychF//puuB//hycF//
EnvR	gcvH//aroL//
EvgA	cysG//cysG//purA//phnL//dgkA//
ExuR	
FabR	murE//puuD//aroL//
FadR	entB//rhaB//glyA//puuB//paaZ//aroF//lsrG//gadA//tyrA//citE//cyoE//malQ//ilvC//nrfD//treC//
FeaR	frc//pdeL//
FhlA	ubiX//ppiA//rutC//mhpE//ruvB//pgaD//yedX//
FlhDC	frc//ddlB//
FliZ	pgaC//ruvA//ychF//mraY//puuD//
Fur	patD//torA//paaF//gcvT//araD//pyrC//ttdB//ycjG//glcE//hypB//ycjG//relA//phnP//dgcZ//nrdA//astB//purH//cyoE//hmp//nanM//phnN//tnaA//nrfA//relA//mhpE//cysK//glyA//murI//nirB//nrdD//murD//
GadE	wzb//gadA//deoA//
GadE-RcsB	accA//trpC//paaZ//rhaB//mtlD//
GadW	glcE//trpC//phnN//
GadX	wzb//murF//purF//murD//frdB//
GalR	paaF//tdcG//ynfE//relA//metC//
GalS	paaC//phnN//gcvP//mdh//moaD//
GcvA	garL//hypB//mhpE//
GlcC	trpE//nirB//fumC//
GlpR	hcp//gntK//hyaC//rutE//mhpF//guaA//nrdF//
GlrR	
GntR	ndh//yqjH//puuE//nanA//glpK//
HU	galK//glnA//hycF//aldA//
HcaR	rhaA//malY//
HdfR	
HigA	alaS//
HigB-HigA	yedX//
HipAB	astD//fadD//
HipB	ahpC//mraY//gadA//
HprR	caiA//gntK//
HypT	carB//glpA//
IclR	hycE//paaE//cysK//
IlvY	garL//
IscR	cyoE//atoA//recD//fumB//lacA//paaJ//paaB//
KdgR	dapB//
KdpE	trpD//
LacI	nrdB//gcvT//tdcD//
LeuO	glxR//glyA//paaJ//
LexA	rutE//bioF//kbaZ//xylB//citX//lysC//kbaZ//srkA//mraY//
LldR	citC//lysC//
LrhA	
LsrR	allB//glcE//glpC//aceB//ndh//
MalI	umuD//fabD//
MalT	hcaF//nrdF//frdD//caiC//
MarA	torC//paaB//hypF//fadD//rbsD//lacZ//glmU//galK//fumC//glcB//gcl//cysG//
MarR	
MatA	lacA//
MazE	paaG//
MazE-MazF	putA//
McbR	
MelR	nrfC//glpD//
MetJ	paaH//malY//yfdE//murE//glpC//
MetR	glyA//bioF//hyaB//
MhpR	glpK//guaA//iscS//allB//metC//tauD//
Mlc	lsrG//treC//gltD//
MlrA	accC//
MngR	metE//frc//
MntR	phnL//
ModE	mngB//fadI//ccp//rutD//gltB//hypB//lacZ//dkgA//fumC//yqhD//rsmH//trpA//polB//pdeL//pykF//
MprA	citX//
MqsA	umuC//gcvT//
MraZ	sodA//melA//citE//moaC//malQ//carB//astA//aceB//puuA//trpD//
MurR	guaA//add//rsmH//
Nac	ssuE//argE//gcvP//puuD//
NadR	entA//
NagC	srkA//gltB//gltD//xylA//ftnA//lsrF//nrfC//ttdB//icd//nadB//astE//rimK//pspE//fumC//
NanR	caiC//uxuB//ribA//rutA//aceE//glcB//
NarL	dapD//edd//tyrB//nrfA//bioA//rbsD//adiA//chbG//alaS//kbaZ//nrfA//citF//mazG//paaJ//ygeA//nrdA//katG//glyA//edd//entF//nrfA//rsmH//folE//umpH//
NarP	paaZ//glpD//murQ//aspA//citX//entH//ulaD//atoB//hyaC//
NemR	uvrB//nfsA//
NhaR	pflB//bglB//hycF//glyA//purD//
NikR	malQ//
NimR	gapA//
NorR	fau//
NrdR	ccp//hycD//eda//galK//
NsrR	tdcB//polB//napA//hemH//fabI//murQ//
NtrC	astE//murD//murI//lpxC//putA//fadJ//nanK//dgcC//
OmpR	glpD//xylA//feaB//feaB//uxuA//rnpB//ung//pgaD//
OxyR	astB//zwf//puuC//trpA//caiA//paaC//dkgA//lacA//citF//grxA//lacZ//ycjG//torA//
PaaX	umpH//ydcS//umpH//glcB//murG//ung//bglB//slt//atoD//
PdeL	ttdA//
PdhR	ttdA//citC//malP//mdh//hemL//carB//sufS//astC//ruvA//ascB//bioC//paaF//patD//torC//narH//ssuE//citE//metA//ulaF//deoB//ribA//hemH//
PepA	glpB//cdd//
PgrR	cueO//rnpB//
PhoB	ulaE//rhaD//nrdD//ilvC//purM//deoA//garL//pdeL//bioF//torC//gcvH//ldtC//araA//hypF//fadD//
PhoP	pdeR//dmsC//phnO//
PspF	appA//
PurR	ulaG//torC//ahpF//kbaY//tauD//zwf//pgk//nrdE//dkgA//ynfE//treC//paaE//
PutA	hycE//ssuD//
PuuR	gntK//phnM//paaC//nrdB//purC//napG//
QseB	
RbsR	cynT//bglB//aroF//bioC//pgaB//fabD//
RcdA	gltD//
RclR	
RcnR	dgcC//
RcsAB	hcaD//dkgA//
RcsB	argF//citX//
RcsB-BglJ	purF//gltB//
RelB	gcvH//
RelB-RelE	kbaY//
RhaR	
RhaS	bioA//gntK//udp//trpC//
Rob	hyaA//kbaZ//glcB//alaS//
RstA	glxK//
RutR	hyaB//add//hypF//dkgA//nrdB//mhpA//mraY//glpB//alaS//trpA//
SdiA	
SgrR	cdd//paaK//ldtD//
SlyA	rbsD//ttdB//polA//nagB//pgk//murC//rhaD//alkA//bioF//
SoxR	mraY//
SoxS	gadB//ugpQ//murE//glyA//glpD//tdcG//ugpQ//deoA//lpxC//phnP//ndh//ascB//dapB//kbaY//glcB//galM//
StpA	ldtD//
SutR	dgcZ//ugpQ//
