#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:14:41 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/rcomplex_bnum.txt
AccB_FadR	b0764//b0048//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	b3828//b0979//b1042//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b0225//b0178//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b3114//b0460//
AcrR_FNR_Fur_SoxR	b1112//
AcrR_FNR_Fur_SoxR_SoxS	b2197//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b1070//
Ada_AidB_Lrp	b0595//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b2429//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b2995//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b0757//b1021//b2206//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b0043//b1681//
AdiY_H-NS_IHF	b3831//
AgaR_CRP	b3333//b4323//b0116//b1517//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b1256//b3831//b2659//b0765//b1622//b4288//
AppY_ArcA_YdeO	b0585//b3365//b2708//b4240//
AraC_CRP	b0765//b0819//b0896//b1480//b0440//b2296//b0733//b0596//b0090//
AraC_CRP_XylR	b1275//b0724//b4028//
AraC_NagC	b2093//b3831//
ArcA_BetI_Cra	b3404//b3037//b3363//b1301//
ArcA_CRP_CaiF_FNR_H-NS	b2676//b1761//b2076//b3316//b4139//b0727//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	b1748//b3513//b3134//b2470//b2277//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	b3429//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	b3333//
ArcA_CRP_Cra_FNR_NsrR_PdhR	b3751//b2703//
ArcA_CRP_Cra_Fis	b1850//
ArcA_CRP_Cra_IHF_IclR	b3275//b2489//b4319//
ArcA_CRP_DcuR	b4071//
ArcA_CRP_DcuR_DpiA_FNR_NarL	b4316//b3329//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	b1071//
ArcA_CRP_DnaA_FNR	b0937//
ArcA_CRP_DpiA_FNR_NarL	b2674//b2995//b2017//b2422//b0462//b2923//
ArcA_CRP_DpiA_FlhDC	b3770//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	b0678//b0197//
ArcA_CRP_FNR	b4032//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	b4115//b0390//b2662//
ArcA_CRP_FNR_Fis_Fur_PdhR	b2677//
ArcA_CRP_FNR_Fis_IHF_NarL	b1475//
ArcA_CRP_FNR_Fur	b3414//b1038//b4037//b2287//
ArcA_CRP_FNR_Fur_IHF	b2783//b1010//b0313//b0894//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	b3577//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	b4233//
ArcA_CRP_FNR_IHF_NarL	b1335//
ArcA_CRP_FNR_NarL	b0621//
ArcA_CRP_FadR	b0314//b1062//
ArcA_CRP_FadR_HipB	b2732//
ArcA_CRP_FadR_OmpR_PhoP	b0617//
ArcA_CRP_Fis_Mlc_SoxS	b1037//
ArcA_CRP_Fis_XylR	b0809//
ArcA_CRP_Fur_GadX_MqsA	b4400//
ArcA_CRP_GatR	b1970//b0571//b1615//b0586//b3566//b0972//
ArcA_CRP_GlpR	b2424//
ArcA_CRP_IHF	b0785//
ArcA_CRP_PuuR	b0756//b0757//b0618//b3605//b4027//
ArcA_CRP_RhaS	b1259//
ArcA_CRP_TreR	b1973//b2241//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	b0937//b1851//
ArcA_Cra	b0762//
ArcA_Cra_FNR_H-NS_HypT	b2093//b1739//
ArcA_CysB_FNR	b1476//
ArcA_FNR	b3906//b1129//b2079//b3092//b1891//b4320//b0366//b2207//b1480//b1211//b2284//b1535//b2143//b0396//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	b0226//
ArcA_FNR_Fis_IHF_NarL	b3329//b3314//b3925//b3569//b4324//b0936//b3365//b0313//b4396//b4005//b3934//b2309//b0850//
ArcA_FNR_Fur_IHF	b0202//
ArcA_FNR_IHF	b2957//b3752//b3766//
ArcA_FNR_IHF_NarL	b3517//b3854//
ArcA_FNR_NarL	b4376//b0113//b3118//b2197//
ArcA_FNR_PhoP	b2781//
ArcA_FNR_PuuR	b0908//b0679//
ArcA_FadR	b0723//b2927//b2204//
ArcA_FadR_Fis	b4074//b0675//
ArcA_Fur_Lrp_ModE	b0720//b1397//b2483//b1396//b2508//
ArcA_GlcC_IHF_PdhR	b1136//b0908//b4431//b3274//b1070//b3222//
ArcA_LexA	b3326//b0894//
ArcA_LldR	b3528//b4026//b1530//
ArcA_NarL	b4074//b1237//b0615//b2913//b2573//b1818//b1973//b4008//
ArcA_NtrC_PhoP_RutR	b3171//b1023//b3599//b2720//b3567//b0428//b1562//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	b0852//b3508//b0351//
ArgP_CRP_FNR_Fur_Nac	b3771//
ArgP_DnaA	b0062//b4079//b3845//
ArgP_Lrp	b2286//b0091//
ArgP_LysR	b4320//
ArgP_PhoB	b3326//
ArgR_CRP	b1421//
ArgR_CRP_Fis	b2206//b1892//b0096//b4151//b3969//b2417//b1761//b2707//
ArgR_Fis_IHF_PepA_PurR_RutR	b2713//b0061//
ArgR_H-NS_NtrC	b1222//b2206//b0179//b0726//
ArgR_NtrC	b1323//b3222//b1615//b3083//b0038//
ArgR_PhoP	b0812//
AscG_CRP	b1037//b4050//b1070//
AscG_CRP_PhoB_PrpR	b3771//
AsnC_MraZ_Nac	b4289//
AsnC_Nac	b2491//b0873//
AtoC_IHF	b2200//b3851//b0037//b0619//
BaeR_CpxR	b1301//b3927//b0980//b3588//b0820//b3403//b1393//
BaeR_CpxR_EvgA	b3970//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	b2551//b4131//b3426//b2975//
BasR_CpxR_PdhR	b1941//b0756//
BasR_Fis	b1225//
BasR_H-NS_IHF_NagC_NanR	b1779//
BasR_MarA_PutA	b1257//
BasR_PhoP	b0572//
BasR_QseB	b3453//b3449//
CRP_CaiF_FNR	b2281//b2730//b3365//b0783//
