# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	queF//
aas_lplT	cysM//
abgABT_ogt	yqjG//aes//pdeL//
abpAB	
accBC	lsrG//maa//
aceBAK	katG//recF//wcaJ//
aceEF	nagB//carA//dapD//
ackA_pta	sthA//yiaY//
acpP_fabF	dosC//
acrAB	epmC//maa//
acrEF	waaS//
acs_yjcH_actP	aroK//fsaA//
ada_alkB	menC//malY//
agaS_kbaY_agaBCDI	narG//
ahpCF	cysE//
alaA_yfbR	alr//cysH//
alaWX	
allDCE	entH//rluB//napB//
alsBACE	cysS//surA//
amiA_hemF	rsmJ//asnS//
ampDE	hisS//
ansA_pncA	orn//sdhC//yjhG//
apaGH	rph//
appCBXA	yrfG//purD//
araBAD	tauD//bioD//fumA//
araE_ygeA	ampC//
araFGH	kdsA//
argCBH	ilvE//thiC//aroG//
argT_hisJQMP	mepS//metB//
argX_hisR_leuT_proM	
arnBCADTEF	xthA//nudE//tdh//clsB//waaG//
aroF_tyrA	aroB//mocA//
aroKB_damX_dam_rpe_gph_trpS	alaA//narV//ddlA//glyS//abgA//aroK//
aroL_yaiA_aroM	epmA//
arpB_1B_2	
arsRBC	waaZ//aroB//
artPIQM	gcl//
ascFB	ubiE//cmoA//
asnC_mioC	
asnC_mioC_mnmG	melA//
aspA_dcuA	argH//puuC//
astCADBE	gshA//pdxH//garL//dapE//cdh//
atoDAEB	maeB//rffC//btuR//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	mrcB//murB//rlmL//glpC//yibQ//gntK//
bamB_der	def//
basRS	
bcsABZC	mutT//rpiB//
bcsBZ	bioH//pdxA//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	hisF//murF//
bfd_bfr	ldtC//
bglGFB	uvrA//mmuM//
bglH_yieLK	
bioBFCD	ispD//adiA//uxuB//melA//
brnQ_proY	yieF//arnT//
btuB_murI	zwf//fadD//
btuCED	lpxB//gatY//
cadBA	yahK//mepS//
caiCDE	mnmG//cobB//
caiTABCDE	nudC//nfsA//rnpA//nfsA//ybiV//
carAB	glxR//
casABCDE12	fabF//
casDE12	hyuA//
cbpAM	
cbrBC	
ccmABCDEFGH	adeD//
cecR_ybhGFSR	
chaBC	
chbBCARFG	paaB//purT//gloA//
chiP_ybfN	kduD//
chpSB	waaA//
citCDEFXG	nudE//eutD//ubiF//
clpPX	aroK//frdB//cdd//yciA//
clpX_lon	nrdA//pflB//poxB//
clsA_yciU	hpt//
cmk_rpsA	nudL//
cmoM_mukFEB	
cmtBA_yggPFDC	ybjG//mcrC//
coaE_zapD_yacG	yihX//
cobUST	ndk//citX//thrA//
codBA	hemB//argK//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	pdxY//
csgBAC	
csgDEFG	rffG//
csiD_lhgO_gabDTP	yccX//kdgK//cynS//ppk//
cusCFBA	napH//
cusRS	
cvpA_purF_ubiX	murC//ycjU//
cydAB	dam//
cydDC	yfeX//
cydX_ybgE	ribD//
cynTS	nudB//ilvE//
cynTSX	glpB//ispE//alsE//
cyoABCDE	nrdA//ltaE//
cysDNC	ubiC//pyrF//
cysJIH	hycE//gshB//dacA//
cysPUWAM	phnG//cynT//ubiX//
dadAX	yjeF//dmsB//
damX_dam_rpe_gph_trpS	rlmE//yghA//alaA//umpG//
dam_rpe_gph_trpS	yibQ//hypB//asnA//rluA//
dapA_bamC	menE//
dapE_ypfN	bioH//
dcm_vsr	trxB//
dcuB_fumB	ydiB//yciA//
dcuSR	
dcyD_tcyLN	yfcF//aroG//
ddpXABCDF	suhB//
def_fmt	acpH//scpC//
degQS	cysG//atoA//
deoABD	alsE//napC//maeB//
deoBD	kbaZ//yahK//
deoCABD	rsmF//can//ileS//mdh//
dgoRKADT	hisS//patZ//epmB//astB//
dhaKLM	pdeF//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	frdA//ampD//
dinJ_yafQ	purB//
dksA_gluQ	umpG//
dmsABC	cysD//
dnaAN_recF	trxB//
dnaK_tpke11_dnaJ	sdaA//
dnaN_recF	hisG//
dnaTC	
dnaTC_yjjA	
dosCP	argD//galE//
dpiBA	
dppABCDF	mcrC//
dsbC_recJ_prfB	epmA//tynA//
dsbD_yjdC	
dsdXA	glpA//ldtC//
dusB_fis	prpD//
dut_slmA	fadK//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	bacA//rutA//
efeOB	yghA//
efeU_1U_2	
elbB_mtgA	glpA//
elfDCG_ycbUVF	
emrKY	ilvD//
entCEBAH	aldB//uxaA//ulaE//pta//fabH//lpcA//
envY_ompT	tgt//
epd_pgk	ppiB//ssuE//
epd_pgk_fbaA	acnB//nudL//nfsB//
essD_rrrD_rzpD	yibQ//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	rsgA//
eutHA	
eutNEJG	
eutSPQTDM	fucO//
evgAS	
exbBD	
fabDG_acpP	ybaS//pykF//
fabG_acpP	gstB//
fabHDG	dosP//dcyD//wecB//
fabR_yijD	
fadBA	hisI//ssuE//
fadD_sroD	hisG//
fadIJ	yihX//entC//
fdnGHI	
fdoGHI_fdhE	tgt//
fdrA_ylbEF_ybcF	phnO//
fecABCDE	hycD//preT//
fecIR	
feoABC	trmI//
fepA_entD	ychF//glxR//tdcD//
fepDGC	fucK//
fes_ybdZ_entF_fepE	iaaA//pflB//yqhD//
fetAB	
fhuACDB	alaA//gpt//
ficA_fic_pabA	purE//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	glpD//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	alsE//rsmD//
folC_dedD	hycC//
folD_ybcJ	yqjH//
folE_yeiB	purC//
folP_glmM	hyaB//yccX//
folX_yfcH	ubiH//
frdABCD	argK//
frlABCDR	scpA//trpA//ispU//allE//
frmRAB	alsK//allE//
fruBKA	phnM//frdD//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	dxs//lpxT//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	paaG//phnI//ydiB//nadC//miaB//dgcM//rsmD//dadA//murE//galU//
ftsQAZ	
ftsYEX	
fucAO	rlmC//tsaD//
fucPIKUR	hisA//pheA//tsaC//iaaA//
fumAC	narH//hcaB//
fusA_tufA	
gabDTP	sad//malP//lysC//
gadAX	murE//
gadBC	bioD//nrdF//
gadEF	
gadEF_mdtEF	rlmI//
gadXW	
galET	solA//lyxK//
galETK	rsmE//gdhA//panB//
galETKM	folP//pdxA//ydiF//gluQ//
gapA_yeaD	mobA//
gapC_1C_2	
garPLRK_rnpB	coaA//rffH//eptC//hycC//paaB//dusA//
gatYZABCD	lacA//plsB//yjjX//
gatZABCD	folC//fadM//deoC//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	dgt//pgpA//nagZ//fadE//frlC//
gcvTHP	tam//tsaE//ygiF//
gfcBCD	
gfcE_etp_etk	aspC//eptA//
ghoST	ynfE//
glcBA	ribB//cysM//
glcDEFGBA	yfdR//asnS//recG//
glf_wbbH	acpS//
glgAP	paaG//hemG//
glgBXCAP	glpA//dgkA//lpcA//nfsB//ribE//
glgCAP	cmoB//gpt//ribE//
glmUS	ubiH//udp//
glnALG	waaC//
glnHPQ	kbl//
glnK_amtB	yfaU//
glnLG	
glnW_metU_glnVX	
glpABC	thiL//
glpEGR	allB//gldA//
glpFKX	mobA//glcD//selB//
glpGR	ppsA//
glpTQ	thiH//yjeF//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	yfaU//
glvCBG_ysdC	
glyQS	metH//
glyVXY	
glyW_cysT_leuZ	
gntKU	polB//waaU//
gntRKU	glpK//nfi//
gntX_nfuA	
gpmM_envC_yibQ	fabI//ttdA//
groSL	
gspAB	
gspCDEFGHIJKLMO	paoA//
guaBA	gcl//argF//
gudPXD	entD//truC//
hcaEFCBD	emtA//serA//
hcp_hcr	malS//pykF//
hdeAB_yhiD	
hemA_prfA_prmC	fadE//fklB//
hemCDXY	yhhW//slt//
hflD_purB	kdsD//
hfq_hflXKC	trpD//
hicAB	
higBA	maa//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	mraY//malS//suhB//araD//
hipBA	glxK//
hisBHAFI	purF//tam//thiG//trmO//
hisJQMP	guaC//ispU//
hisLGDCBHAFI	clsC//queF//paoA//opgE//zwf//yeaG//carA//
hofMNOP	
holC_valS	alaS//
holD_rimI_yjjG	ycjU//aceE//
hscBA_fdx_iscX	mhpE//
hsdMS	asnA//
hsdRMS	hyuA//
hslRO	
hslVU	hemL//
hyaABCDEF	
hybOABCDEFG	waaY//
hycABCDEFGHI	panB//ygjK//
hydN_hypF	hflX//
hyfABCDEFGHIJR_focB	yliI//
hypABCDE	fsaB//
hypABCDE_fhlA	mutM//
hypBCDE	opgE//
hypBCDE_fhlA	adk//
iaaA_gsiABCD	lpxD//thiC//
ibaG_murA	nudF//
ibpAB	
idnDOTR	ribF//bglA//epd//
ileS_lspA_fkpB_ispH	ribF//astD//mutS//paaG//
ilvEDA	yjeF//mltB//pgl//glpB//
ilvIH	treC//
ilvLXG_1G_2MEDA	lldD//uxaC//menF//treA//nrdF//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	thiK//
insN_1I_1O_1	rpiA//
insO_2_yjhWV	
iscRSUA	dgoK//ushA//
ispDF	atoD//ldtE//
ispG_sroE	lpd//
isrC_flu	
ivbL_ilvBN	ispB//
ivbL_ilvBN_uhpABC	wrbA//
kbaZ_agaVWA	dmlA//
kbl_tdh	fsaB//yeiR//
kdpDE	
kdpFABC	waaH//
kdsC_lptCAB	ubiF//ssuE//
kefFC	thiM//pldA//
kefGB_yheV	maeB//
kilR_ydaE	
lacYA	puuB//menB//
lacZYA	cobC//ppsA//waaC//
lapAB	
lapAB_pyrF_yciH	glcF//
lepAB	bglX//
leuLABCD	menE//ribC//rlmL//
leuQPV	
leuS_lptE_holA_nadD_cobC	ldhA//mtn//napG//
lexA_dinF	
lgt_thyA	ldtD//fabI//
ligA_ypeB	folB//
livKHMGF	rfe//folK//
lldPRD	fkpB//fucO//
lolA_rarA	
lolB_ispE_prs	cynT//leuC//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	rfbD//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	ppiB//metC//
lptFG	
lspA_fkpB_ispH	fsaA//fabD//speC//
lsrACDBFG_tam	rdoA//prpD//yihX//rfaE//
lsrRK	gabT//
ltaE_ybjT	nanK//
lysT_valT_lysW	
macAB	waaF//
malEFG	sdhB//
malK_lamB_malM	truD//tesA//
malPQ	ybbO//bcsA//
malXY	kbaZ//ilvG_1//
manXYZ	maeA//
map_glnD_dapD	cyoE//tesA//nudF//
marRAB	
mazEFG	pgl//
mcrBC	ynfG//
mdlAB	
mdtABCD_baeSR	thyA//
mdtEF	hemG//
mdtJI	pssA//
mdtM_yjiN	aldA//
mdtNOP	glyS//
melAB	pgk//carB//
menA_rraA	phnG//
menBCE	idnD//gloA//yeiG//
menDHBCE	nadK//rnd//pgaC//thiI//pldA//
menFDHBCE	aroH//araD//tdk//rlmB//glcE//yihV//
metBL	metC//proA//
metNIQ	dcm//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	glyQ//rutD//waaQ//
metZWV	
mglAC	nagB//
mglBAC	aes//
mgtLA	caiC//
mhpABCDFE	phnI//ampD//hisI//tauD//leuB//waaC//
mhpR_lacI	
