# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rsmC//
aas_lplT	glnA//
abgABT_ogt	suhB//sdaA//scpB//
abpAB	
accBC	yjcS//recR//
aceBAK	citF//fucK//lpxB//
aceEF	ravA//purF//ybdL//
ackA_pta	valS//malP//
acpP_fabF	mltA//
acrAB	icd//btuR//
acrEF	btuR//
acs_yjcH_actP	eda//rrrD//
ada_alkB	aroC//guaC//
agaS_kbaY_agaBCDI	dgkA//
ahpCF	yiaY//
alaA_yfbR	metF//astB//
alaWX	
allDCE	aroK//argH//idnK//
alsBACE	bioC//moaD//
amiA_hemF	coaE//yegS//
ampDE	pyrI//
ansA_pncA	ymdB//yggF//gltD//
apaGH	sgbH//
appCBXA	yhdJ//dam//
araBAD	fucO//aroK//aspA//
araE_ygeA	phr//
araFGH	kdsA//
argCBH	fumC//dhaM//hisA//
argT_hisJQMP	ynfG//tam//
argX_hisR_leuT_proM	
arnBCADTEF	caiC//dapD//yihX//adhP//dosC//
aroF_tyrA	gcd//dadA//
aroKB_damX_dam_rpe_gph_trpS	ribA//astC//mpl//ispE//yjhG//cysM//
aroL_yaiA_aroM	pykF//
arpB_1B_2	
arsRBC	serB//ligB//
artPIQM	tehB//
ascFB	pyrE//ampH//
asnC_mioC	
asnC_mioC_mnmG	amiD//
aspA_dcuA	hisA//mpaA//
astCADBE	ispG//kefF//nanA//rlmG//pck//
atoDAEB	ynjE//folE//argA//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	lacZ//insI-2//pabB//ppiB//moeA//napC//
bamB_der	yeiG//
basRS	
bcsABZC	suhB//aroL//
bcsBZ	ilvG_2//yfeX//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	roxA//hdhA//
