# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ydjG//
aas_lplT	hinT//
abgABT_ogt	dkgB//waaC//dinB//
abpAB	
accBC	rfe//ydfG//
aceBAK	scpC//scpC//frlB//
aceEF	ltaE//yfaU//pgi//
ackA_pta	pphB//rpe//
acpP_fabF	nadD//
acrAB	rutA//ygjK//
acrEF	dinB//
acs_yjcH_actP	araD//gpsA//
ada_alkB	yibQ//wzb//
agaS_kbaY_agaBCDI	dhaM//
ahpCF	ilvG_1//
alaA_yfbR	dkgA//purF//
alaWX	
allDCE	pdeH//treA//dsdA//
alsBACE	mrcA//ydbC//
amiA_hemF	menE//gcd//
ampDE	lyxK//
ansA_pncA	panB//asnA//pgl//
apaGH	allB//
appCBXA	truA//sgbU//
araBAD	citX//ubiE//nrfD//
araE_ygeA	gmd//
araFGH	ubiI//
argCBH	lsrK//pck//fau//
argT_hisJQMP	paaI//aphA//
argX_hisR_leuT_proM	
arnBCADTEF	deoC//alaS//tdcD//deoB//astC//
aroF_tyrA	napH//lpxB//
aroKB_damX_dam_rpe_gph_trpS	narG//csdA//cynS//pphA//acnA//hcaC//
aroL_yaiA_aroM	alaC//
arpB_1B_2	
arsRBC	dgoA//uxaC//
artPIQM	fadM//
ascFB	betA//adk//
asnC_mioC	
asnC_mioC_mnmG	ppx//
aspA_dcuA	gcd//birA//
astCADBE	ssuD//bacA//bcsZ//ybjI//dadA//
atoDAEB	appA//xthA//rluB//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	asnB//mrdA//purD//mocA//ttdA//dacD//
bamB_der	entD//
basRS	
bcsABZC	recG//entD//
bcsBZ	yiaK//galM//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	phnH//yggF//
bfd_bfr	chbF//
bglGFB	dgcT//ubiD//
bglH_yieLK	
bioBFCD	yjeF//prpC//waaP//guaD//
brnQ_proY	nrdF//ldtE//
btuB_murI	pphA//srlD//
btuCED	mcrA//coaE//
cadBA	lipA//ispH//
caiCDE	suhB//cysH//
caiTABCDE	luxS//metL//ynjE//trmO//fadD//
carAB	aroH//
casABCDE12	pdeR//
casDE12	ilvA//
cbpAM	
cbrBC	
ccmABCDEFGH	chbF//
cecR_ybhGFSR	
chaBC	
chbBCARFG	menH//srlD//ubiH//
chiP_ybfN	thiD//
chpSB	sbcB//
citCDEFXG	pdxH//kduD//waaA//
clpPX	dgcZ//fau//aphA//kbl//
clpX_lon	pncC//hycF//trmH//
clsA_yciU	ispG//
cmk_rpsA	gmhB//
cmoM_mukFEB	
cmtBA_yggPFDC	rluB//gpp//
coaE_zapD_yacG	wzb//
cobUST	garL//clsB//ubiG//
codBA	argH//arnC//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	mepS//
csgBAC	
csgDEFG	ynfE//
csiD_lhgO_gabDTP	dut//gpp//ribC//cobC//
cusCFBA	slt//
cusRS	
cvpA_purF_ubiX	cyoE//paaI//
cydAB	pdxJ//
cydDC	ldtA//
cydX_ybgE	qor//
cynTS	tdcG//fre//
cynTSX	glgC//paaH//tgt//
cyoABCDE	hycC//yfaU//
cysDNC	metF//purE//
cysJIH	cysM//atoA//guaA//
cysPUWAM	dgcZ//fdhF//paaB//
dadAX	ansA//melA//
damX_dam_rpe_gph_trpS	waaG//hpt//yfbT//ulaG//
dam_rpe_gph_trpS	bioB//umuC//kdsB//ldtC//
dapA_bamC	pflB//
dapE_ypfN	avtA//
dcm_vsr	waaY//
dcuB_fumB	metA//speF//
dcuSR	
dcyD_tcyLN	ruvC//eptC//
ddpXABCDF	malY//
def_fmt	ldtB//rpe//
degQS	dapE//pabB//
deoABD	anmK//gmhB//fau//
deoBD	tgt//tmcA//
deoCABD	umpH//bioF//nhoA//coaE//
dgoRKADT	astD//gnd//fucO//murE//
dhaKLM	phnL//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	fucI//pspE//
dinJ_yafQ	folX//
dksA_gluQ	trmH//
dmsABC	rlmG//
dnaAN_recF	trpC//
dnaK_tpke11_dnaJ	malZ//
dnaN_recF	ribD//
dnaTC	
dnaTC_yjjA	
dosCP	alkB//prpB//
dpiBA	
dppABCDF	yhhW//
dsbC_recJ_prfB	cysK//dgoA//
dsbD_yjdC	
dsdXA	nhoA//sgbE//
dusB_fis	sodA//
dut_slmA	prs//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	ygaP//glxK//
efeOB	ubiH//
efeU_1U_2	
elbB_mtgA	aceA//
elfDCG_ycbUVF	
emrKY	aes//
entCEBAH	rsmC//bioB//rlmM//queF//argS//hypF//
envY_ompT	zwf//
epd_pgk	rlmI//tesA//
epd_pgk_fbaA	bfr//uxuA//folB//
essD_rrrD_rzpD	mocA//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	pfkA//
eutHA	
eutNEJG	
eutSPQTDM	aroE//
evgAS	
exbBD	
fabDG_acpP	dinB//fabZ//
fabG_acpP	waaQ//
fabHDG	ligA//puuA//fre//
fabR_yijD	
fadBA	yceF//argD//
fadD_sroD	cysD//
fadIJ	glcF//leuA//
fdnGHI	
fdoGHI_fdhE	eno//
fdrA_ylbEF_ybcF	rffG//
fecABCDE	tnaA//dapF//
fecIR	
feoABC	lsrF//
fepA_entD	thrA//gadB//gstA//
fepDGC	psuG//
fes_ybdZ_entF_fepE	dapB//patA//pgk//
fetAB	
fhuACDB	patZ//chbF//
ficA_fic_pabA	cyoE//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	cpsG//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	nudI//ubiG//
folC_dedD	lpxM//
folD_ybcJ	cysQ//
folE_yeiB	trpB//
folP_glmM	prpC//argI//
folX_yfcH	rfbB//
frdABCD	gshB//
frlABCDR	araB//sdhD//rnpA//cueO//
frmRAB	scpA//treF//
fruBKA	glcB//fadJ//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	hemC//tyrA//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	truA//nudC//ddlA//malS//rnpA//thrB//tdcD//fabG//ssuE//tdh//
ftsQAZ	
ftsYEX	
fucAO	rutE//coaE//
fucPIKUR	dxs//purL//lysC//cdsA//
fumAC	murG//hyuA//
fusA_tufA	
